session_id,area,system,bandwidth_iqr_units,cells,spearman_rho,shape_mae_log2_octaves,constant_shape_mae_log2_octaves,shape_mae_improvement_log2_octaves,absolute_mae_log2_octaves,area_only_absolute_mae_log2_octaves,absolute_mae_improvement_log2_octaves
715093703,VISam,ccf_anatomy,0.8,19,-0.0061511518545417825,0.43349046289457466,0.36493743753235464,-0.06855302536222002,0.5623768202580912,0.5114334492777424,-0.050943370980348845
715093703,VISl,ccf_anatomy,0.8,12,0.5174825174825175,0.3732192802933668,0.36969936583597374,-0.0035199144573930807,0.36192752773989767,0.3454659294899036,-0.016461598249994047
715093703,VISp,ccf_anatomy,0.8,35,-0.017949810958448588,0.6372266923124045,0.632862496103467,-0.004364196208937465,0.6582997448299484,0.5608840216461566,-0.09741572318379177
715093703,VISrl,ccf_anatomy,0.8,35,-0.44120367325374626,0.5068709294384284,0.4568118733059219,-0.050059056132506496,0.541387770332582,0.5573900748933891,0.01600230456080709
715093703,VISam,registered_map,1.15,19,0.003513397867139683,0.42301900324875574,0.36493743753235464,-0.05808156571640111,0.56377895032875,0.5114334492777424,-0.05234550105100766
715093703,VISl,registered_map,1.15,12,0.5174825174825175,0.3665681111860846,0.36969936583597374,0.0031312546498891147,0.355276358632616,0.3454659294899036,-0.009810429142712351
715093703,VISp,registered_map,1.15,35,-0.026644250641447115,0.5474836714379139,0.632862496103467,0.08537882466555313,0.6380287052501945,0.5608840216461566,-0.07714468360403792
715093703,VISrl,registered_map,1.15,35,-0.4420451297189473,0.5268493941591381,0.4568118733059219,-0.07003752085321624,0.5553127105496483,0.5573900748933891,0.0020773643437408396
715093703,VISam,observed_rf,0.55,19,0.46315789473684205,0.433039018149155,0.36493743753235464,-0.06810158061680038,0.4559242405950421,0.5114334492777424,0.05550920868270026
715093703,VISl,observed_rf,0.55,12,-0.3916083916083916,0.5176096978911968,0.36969936583597374,-0.14791033205522308,0.528901450444665,0.3454659294899036,-0.18343552095476134
715093703,VISp,observed_rf,0.55,35,-0.07507002801120448,0.6978138007436517,0.632862496103467,-0.06495130464018473,0.60104332065018,0.5608840216461566,-0.040159299004023374
715093703,VISrl,observed_rf,0.55,35,0.2711484593837535,0.7984487238035557,0.4568118733059219,-0.3416368504976338,0.5318262502632276,0.5573900748933891,0.02556382463016149
755434585,VISam,ccf_anatomy,1.15,26,0.09268126397003072,0.517931859337928,0.5590073881685207,0.041075528830592734,0.5179318593379296,0.5904402972529876,0.07250843791505801
755434585,VISl,ccf_anatomy,1.15,12,0.26315951468343896,0.9369177749691787,0.9498721255309355,0.012954350561756756,1.1088564407955719,1.0704981006312262,-0.038358340164345694
755434585,VISp,ccf_anatomy,1.15,50,0.04386682130167957,0.9453506058125768,0.9485368520004198,0.0031862461878430226,0.8988804628805305,0.9328184367886663,0.0339379739081358
755434585,VISam,registered_map,0.35,26,0.06600547581629494,0.5308047990708824,0.5590073881685207,0.028202589097638286,0.5274620156018344,0.5904402972529876,0.06297828165115327
755434585,VISl,registered_map,0.35,12,0.21403640527586368,0.8184703489682941,0.9498721255309355,0.1314017765626414,0.9950390621629892,1.0704981006312262,0.07545903846823698
755434585,VISp,registered_map,0.35,50,-0.025561566171859874,0.9389265188049979,0.9485368520004198,0.009610333195421927,0.9387419027489283,0.9328184367886663,-0.005923465960262053
755434585,VISam,observed_rf,0.35,26,0.03521367521367521,0.42514444978933297,0.5590073881685207,0.13386293837918772,0.4218016663202828,0.5904402972529876,0.1686386309327048
755434585,VISl,observed_rf,0.35,12,-0.2447552447552448,0.80098522931887,0.9498721255309355,0.14888689621206552,1.051024332103685,1.0704981006312262,0.019473768527541235
755434585,VISp,observed_rf,0.35,50,0.09963985594237695,0.9085444934634985,0.9485368520004198,0.03999235853692129,0.9568000173054756,0.9328184367886663,-0.02398158051680932
756029989,VISal,ccf_anatomy,0.35,9,-0.5166666666666667,0.5905795590793895,0.3667724722247332,-0.22380708685465633,0.604706075737468,0.4622769567597391,-0.14242911897772892
756029989,VISam,ccf_anatomy,0.35,28,0.2068210784865942,0.6177771505440361,0.9476940887842824,0.32991693824024626,0.7250807093510234,0.8551335716960358,0.13005286234501234
756029989,VISl,ccf_anatomy,0.35,23,-0.02227727139945738,0.8621572921000745,0.8870830849560054,0.024925792855930884,0.8804217522239846,0.8781334514570052,-0.0022883007669793898
756029989,VISp,ccf_anatomy,0.35,33,-0.10405694148829862,0.6662663111430098,0.6306269321904452,-0.03563937895256464,0.6262378091987975,0.679773602078849,0.0535357928800515
756029989,VISal,registered_map,0.35,9,0.35,0.4382774178457166,0.3667724722247332,-0.07150494562098342,0.45240393450379557,0.4622769567597391,0.009873022255943553
756029989,VISam,registered_map,0.35,28,0.2835229354087748,0.6869754356503581,0.9476940887842824,0.2607186531339243,0.8177443980659094,0.8551335716960358,0.03738917363012639
756029989,VISl,registered_map,0.35,23,0.11534676080163489,1.0004812680926676,0.8870830849560054,-0.11339818313666217,0.877159649864037,0.8781334514570052,0.0009738015929681154
756029989,VISp,registered_map,0.35,33,0.14119623571724124,0.6199087139884065,0.6306269321904452,0.010718218202038665,0.5755490736330469,0.679773602078849,0.1042245284458021
756029989,VISal,observed_rf,0.35,9,0.06666666666666667,0.502379373855498,0.3667724722247332,-0.13560690163076483,0.5165058905135744,0.4622769567597391,-0.05422893375383531
756029989,VISam,observed_rf,0.35,28,0.0990695128626163,0.8799415576710576,0.9476940887842824,0.06775253111322477,0.9253414574890764,0.8551335716960358,-0.0702078857930406
756029989,VISl,observed_rf,0.35,23,0.044466403162055336,0.9200418656559582,0.8870830849560054,-0.03295878069995284,0.8597145343973747,0.8781334514570052,0.018418917059630502
756029989,VISp,observed_rf,0.35,33,0.13201871657754014,0.6436633221256766,0.6306269321904452,-0.013036389935231374,0.757833133155855,0.679773602078849,-0.07805953107700603
757216464,VISal,ccf_anatomy,1.15,11,-0.29427231351788985,0.735940545186204,0.5339660828796298,-0.20197446230657423,0.5493076773589518,0.7456050713488214,0.19629739398986956
757216464,VISam,ccf_anatomy,1.15,9,0.6384423980690614,1.474944854418896,1.6204982510175947,0.14555339659869881,1.3202185845484085,1.4299758968201441,0.10975731227173569
757216464,VISl,ccf_anatomy,1.15,28,0.18161903978359198,1.2654708703683792,1.2514334196770367,-0.014037450691342546,1.2654708703683788,1.2514334196770367,-0.014037450691342102
757216464,VISp,ccf_anatomy,1.15,49,0.47494332793416094,1.0462822129908138,1.0585303594790751,0.012248146488261336,0.9331447710891059,0.9888120205141693,0.0556672494250634
757216464,VISrl,ccf_anatomy,1.15,13,0.28177225625601326,0.4618494590633364,0.5138091329301204,0.05195967386678402,0.7675124910603248,0.9593464801377767,0.19183398907745186
757216464,VISal,registered_map,1.15,11,-0.3027650354097492,0.6701652443817526,0.5339660828796298,-0.13619916150212286,0.6809102789899679,0.7456050713488214,0.06469479235885345
757216464,VISam,registered_map,1.15,9,-0.6043921368387115,1.4529268106377426,1.6204982510175947,0.16757144037985205,1.2979526632433505,1.4299758968201441,0.13202323357679369
757216464,VISl,registered_map,1.15,28,0.18161903978359198,1.2736864122226428,1.2514334196770367,-0.022252992545606087,1.2736864122226441,1.2514334196770367,-0.02225299254560742
757216464,VISp,registered_map,1.15,49,0.4752496771028994,1.0631611012719033,1.0585303594790751,-0.004630741792828186,0.950007528933094,0.9888120205141693,0.03880449158107524
757216464,VISrl,registered_map,1.15,13,-0.28177225625601326,0.4611975856947988,0.5138091329301204,0.05261154723532163,0.7668606176917869,0.9593464801377767,0.19248586244598975
757216464,VISal,observed_rf,0.55,11,0.4272727272727273,0.4914342623287979,0.5339660828796298,0.04253182055083188,0.5827402779161659,0.7456050713488214,0.16286479343265547
757216464,VISam,observed_rf,0.55,9,0.09999999999999999,1.5951187353428784,1.6204982510175947,0.025379515674716302,1.321490828006329,1.4299758968201441,0.10848506881381503
757216464,VISl,observed_rf,0.55,28,-0.2320744389709907,1.2544506568122138,1.2514334196770367,-0.0030172371351770977,1.2576313643962815,1.2514334196770367,-0.006197944719244841
757216464,VISp,observed_rf,0.55,49,0.36765306122448976,0.9945619561203061,1.0585303594790751,0.06396840335876908,0.9665941416537631,0.9888120205141693,0.02221787886040616
757216464,VISrl,observed_rf,0.55,13,-0.14835164835164835,0.356741278457473,0.5138091329301204,0.15706785447264743,0.6011911496565556,0.9593464801377767,0.35815533048122106
768515987,VISal,ccf_anatomy,0.8,24,-0.18304694121583207,0.8743699577839912,0.703549809632471,-0.17082014815152013,1.2240573726073531,0.9476474060244007,-0.27640996658295247
768515987,VISam,ccf_anatomy,0.8,16,0.3446248214638268,0.9319940558805206,0.9300181983342872,-0.001975857546233417,0.8330347151873543,0.8899496836897773,0.05691496850242306
768515987,VISl,ccf_anatomy,0.8,31,0.33104586250133083,0.6567933598327115,0.6049044185912837,-0.05188894124142773,0.7221190880343578,0.6996090280754927,-0.022510059958865014
768515987,VISp,ccf_anatomy,0.8,34,-0.008254988569806712,0.8299501963734086,0.8917428118050514,0.06179261543164283,1.009624714245534,1.0415737065208317,0.031948992275297794
768515987,VISal,registered_map,1.15,24,0.19786502693330416,0.7231224243319104,0.703549809632471,-0.019572614699439383,1.0241562963156543,0.9476474060244007,-0.07650889029125363
768515987,VISam,registered_map,1.15,16,0.34757033275838933,0.9328520022536768,0.9300181983342872,-0.002833803919389588,0.8332545624188743,0.8899496836897773,0.05669512127090304
768515987,VISl,registered_map,1.15,31,0.33104586250133083,0.637407728751306,0.6049044185912837,-0.03250331016002228,0.7045512580726552,0.6996090280754927,-0.004942229997162428
768515987,VISp,registered_map,1.15,34,-0.008254988569806712,0.8893185826175708,0.8917428118050514,0.002424229187480642,1.0263878692822708,1.0415737065208317,0.015185837238560929
768515987,VISal,observed_rf,0.55,24,-0.29478260869565215,0.8620028391274336,0.703549809632471,-0.15845302949496254,1.1659661680315283,0.9476474060244007,-0.21831876200712763
