session_id,system,bandwidth_iqr_units,cells,spearman_rho,mae_log2_octaves,constant_mae_log2_octaves,mae_improvement_vs_constant_log2,area_only_mae_log2_octaves,mae_improvement_vs_area_only_log2
715093703,area_only,,101,0.5638563699463979,0.5422317144128068,0.9162704863467237,0.3740387719339169,0.5422317144128068,0.0
715093703,ccf_anatomy,0.35,101,0.5897459838271091,0.5712896785358005,0.9162704863467237,0.3449808078109232,0.5422317144128068,-0.029057964122993662
715093703,registered_map,0.2,101,0.5506847122087442,0.5587664979682117,0.9162704863467237,0.35750398837851205,0.5422317144128068,-0.01653478355540483
715093703,observed_rf,0.55,101,0.055049504950495036,0.9222839596429138,0.9162704863467237,-0.006013473296190064,0.5422317144128068,-0.38005224523010694
755434585,area_only,,94,0.481172837905159,0.8365253824059018,1.111637566950252,0.27511218454435027,0.8365253824059018,0.0
755434585,ccf_anatomy,0.55,94,0.44728162354718476,0.9501196016111759,1.111637566950252,0.16151796533907614,0.8365253824059018,-0.11359421920527413
755434585,registered_map,1.15,94,0.4525272693648258,1.0411145536171649,1.111637566950252,0.07052301333308719,0.8365253824059018,-0.20458917121126308
755434585,observed_rf,0.55,94,0.3707329407939891,1.0472640172057033,1.111637566950252,0.06437354974454879,0.8365253824059018,-0.21073863479980148
756029989,area_only,,94,0.3822331969581884,0.7991128392510505,0.9011986064545257,0.10208576720347518,0.7991128392510505,0.0
756029989,ccf_anatomy,0.35,94,0.395385890039676,0.7951349044881528,0.9011986064545257,0.10606370196637283,0.7991128392510505,0.00397793476289765
756029989,registered_map,0.35,94,0.3842891328249816,0.7970366970901428,0.9011986064545257,0.10416190936438285,0.7991128392510505,0.002076142160907679
756029989,observed_rf,0.55,94,0.10457681609652132,0.859427962969708,0.9011986064545257,0.04177064348481763,0.7991128392510505,-0.06031512371865755
757216464,area_only,,110,0.24500486908383212,1.141906338070561,1.159218845235161,0.01731250716460009,1.141906338070561,0.0
757216464,ccf_anatomy,0.2,110,0.32412715874801784,1.0885641554757668,1.159218845235161,0.07065468975939426,1.141906338070561,0.053342182594794174
757216464,registered_map,0.35,110,0.29842711416667334,1.1286761323383354,1.159218845235161,0.03054271289682564,1.141906338070561,0.013230205732225553
757216464,observed_rf,0.35,110,0.1769357347338999,1.0848870300993485,1.159218845235161,0.07433181513581255,1.141906338070561,0.05701930797121246
