session_id,ecephys_structure_acronym,registration_cells,uncensored_cells,primary_cells,censored_fraction
715093703,VISam,31,24,19,0.22580645161290322
715093703,VISl,24,17,12,0.2916666666666667
715093703,VISp,47,38,35,0.19148936170212766
715093703,VISrl,63,54,35,0.14285714285714285
755434585,VISal,33,22,6,0.3333333333333333
755434585,VISam,44,35,26,0.20454545454545456
755434585,VISl,23,20,12,0.13043478260869565
755434585,VISp,71,52,50,0.2676056338028169
756029989,VISal,38,30,9,0.21052631578947367
756029989,VISam,39,33,28,0.15384615384615385
756029989,VISl,35,31,23,0.11428571428571428
756029989,VISp,45,33,33,0.26666666666666666
756029989,VISrl,9,5,1,0.4444444444444444
757216464,VISal,40,36,11,0.1
757216464,VISam,36,21,9,0.4166666666666667
757216464,VISl,44,36,28,0.18181818181818182
757216464,VISp,75,52,49,0.30666666666666664
757216464,VISrl,25,18,13,0.28
768515987,VISal,40,33,24,0.175
768515987,VISam,33,23,16,0.30303030303030304
768515987,VISl,45,37,31,0.17777777777777778
768515987,VISp,52,35,34,0.3269230769230769
768515987,VISrl,32,24,0,0.25
774875821,VISal,54,47,39,0.12962962962962962
774875821,VISam,33,28,23,0.15151515151515152
774875821,VISl,42,36,36,0.14285714285714285
774875821,VISp,68,51,50,0.25
774875821,VISrl,35,30,15,0.14285714285714285
778240327,VISal,52,46,44,0.11538461538461539
778240327,VISam,39,32,26,0.1794871794871795
778240327,VISl,41,32,27,0.21951219512195122
778240327,VISp,65,59,55,0.09230769230769231
778240327,VISrl,14,9,4,0.35714285714285715
781842082,VISal,89,68,38,0.23595505617977527
781842082,VISam,38,33,26,0.13157894736842105
781842082,VISp,53,37,37,0.3018867924528302
781842082,VISrl,30,23,10,0.23333333333333334
786091066,VISal,110,84,39,0.23636363636363636
786091066,VISam,61,50,45,0.18032786885245902
786091066,VISp,68,55,53,0.19117647058823528
786091066,VISrl,31,28,20,0.0967741935483871
794812542,VISal,23,18,6,0.21739130434782608
794812542,VISam,37,30,28,0.1891891891891892
794812542,VISl,41,26,11,0.36585365853658536
794812542,VISp,57,38,35,0.3333333333333333
794812542,VISrl,17,14,11,0.17647058823529413
798911424,VISal,56,43,20,0.23214285714285715
798911424,VISam,72,55,27,0.2361111111111111
798911424,VISl,38,33,28,0.13157894736842105
798911424,VISp,64,46,44,0.28125
798911424,VISrl,26,18,16,0.3076923076923077
829720705,VISal,35,24,16,0.3142857142857143
829720705,VISam,43,32,26,0.2558139534883721
829720705,VISl,54,47,27,0.12962962962962962
829720705,VISp,33,26,25,0.21212121212121213
829720705,VISrl,49,36,14,0.2653061224489796
831882777,VISal,52,47,31,0.09615384615384616
831882777,VISam,44,33,24,0.25
831882777,VISp,39,30,28,0.23076923076923078
847657808,VISal,41,28,5,0.3170731707317073
847657808,VISam,34,26,15,0.23529411764705882
847657808,VISl,55,48,36,0.12727272727272726
847657808,VISp,41,32,32,0.21951219512195122
847657808,VISrl,29,26,21,0.10344827586206896
