outer_session_id,system,bandwidth_iqr_units,inner_animal_area_groups,inner_valid_correlations,inner_median_spearman_rho
715093703,ccf_anatomy,0.2,54,54,-0.0009644230646320313
715093703,ccf_anatomy,0.35,54,54,0.0024606707272242746
715093703,ccf_anatomy,0.55,54,54,0.09688909819944627
715093703,ccf_anatomy,0.8,54,54,0.12369871217892522
715093703,ccf_anatomy,1.15,54,54,0.0958068887183414
715093703,registered_map,0.2,54,54,0.002217475973326607
715093703,registered_map,0.35,54,54,0.0732795643879435
715093703,registered_map,0.55,54,54,0.07112447374591115
715093703,registered_map,0.8,54,54,0.08695945574883365
715093703,registered_map,1.15,54,54,0.0958068887183414
715093703,observed_rf,0.2,54,54,0.036646820461799935
715093703,observed_rf,0.35,54,54,0.05441167020114389
715093703,observed_rf,0.55,54,54,0.09412565026010404
715093703,observed_rf,0.8,54,54,0.07897435897435898
715093703,observed_rf,1.15,54,54,0.06948211209080773
755434585,ccf_anatomy,0.2,55,55,0.04968416975858299
755434585,ccf_anatomy,0.35,55,55,0.05445181753773658
755434585,ccf_anatomy,0.55,55,55,0.04158423994565378
755434585,ccf_anatomy,0.8,55,55,0.04054006841616335
755434585,ccf_anatomy,1.15,55,55,0.08298375743621611
755434585,registered_map,0.2,55,55,0.07632727102380014
755434585,registered_map,0.35,55,55,0.08552191824140197
755434585,registered_map,0.55,55,55,0.013937957591812895
755434585,registered_map,0.8,55,55,0.0003284972088550873
755434585,registered_map,1.15,55,55,0.06973216808222174
755434585,observed_rf,0.2,55,55,0.07052767052767053
755434585,observed_rf,0.35,55,55,0.11315789473684211
755434585,observed_rf,0.55,55,55,0.10965250965250965
755434585,observed_rf,0.8,55,55,0.1063247863247863
755434585,observed_rf,1.15,55,55,0.09683794466403163
756029989,ccf_anatomy,0.2,54,54,0.055895011426277785
756029989,ccf_anatomy,0.35,54,54,0.07580009156858308
756029989,ccf_anatomy,0.55,54,54,0.06946220150397739
756029989,ccf_anatomy,0.8,54,54,0.009278208933151432
756029989,ccf_anatomy,1.15,54,54,0.04969820568173168
756029989,registered_map,0.2,54,54,0.04615088874958605
756029989,registered_map,0.35,54,54,0.05260393719514137
756029989,registered_map,0.55,54,54,0.03708293511516064
756029989,registered_map,0.8,54,54,0.008869863497667456
756029989,registered_map,1.15,54,54,0.030800150709444772
756029989,observed_rf,0.2,54,54,0.04462846304951568
756029989,observed_rf,0.35,54,54,0.11932464755239414
756029989,observed_rf,0.55,54,54,0.0971774193548387
756029989,observed_rf,0.8,54,54,0.08023809523809523
756029989,observed_rf,1.15,54,54,0.041987046769655464
757216464,ccf_anatomy,0.2,53,53,-0.04482465284193718
757216464,ccf_anatomy,0.35,53,53,-0.003970678810501797
757216464,ccf_anatomy,0.55,53,53,0.024133197812254717
757216464,ccf_anatomy,0.8,53,53,0.060281319123164624
757216464,ccf_anatomy,1.15,53,53,0.07079221800272012
757216464,registered_map,0.2,53,53,0.01557206296464613
757216464,registered_map,0.35,53,53,0.04158423994565378
