system,animals,median_spearman_rho,median_mae_log2,median_mae_gain_vs_constant_log2,median_mae_gain_vs_area_only_log2
area_only,14,0.39482932432251777,0.8116859171288613,0.10638297405671304,0.0
ccf_anatomy,14,0.3849065227149738,0.8258901286185504,0.1028055461011611,-0.0043208022262891665
observed_rf,14,0.1822419986410812,0.980570100345209,-0.013936411997779286,-0.13847907721476965
registered_map,14,0.36572984508116424,0.8118290869795133,0.08607082444274439,-0.0036492940875503255
