session_id,ecephys_probe_id,ecephys_structure_acronym,units,ccf_ap_mm,ccf_ml_mm,rf_azimuth_deg,rf_azimuth_iqr_deg,rf_elevation_deg,rf_elevation_iqr_deg,zhuang_area,template_x_px,template_y_px,common_azimuth_deg,common_elevation_deg,template_azimuth_deg,template_elevation_deg,residual_azimuth_deg,residual_elevation_deg,rf_vector_error_deg,named_area_distance_px
755434585,760642621,VISam,58,7.5995,7.8629999999999995,52.4421007,27.370962774999995,-3.1679930499999998,15.41128668,AM,271.8885430612562,80.54584361887002,47.5578993,-3.1679930499999998,47.60771047321221,-3.88451206503239,0.04981117321220552,-0.7165190150323903,0.7182483218774431,0.0
755434585,760642628,VISp,100,8.932,8.329,57.7818379,5.178375724999995,5.363023435000001,4.2293372675,V1,227.15784538957973,257.00004280345655,42.2181621,5.363023435000001,42.63155230727375,5.0,0.41339020727374987,-0.36302343500000056,0.5501613198226804,0.0
755434585,760642631,VISl,20,9.004000000000001,9.6495,66.33081405,10.845343925000002,7.787537309999999,6.6584758225,LM,66.00000028829965,263.00003065052533,33.66918595,7.787537309999999,35.0000045074289,7.50001546941249,1.3308185574288984,-0.28752184058750974,1.3615237205469333,0.0
755434585,760642634,VISal,12,8.282499999999999,9.466000000000001,72.26119355,19.985496049999988,26.21919585,17.223106175000005,AL,81.78593948064609,167.26874523000595,27.73880645,26.21919585,27.214060519353907,5.0,-0.5247459306460911,-21.21919585,21.22568328257978,0.0
798911424,800036196,VISam,42,7.677,7.506,55.4479612,27.877919,24.7328886,13.897716674999998,AM,286.05875239899365,74.54324015509597,44.5520388,24.7328886,48.182464846128234,0.0,3.6304260461282354,-24.7328886,24.997915348612896,0.0
798911424,800036198,VISam,12,7.914,7.407,35.2161315,15.406953325000003,25.982360149999998,10.298379099999998,AM,291.130332137539,109.99317120282396,64.7838685,25.982360149999998,35.0,0.0,-29.783868499999997,-25.982360149999998,39.52419337304178,1.0476778986080877
798911424,800036200,VISp,86,9.004,8.215,57.328272049999995,7.474613050000002,13.418447449999999,5.364376375000001,V1,201.00000146362373,289.9999953003954,42.671727950000005,13.418447449999999,34.99999832157225,14.999999999999455,-7.671729628427755,1.581552549999456,7.833054574053857,0.0
798911424,800036202,VISl,63,8.459,9.784,44.1582625,11.962149649999994,-4.932775,12.082730295,LM,68.8749301594418,226.4950927722478,55.8417375,-4.932775,30.360014593678347,-2.5607254544925224,-25.481722906321654,2.372049545507478,25.59188975673543,0.5929854359370791
798911424,800036204,VISal,43,8.16,9.737,71.9098544,6.796083199999998,18.0881301,15.553912914999998,AL,77.91440702185054,179.46264256135478,28.0901456,18.0881301,31.085592978149464,5.0,2.995447378149464,-13.0881301,13.426535461904852,0.0
798911424,800036206,VISrl,29,7.299,8.855,40.3065362,15.210895099999998,-4.9096602,11.1746607,RL,171.00005314216435,34.000009655762696,59.6934638,-4.9096602,45.0,-10.052452447591563,-14.693463800000004,-5.142792247591562,15.56747219505461,0.0
