stimulus_presentation_id,stimulus_block,start_time,stop_time,size,x_position,frame,stimulus_name,orientation,y_position,spatial_frequency,temporal_frequency,color,contrast,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,86.285852,86.519369,"[20.0, 20.0]",-10.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.23351668,1,,,0,,False,0,train,1
2,0.0,86.519369,86.769565,"[20.0, 20.0]",-40.0,null,gabors,45.0,-30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.25019644,2,,,0,,False,0,train,1
3,0.0,86.769565,87.019762,"[20.0, 20.0]",-10.0,null,gabors,90.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.25019644,3,,,0,,False,0,train,2
4,0.0,87.019762,87.269958,"[20.0, 20.0]",20.0,null,gabors,0.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.25019644,4,,,0,,False,0,train,0
5,0.0,87.269958,87.520172,"[20.0, 20.0]",40.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,5,,,0,,False,0,train,1
6,0.0,87.520172,87.770385,"[20.0, 20.0]",30.0,null,gabors,90.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,6,,,0,,False,0,train,2
7,0.0,87.770385,88.020599,"[20.0, 20.0]",-40.0,null,gabors,45.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,7,,,0,,False,0,train,1
8,0.0,88.020599,88.270812,"[20.0, 20.0]",-10.0,null,gabors,45.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,8,,,0,,False,0,train,1
9,0.0,88.270812,88.521016,"[20.0, 20.0]",40.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,9,,,0,,False,0,train,2
10,0.0,88.521016,88.77122,"[20.0, 20.0]",30.0,null,gabors,0.0,-10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,10,,,0,,False,0,train,0
11,0.0,88.77122,89.021424,"[20.0, 20.0]",20.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,11,,,0,,False,0,train,1
12,0.0,89.021424,89.271628,"[20.0, 20.0]",20.0,null,gabors,0.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,12,,,0,,False,0,train,0
13,0.0,89.271628,89.521842,"[20.0, 20.0]",10.0,null,gabors,0.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,13,,,0,,False,0,train,0
14,0.0,89.521842,89.772055,"[20.0, 20.0]",-20.0,null,gabors,45.0,-20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,14,,,0,,False,0,train,1
15,0.0,89.772055,90.022269,"[20.0, 20.0]",-30.0,null,gabors,45.0,10.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,15,,,0,,False,0,train,1
16,0.0,90.022269,90.272482,"[20.0, 20.0]",30.0,null,gabors,0.0,40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.2502135,16,,,0,,False,0,train,0
17,0.0,90.272482,90.522686,"[20.0, 20.0]",-30.0,null,gabors,90.0,30.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,17,,,0,,False,0,train,2
18,0.0,90.522686,90.77289,"[20.0, 20.0]",-10.0,null,gabors,90.0,-40.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,18,,,0,,False,0,train,2
19,0.0,90.77289,91.023094,"[20.0, 20.0]",30.0,null,gabors,90.0,20.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,19,,,0,,False,0,train,2
20,0.0,91.023094,91.273298,"[20.0, 20.0]",-30.0,null,gabors,90.0,0.0,0.08,4.0,null,0.8,"[3644.93333333, 3644.93333333]",0.250204,20,,,0,,False,0,train,2
