unit_id,selection_role,group,direction,rows_or_columns_removed,model,remaining_rows,remaining_columns,threshold_center_x_px,threshold_center_y_px,threshold_area_deg2,threshold_component_touches_crop_edge,original_threshold_component_censored,original_peak_removed,crop_stratum,success,at_bound,baseline,center_x_px,center_y_px,sigma_x_px,sigma_y_px,data_rmse,ring_modulation_rms,major_sigma_deg,minor_sigma_deg,major_sigma_ratio,absolute_log2_major_sigma_ratio,center_error_deg,threshold_area_ratio
951869357,V1 typical,V1,bottom,0,Baseline screen-bounded,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850031,4.6202393,3.2477311,0.92557053,0.57157265,2.6739389,,9.2557053,5.7157265,1,0,0,1
951869357,V1 typical,V1,bottom,0,Baseline extended,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850032,4.6202393,3.2477311,0.92557046,0.57157265,2.6739389,,9.2557046,5.7157265,1,0,0,1
951869357,V1 typical,V1,bottom,0,Baseline + DC ring,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850034,4.6202392,3.2477311,0.92557023,0.57157264,2.6739389,0.00095552861,9.2557023,5.7157264,1,0,0,1
951869357,V1 typical,V1,bottom,1,Allen no baseline,8,9,4.5,3.5,400,False,False,False,component intact,True,False,0,4.8521496,3.2629813,1.5081511,0.76786525,,,15.081511,7.6786525,1.0000088,1.2663882e-05,7.8101829e-05,1.3333333
951869357,V1 typical,V1,bottom,1,Baseline screen-bounded,8,9,4.5,3.5,400,False,False,False,component intact,True,False,2.3569479,4.6174284,3.2512856,0.91070929,0.56249986,2.789395,,9.1070929,5.6249986,0.9839437,0.02335233,0.045316375,1.3333333
951869357,V1 typical,V1,bottom,1,Baseline extended,8,9,4.5,3.5,400,False,False,False,component intact,True,False,2.356948,4.6174284,3.2512856,0.91070923,0.56249986,2.789395,,9.1070923,5.6249986,0.98394371,0.023352307,0.045316349,1.3333333
951869357,V1 typical,V1,bottom,1,Baseline + DC ring,8,9,4.5,3.5,400,False,False,False,component intact,True,False,2.3569483,4.6174283,3.2512856,0.91070893,0.56249985,2.789395,0.000903483,9.1070893,5.6249985,0.98394362,0.02335244,0.045316615,1.3333333
951869357,V1 typical,V1,bottom,2,Allen no baseline,7,9,4.5,3.5,400,False,False,False,component intact,True,False,0,4.852128,3.2629722,1.5081138,0.76782823,,,15.081138,7.6782823,0.99998401,2.3072092e-05,0.00015774204,1.3333333
951869357,V1 typical,V1,bottom,2,Baseline screen-bounded,7,9,4.5,3.5,400,False,False,False,component intact,True,False,2.5492573,4.6147204,3.2557334,0.89512331,0.55218043,2.9086784,,8.9512331,5.5218043,0.96710438,0.048256491,0.097209133,1.3333333
951869357,V1 typical,V1,bottom,2,Baseline extended,7,9,4.5,3.5,400,False,False,False,component intact,True,False,2.5492573,4.6147203,3.2557334,0.89512328,0.55218043,2.9086784,,8.9512328,5.5218043,0.96710442,0.048256427,0.097209055,1.3333333
