unit_id,group,direction,rows_or_columns_removed,crop_stratum,configuration,v1_radius_deg,hva_radius_deg,ring_weight_pixel_equivalents,success,at_bound,data_rmse,ring_modulation_rms,center_x_px,center_y_px,major_sigma_deg,absolute_log2_major_sigma_ratio,center_error_deg
951869357,V1,top,0,component intact,no ring,,,0,True,False,2.6739389,,4.6202393,3.2477311,9.2557046,0,0
951869357,V1,top,0,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.6739389,0.064131485,4.6202299,3.2477306,9.2549803,0,0
951869357,V1,top,0,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.673939,0.064001665,4.6202122,3.2477323,9.2530284,0,0
951869357,V1,top,0,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.6739406,0.063445096,4.6201044,3.2477273,9.2445954,0,0
951869357,V1,top,0,component intact,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,False,2.6739389,0.00095553158,4.6202393,3.2477311,9.255704,0,0
951869357,V1,top,0,component intact,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,False,2.6739389,0.00095552861,4.6202392,3.2477311,9.2557023,0,0
951869357,V1,top,0,component intact,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,False,2.6739389,0.00095551687,4.620239,3.2477311,9.2556958,0,0
951869357,V1,top,0,component intact,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,False,2.6739389,4.7160647e-06,4.6202393,3.2477311,9.2557046,0,0
951869357,V1,top,0,component intact,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,False,2.6739389,4.7160656e-06,4.6202393,3.2477311,9.2557047,0,0
951869357,V1,top,0,component intact,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,False,2.6739389,4.7160686e-06,4.6202393,3.2477311,9.2557049,0,0
951869357,V1,top,1,component intact,no ring,,,0,True,False,2.783527,,4.6191306,3.2490422,9.1981876,0.0089931936,0.017170435
951869357,V1,top,1,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.783527,0.071695125,4.6191012,3.2490415,9.1972537,0.0090267839,0.017298251
951869357,V1,top,1,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.7835272,0.071485296,4.6190158,3.24904,9.1945182,0.0091516426,0.017723589
951869357,V1,top,1,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.7835298,0.070701877,4.618703,3.24904,9.184244,0.0094492091,0.019201196
951869357,V1,top,1,component intact,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,False,2.783527,0.0010914171,4.6191305,3.2490422,9.1981857,0.008993406,0.017170754
951869357,V1,top,1,component intact,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,False,2.783527,0.0010914048,4.6191303,3.2490421,9.1981801,0.0089940189,0.017171644
951869357,V1,top,1,component intact,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,False,2.783527,0.0010913605,4.6191294,3.2490419,9.19816,0.0089961497,0.017174755
951869357,V1,top,1,component intact,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,False,2.783527,5.3303211e-06,4.6191306,3.2490422,9.1981877,0.0089931891,0.017170444
951869357,V1,top,1,component intact,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,False,2.783527,5.3303225e-06,4.6191306,3.2490422,9.1981877,0.008993186,0.017170429
951869357,V1,top,1,component intact,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,False,2.783527,5.3303292e-06,4.6191306,3.2490422,9.1981881,0.0089931599,0.017170395
951869357,V1,top,2,component intact,no ring,,,0,True,False,2.9002138,,4.6176662,3.2509363,9.1206176,0.02121129,0.041102298
951869357,V1,top,2,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.9002138,0.074409998,4.617667,3.2509381,9.1197525,0.021235248,0.041056585
951869357,V1,top,2,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.900214,0.074220378,4.6176697,3.2509438,9.1171805,0.021337881,0.04096065
951869357,V1,top,2,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.9002169,0.073494673,4.6176912,3.2509692,9.1073288,0.021582206,0.040414688
951869357,V1,top,2,component intact,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,False,2.9002138,0.001171918,4.6176662,3.2509363,9.1206177,0.0212112,0.041102142
951869357,V1,top,2,component intact,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,False,2.9002138,0.0011719175,4.6176662,3.2509363,9.1206176,0.021210957,0.041101754
951869357,V1,top,2,component intact,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,False,2.9002138,0.0011719141,4.6176664,3.2509363,9.1206164,0.021210121,0.041100306
951869357,V1,top,2,component intact,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,False,2.9002138,5.9088166e-06,4.6176662,3.2509363,9.1206177,0.021211283,0.041102274
951869357,V1,top,2,component intact,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,False,2.9002138,5.9088192e-06,4.6176662,3.2509363,9.1206179,0.021211266,0.041102254
951869357,V1,top,2,component intact,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,False,2.9002138,5.9088303e-06,4.6176662,3.2509363,9.1206186,0.021211192,0.041102167
951869357,V1,top,3,component intact,no ring,,,0,True,False,3.041375,,4.6324132,2.7940612,9.4895993,0.036004358,4.5383322
951869357,V1,top,3,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,3.0413865,0.21473759,4.6322051,2.8091503,9.3942292,0.021544879,4.3874382
951869357,V1,top,3,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,3.0414657,0.18599779,4.6317514,2.8352805,9.2349639,0.0028193008,4.1261318
951869357,V1,top,3,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,3.0417995,0.14724775,4.6305584,2.8786072,9.2017984,0.0066943355,3.6926817
951869357,V1,top,3,component intact,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,False,3.041375,0.0054105937,4.6324128,2.7940798,9.4894811,0.035986469,4.5381463
951869357,V1,top,3,component intact,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,False,3.041375,0.0054074192,4.6324115,2.7941356,9.4891264,0.035932811,4.5375882
951869357,V1,top,3,component intact,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,False,3.041375,0.0053949027,4.6324071,2.7943572,9.4877217,0.035720245,4.535371
951869357,V1,top,3,component intact,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,False,3.041375,4.204179e-05,4.6324132,2.7940612,9.4895993,0.036004348,4.5383322
951869357,V1,top,3,component intact,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,False,3.041375,4.2041756e-05,4.6324132,2.7940612,9.489599,0.036004298,4.5383318
951869357,V1,top,3,component intact,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,False,3.041375,4.2041716e-05,4.6324132,2.7940612,9.4895989,0.03600424,4.5383321
951869357,V1,top,4,original peak removed,no ring,,,0,True,True,2.1937595,,5.835134,4.3896536,17.959368,0.95632185,16.6732
951869357,V1,top,4,original peak removed,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.1943432,1.1190461,5.8334846,4.3064274,17.725121,0.93749363,16.102254
951869357,V1,top,4,original peak removed,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.1970515,1.0096861,5.8322977,4.2669069,17.187244,0.89334071,15.836251
951869357,V1,top,4,original peak removed,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.214248,0.79910929,5.8395418,4.2388225,15.948588,0.7867466,15.713998
951869357,V1,top,4,original peak removed,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,True,2.1937648,0.32742384,5.8349852,4.3895961,17.920951,0.95323254,16.671722
951869357,V1,top,4,original peak removed,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,True,2.1938359,0.31860859,5.8346271,4.3894364,17.813722,0.94457457,16.668019
951869357,V1,top,4,original peak removed,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,True,2.1946492,0.29099774,5.8341258,4.3889295,17.472276,0.91665423,16.660897
951869357,V1,top,4,original peak removed,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,True,2.1937596,0.077940963,5.8351216,4.3896494,17.955868,0.9560407,16.673081
951869357,V1,top,4,original peak removed,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,True,2.1937602,0.077616091,5.8350819,4.3896394,17.945409,0.9552001,16.672724
951869357,V1,top,4,original peak removed,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,True,2.1937698,0.076375906,5.8349444,4.3896015,17.905275,0.9519699,16.671462
951869357,V1,bottom,0,component intact,no ring,,,0,True,False,2.6739389,,4.6202393,3.2477311,9.2557046,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.6739389,0.064131485,4.6202299,3.2477306,9.2549803,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.673939,0.064001665,4.6202122,3.2477323,9.2530284,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.6739406,0.063445096,4.6201044,3.2477273,9.2445954,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,False,2.6739389,0.00095553158,4.6202393,3.2477311,9.255704,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,False,2.6739389,0.00095552861,4.6202392,3.2477311,9.2557023,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,False,2.6739389,0.00095551687,4.620239,3.2477311,9.2556958,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,False,2.6739389,4.7160647e-06,4.6202393,3.2477311,9.2557046,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,False,2.6739389,4.7160656e-06,4.6202393,3.2477311,9.2557047,0,0
951869357,V1,bottom,0,component intact,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,False,2.6739389,4.7160686e-06,4.6202393,3.2477311,9.2557049,0,0
951869357,V1,bottom,1,component intact,no ring,,,0,True,False,2.789395,,4.6174284,3.2512856,9.1070923,0.023352307,0.045316349
951869357,V1,bottom,1,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.789395,0.064468907,4.6174059,3.2512854,9.1063549,0.023356222,0.045399431
951869357,V1,bottom,1,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.7893951,0.064328105,4.6173493,3.251288,9.1043682,0.023366715,0.045650193
951869357,V1,bottom,1,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.7893969,0.063723734,4.6170904,3.2512864,9.0958298,0.023404927,0.046637748
951869357,V1,bottom,1,component intact,ring V1/HVA 40/50 deg; weight 1,40,50,1,True,False,2.789395,0.00090348724,4.6174284,3.2512856,9.1070916,0.023352342,0.045316427
951869357,V1,bottom,1,component intact,ring V1/HVA 40/50 deg; weight 4,40,50,4,True,False,2.789395,0.000903483,4.6174283,3.2512856,9.1070893,0.02335244,0.045316615
951869357,V1,bottom,1,component intact,ring V1/HVA 40/50 deg; weight 16,40,50,16,True,False,2.789395,0.00090346705,4.6174279,3.2512855,9.1070808,0.023352765,0.045317283
951869357,V1,bottom,1,component intact,ring V1/HVA 50/60 deg; weight 1,50,60,1,True,False,2.789395,3.9699705e-06,4.6174284,3.2512856,9.1070924,0.023352307,0.045316351
951869357,V1,bottom,1,component intact,ring V1/HVA 50/60 deg; weight 4,50,60,4,True,False,2.789395,3.9699717e-06,4.6174284,3.2512856,9.1070924,0.023352302,0.045316345
951869357,V1,bottom,1,component intact,ring V1/HVA 50/60 deg; weight 16,50,60,16,True,False,2.789395,3.969976e-06,4.6174284,3.2512856,9.1070928,0.023352284,0.045316323
951869357,V1,bottom,2,component intact,no ring,,,0,True,False,2.9086784,,4.6147203,3.2557334,8.9512328,0.048256427,0.097209055
951869357,V1,bottom,2,component intact,ring V1/HVA 30/40 deg; weight 1,30,40,1,True,False,2.9086784,0.053319171,4.6147049,3.2557334,8.9507124,0.048227402,0.097247302
951869357,V1,bottom,2,component intact,ring V1/HVA 30/40 deg; weight 4,30,40,4,True,False,2.9086785,0.053223919,4.6146598,3.2557339,8.949177,0.048170608,0.097393498
951869357,V1,bottom,2,component intact,ring V1/HVA 30/40 deg; weight 16,30,40,16,True,False,2.9086795,0.052863229,4.6144926,3.2557394,8.9433388,0.047796657,0.097818605
