preference,area,bandwidth_deg,azimuth_deg,elevation_deg,estimate_log2,estimate_preference,effective_sessions,local_units,supported,source_units,source_sessions
sf,Multi-probe V1,8,24,-28,-4.02213,0.0615487,5.99665,47,True,843,8
sf,Multi-probe V1,8,26,-28,-4.04768,0.060468,6.15071,46,True,843,8
sf,Multi-probe V1,8,28,-28,-4.07094,0.0595013,6.16709,43,True,843,8
sf,Multi-probe V1,8,30,-28,-4.08934,0.0587471,6.06806,45,True,843,8
sf,Multi-probe V1,8,32,-28,-4.09989,0.058319,5.90404,41,True,843,8
sf,Multi-probe V1,8,34,-28,-4.09919,0.0583474,5.72553,40,True,843,8
sf,Multi-probe V1,8,36,-28,-4.08356,0.058983,5.56541,39,True,843,8
sf,Multi-probe V1,8,38,-28,-4.04942,0.0603953,5.4354,33,True,843,8
sf,Multi-probe V1,8,40,-28,-3.99411,0.0627558,5.33,30,True,843,8
sf,Multi-probe V1,8,42,-28,-3.91726,0.0661892,5.23326,28,True,843,8
sf,Multi-probe V1,8,44,-28,-3.82247,0.070684,5.12779,25,True,843,8
sf,Multi-probe V1,8,46,-28,-3.71835,0.0759742,5.00494,20,True,843,8
sf,Multi-probe V1,8,48,-28,,,4.86969,16,False,843,8
sf,Multi-probe V1,8,50,-28,,,4.73468,14,False,843,8
sf,Multi-probe V1,8,52,-28,,,4.60687,14,False,843,8
sf,Multi-probe V1,8,54,-28,,,4.47824,14,False,843,8
sf,Multi-probe V1,8,56,-28,,,4.32685,12,False,843,8
sf,Multi-probe V1,8,58,-28,,,4.12661,12,False,843,8
sf,Multi-probe V1,8,60,-28,,,3.86195,12,False,843,8
sf,Multi-probe V1,8,62,-28,,,3.542,9,False,843,8
sf,Multi-probe V1,8,64,-28,,,3.20303,9,False,843,8
sf,Multi-probe V1,8,66,-28,,,2.89318,7,False,843,8
sf,Multi-probe V1,8,68,-28,,,2.65169,5,False,843,8
sf,Multi-probe V1,8,70,-28,,,2.49906,4,False,843,8
sf,Multi-probe V1,8,72,-28,,,2.43836,3,False,843,8
sf,Multi-probe V1,8,74,-28,,,2.45774,3,False,843,8
sf,Multi-probe V1,8,76,-28,,,2.52918,3,False,843,8
sf,Multi-probe V1,8,78,-28,,,2.61182,3,False,843,8
sf,Multi-probe V1,8,80,-28,,,2.6723,2,False,843,8
sf,Multi-probe V1,8,82,-28,,,2.70997,1,False,843,8
sf,Multi-probe V1,8,84,-28,,,2.75402,1,False,843,8
sf,Multi-probe V1,8,86,-28,,,2.83614,1,False,843,8
sf,Multi-probe V1,8,88,-28,,,2.97055,1,False,843,8
sf,Multi-probe V1,8,90,-28,,,3.14954,1,False,843,8
sf,Multi-probe V1,8,10,-26,,,4.34445,19,False,843,8
sf,Multi-probe V1,8,12,-26,-3.87572,0.0681226,4.51612,25,True,843,8
sf,Multi-probe V1,8,14,-26,-3.89037,0.0674346,4.72963,32,True,843,8
sf,Multi-probe V1,8,16,-26,-3.90528,0.066741,4.98993,35,True,843,8
sf,Multi-probe V1,8,18,-26,-3.92073,0.0660301,5.2946,39,True,843,8
sf,Multi-probe V1,8,20,-26,-3.93702,0.0652888,5.62695,44,True,843,8
sf,Multi-probe V1,8,22,-26,-3.95434,0.0645095,5.95012,48,True,843,8
sf,Multi-probe V1,8,24,-26,-3.9726,0.0636984,6.21044,54,True,843,8
sf,Multi-probe V1,8,26,-26,-3.9912,0.0628826,6.35719,55,True,843,8
sf,Multi-probe V1,8,28,-26,-4.00893,0.0621145,6.37049,57,True,843,8
sf,Multi-probe V1,8,30,-26,-4.02389,0.0614734,6.27285,57,True,843,8
sf,Multi-probe V1,8,32,-26,-4.03352,0.0610645,6.11297,57,True,843,8
sf,Multi-probe V1,8,34,-26,-4.03458,0.0610199,5.93875,52,True,843,8
sf,Multi-probe V1,8,36,-26,-4.02332,0.0614978,5.78049,49,True,843,8
sf,Multi-probe V1,8,38,-26,-3.99589,0.0626784,5.64785,43,True,843,8
