azimuth_deg,elevation_deg,mousev2_estimate_log2,mousev2_supported,allen_estimate_log2,allen_supported,preference,shared_supported,mousev2_minus_allen_log2,mousev2_over_allen_ratio
10,-30,-3.87329,True,,False,sf,False,,
12,-30,-3.88313,True,,False,sf,False,,
14,-30,-3.89283,True,,False,sf,False,,
16,-30,-3.90224,True,,False,sf,False,,
18,-30,-3.91116,True,,False,sf,False,,
20,-30,-3.91935,True,,False,sf,False,,
22,-30,-3.9265,True,,False,sf,False,,
24,-30,-3.93225,True,,False,sf,False,,
26,-30,-3.93617,True,,False,sf,False,,
28,-30,-3.93775,True,,False,sf,False,,
30,-30,-3.93648,True,,False,sf,False,,
32,-30,-3.93176,True,,False,sf,False,,
34,-30,-3.92305,True,,False,sf,False,,
36,-30,-3.90985,True,-4.1629,True,sf,True,0.25305,1.191724
38,-30,-3.8918,True,-4.14897,True,sf,True,0.25717,1.195132
40,-30,-3.86875,True,-4.13311,True,sf,True,0.26436,1.201103
42,-30,-3.8409,True,-4.11622,True,sf,True,0.27532,1.210263
44,-30,-3.80885,True,-4.09909,True,sf,True,0.29024,1.222844
46,-30,-3.77373,True,-4.0823,True,sf,True,0.30857,1.23848
48,-30,-3.73717,True,-4.06624,True,sf,True,0.32907,1.256203
50,-30,-3.7013,True,-4.05114,True,sf,True,0.34984,1.274419
52,-30,-3.66849,True,-4.03709,True,sf,True,0.3686,1.291099
54,-30,-3.6412,True,-4.0241,True,sf,True,0.3829,1.30396
56,-30,-3.62161,True,-4.01215,True,sf,True,0.39054,1.310884
58,-30,,False,-4.00119,True,sf,False,,
60,-30,,False,-3.99119,True,sf,False,,
62,-30,,False,-3.98215,True,sf,False,,
64,-30,,False,-3.97401,True,sf,False,,
66,-30,,False,-3.96671,True,sf,False,,
68,-30,,False,-3.96009,True,sf,False,,
70,-30,,False,-3.95387,True,sf,False,,
72,-30,,False,-3.94769,True,sf,False,,
74,-30,,False,-3.94108,True,sf,False,,
76,-30,,False,,False,sf,False,,
78,-30,,False,,False,sf,False,,
80,-30,,False,,False,sf,False,,
82,-30,,False,,False,sf,False,,
84,-30,,False,,False,sf,False,,
86,-30,,False,,False,sf,False,,
88,-30,,False,,False,sf,False,,
90,-30,,False,,False,sf,False,,
10,-28,-3.85703,True,,False,sf,False,,
12,-28,-3.86605,True,,False,sf,False,,
14,-28,-3.87481,True,,False,sf,False,,
16,-28,-3.88317,True,,False,sf,False,,
18,-28,-3.89095,True,,False,sf,False,,
20,-28,-3.89793,True,,False,sf,False,,
22,-28,-3.90385,True,,False,sf,False,,
24,-28,-3.90839,True,-4.14878,True,sf,True,0.24039,1.181312
26,-28,-3.91116,True,-4.15894,True,sf,True,0.24778,1.187379
28,-28,-3.91172,True,,False,sf,False,,
30,-28,-3.9096,True,-4.16627,True,sf,True,0.25667,1.194718
32,-28,-3.90427,True,-4.16349,True,sf,True,0.25922,1.196831
34,-28,-3.89523,True,-4.15696,True,sf,True,0.26173,1.198916
36,-28,-3.88203,True,-4.14735,True,sf,True,0.26532,1.201903
38,-28,-3.86433,True,-4.13546,True,sf,True,0.27113,1.206753
40,-28,-3.84201,True,-4.1221,True,sf,True,0.28009,1.214271
42,-28,-3.81527,True,-4.10799,True,sf,True,0.29272,1.224948
