ecephys_session_id,specimen_id,cohort,area,n_units,azimuth_median_deg,azimuth_q25_deg,azimuth_q75_deg,elevation_median_deg,elevation_q25_deg,elevation_q75_deg,median_radial_dispersion_deg,cov_azimuth_deg2,cov_elevation_deg2,cov_azimuth_elevation_deg2,rf_area_median_deg2,v1_n_units,v1_azimuth_median_deg,v1_elevation_median_deg,delta_azimuth_deg,delta_elevation_deg,distance_from_v1_deg,targeting_rule
715093703,699733581,Brain Observatory 1.1,AM,54.0,67.97,52.99625,80.0,3.0950000000000024,-5.0,12.369999999999997,18.866033640641156,416.6807487145354,291.17946843780567,6.018494878057303,900.0,93.0,50.0,-7.5,17.97,10.595000000000002,20.860846699019675,shared retinotopic rule
715093703,699733581,Brain Observatory 1.1,LM,58.0,29.0475,20.0,35.0,20.4165,15.25,25.0,10.27288572709031,272.35999443587417,130.99891677071992,-24.95701198427105,600.0,93.0,50.0,-7.5,-20.9525,27.9165,34.90470209728196,shared retinotopic rule
715093703,699733581,Brain Observatory 1.1,PM,73.0,40.0,28.889,60.0,6.6669999999999945,-11.817999999999998,13.332999999999998,22.23643157073544,452.24434573972593,347.6854282640792,-219.38125250894223,700.0,93.0,50.0,-7.5,-10.0,14.166999999999994,17.340815695923876,shared retinotopic rule
715093703,699733581,Brain Observatory 1.1,RL,126.0,23.692999999999998,17.35725,35.0,5.0,-17.7085,26.0,23.954066813925536,175.29973819485704,540.846508343937,-67.3482241407619,600.0,93.0,50.0,-7.5,-26.307000000000002,12.5,29.12573173329728,RL geometric-center accommodation
719161530,703279284,Brain Observatory 1.1,AL,21.0,80.0,73.333,86.25,25.0,17.333,30.0,11.180339887498949,269.00495656190486,101.68795416190477,-94.26768155476192,900.0,82.0,76.667,5.0,3.3329999999999984,20.0,20.275820303997566,shared retinotopic rule
719161530,703279284,Brain Observatory 1.1,AM,50.0,75.0,58.58325000000001,83.64574999999999,10.0,2.8335000000000026,14.58325,13.39062852435838,313.65025321469386,165.94069610979602,-8.349854392653075,700.0,82.0,76.667,5.0,-1.6670000000000016,5.0,5.270568185689282,shared retinotopic rule
719161530,703279284,Brain Observatory 1.1,LM,56.0,78.09100000000001,66.52199999999999,84.0625,20.0,12.14275,25.480250000000005,12.152394507870493,179.92809776331163,188.91088991558445,10.575954965584426,700.0,82.0,76.667,5.0,1.4240000000000066,15.0,15.067440924058737,shared retinotopic rule
719161530,703279284,Brain Observatory 1.1,PM,36.0,30.0,23.214,35.673,32.059,27.5,36.944750000000006,11.480428686869443,180.72284427539685,140.48336439682544,-23.080382553968256,700.0,82.0,76.667,5.0,-46.667,27.058999999999997,53.944400728898636,shared retinotopic rule
719161530,703279284,Brain Observatory 1.1,RL,16.0,34.643,28.75,45.0,-19.706000000000003,-23.295250000000003,-16.428749999999994,10.68090155397584,135.74973265,327.0244581999999,-127.64730409999999,700.0,82.0,76.667,5.0,-42.024,-24.706000000000003,48.74836419819644,RL geometric-center accommodation
721123822,707296982,Brain Observatory 1.1,AL,89.0,73.333,60.0,85.0,30.0,20.0,37.5,17.323882041851938,364.82627945888675,250.1152549131767,-1.3736443116700499,600.0,58.0,55.0,5.0,18.333,25.0,31.001594942841248,shared retinotopic rule
721123822,707296982,Brain Observatory 1.1,AM,65.0,44.167,35.0,56.0,-5.713999999999999,-12.0,5.0,16.82406493686945,301.59530567884616,156.75995061634617,-57.54434166322115,800.0,58.0,55.0,5.0,-10.832999999999998,-10.713999999999999,15.236262172855911,shared retinotopic rule
721123822,707296982,Brain Observatory 1.1,LM,61.0,15.0,10.0,22.857,20.0,10.0,28.0,13.437551041763527,172.03774215409817,204.15681365245916,-23.955183837158465,400.0,58.0,55.0,5.0,-40.0,15.0,42.720018726587654,shared retinotopic rule
721123822,707296982,Brain Observatory 1.1,RL,71.0,48.75,40.0,56.528,-20.0,-25.0,-13.7855,11.25,251.5266466498994,170.79945073883306,17.045376298189137,800.0,58.0,55.0,5.0,-6.25,-25.0,25.76941016011038,RL geometric-center accommodation
732592105,717038288,Brain Observatory 1.1,AL,88.0,86.0,79.72225,90.0,-5.0,-10.5555,3.3077499999999986,9.917789640300013,460.13830170533,178.47314292319746,-123.54547928108656,450.0,154.0,55.0,15.0,31.0,-20.0,36.89173349139343,shared retinotopic rule
732592105,717038288,Brain Observatory 1.1,LM,47.0,45.0,35.0,55.0,50.0,46.0,50.0,10.0,318.8642736068456,208.25183420906552,-44.012171806660504,300.0,154.0,55.0,15.0,-10.0,35.0,36.40054944640259,shared retinotopic rule
732592105,717038288,Brain Observatory 1.1,PM,85.0,60.588,53.33300000000001,75.833,6.6669999999999945,-2.5,14.0,18.644748134528392,348.3408842613447,195.32256999075642,-89.85082623767507,800.0,154.0,55.0,15.0,5.588000000000001,-8.333000000000006,10.033176615608843,shared retinotopic rule
