ecephys_unit_id,ecephys_session_id,ecephys_probe_id,specimen_id,cohort,area,azimuth_rf,elevation_rf,area_rf,p_value_rf,v1_azimuth_median_deg,v1_elevation_median_deg,relative_azimuth_deg,relative_elevation_deg,inside_v1_convex_hull,inside_v1_robust_box
915960235,732592105,733744649,717038288,Brain Observatory 1.1,V1,77.143,45.714,700.0,0.0,55.0,15.0,22.143,30.714,True,False
915960239,732592105,733744649,717038288,Brain Observatory 1.1,V1,18.0,-4.000000000000004,500.0,0.0,55.0,15.0,-37.0,-19.000000000000004,True,False
915960249,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.182,9.090999999999994,1100.0,0.0,55.0,15.0,3.182000000000002,-5.909000000000006,True,True
915960253,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.842,-5.262999999999998,1900.0,0.006,55.0,15.0,1.8419999999999987,-20.262999999999998,True,False
915960262,732592105,733744649,717038288,Brain Observatory 1.1,V1,33.333,18.889,900.0,0.0,55.0,15.0,-21.667,3.8889999999999993,True,True
915960279,732592105,733744649,717038288,Brain Observatory 1.1,V1,42.0,16.0,500.0,0.0,55.0,15.0,-13.0,1.0,True,True
915960290,732592105,733744649,717038288,Brain Observatory 1.1,V1,86.667,16.667,300.0,0.0069999999999999,55.0,15.0,31.667,1.6670000000000016,True,False
915960271,732592105,733744649,717038288,Brain Observatory 1.1,V1,55.0,20.0,600.0,0.0,55.0,15.0,0.0,5.0,True,True
915960330,732592105,733744649,717038288,Brain Observatory 1.1,V1,30.0,10.0,900.0,0.002,55.0,15.0,-25.0,-5.0,True,True
915960333,732592105,733744649,717038288,Brain Observatory 1.1,V1,90.0,-5.0,200.0,0.0,55.0,15.0,35.0,-20.0,True,False
915960337,732592105,733744649,717038288,Brain Observatory 1.1,V1,68.75,11.25,800.0,0.0,55.0,15.0,13.75,-3.75,True,True
915960341,732592105,733744649,717038288,Brain Observatory 1.1,V1,65.0,15.0,400.0,0.0,55.0,15.0,10.0,0.0,True,True
915960345,732592105,733744649,717038288,Brain Observatory 1.1,V1,13.75,30.0,800.0,0.0,55.0,15.0,-41.25,15.0,True,False
915960348,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.273,14.544999999999996,1100.0,0.0,55.0,15.0,2.2730000000000032,-0.4550000000000036,True,True
915960359,732592105,733744649,717038288,Brain Observatory 1.1,V1,25.0,15.0,400.0,0.0,55.0,15.0,-30.0,0.0,True,True
915960371,732592105,733744649,717038288,Brain Observatory 1.1,V1,15.0,25.0,400.0,0.0,55.0,15.0,-40.0,10.0,True,False
915960374,732592105,733744649,717038288,Brain Observatory 1.1,V1,48.0,14.0,500.0,0.005,55.0,15.0,-7.0,-1.0,True,True
915960409,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,16.25,800.0,0.0,55.0,15.0,-3.75,1.25,True,True
915960413,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300.0,0.0,55.0,15.0,-8.332999999999998,1.6670000000000016,True,True
915960427,732592105,733744649,717038288,Brain Observatory 1.1,V1,40.0,15.0,600.0,0.0,55.0,15.0,-15.0,0.0,True,True
915961088,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300.0,0.0,55.0,15.0,-8.332999999999998,1.6670000000000016,True,True
915960406,732592105,733744649,717038288,Brain Observatory 1.1,V1,55.0,-25.0,800.0,0.0,55.0,15.0,0.0,-40.0,True,False
915960434,732592105,733744649,717038288,Brain Observatory 1.1,V1,64.0,-24.000000000000004,1000.0,0.0,55.0,15.0,9.0,-39.0,True,False
915960438,732592105,733744649,717038288,Brain Observatory 1.1,V1,73.63600000000001,20.908999999999992,1100.0,0.001,55.0,15.0,18.63600000000001,5.908999999999992,True,True
915960446,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.332999999999998,300.0,0.005,55.0,15.0,1.6670000000000016,-1.6670000000000016,True,True
915960454,732592105,733744649,717038288,Brain Observatory 1.1,V1,55.0,15.0,400.0,0.0,55.0,15.0,0.0,0.0,True,True
915960456,732592105,733744649,717038288,Brain Observatory 1.1,V1,32.0,16.0,500.0,0.0,55.0,15.0,-23.0,1.0,True,True
915960460,732592105,733744649,717038288,Brain Observatory 1.1,V1,67.143,10.0,700.0,0.0,55.0,15.0,12.143,-5.0,True,True
915960463,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,18.75,800.0,0.0,55.0,15.0,-3.75,3.75,True,True
915960467,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.429,19.285999999999994,1400.0,0.006,55.0,15.0,1.429000000000002,4.285999999999994,True,True
915960470,732592105,733744649,717038288,Brain Observatory 1.1,V1,85.0,50.0,200.0,0.0,55.0,15.0,30.0,35.0,True,False
915960478,732592105,733744649,717038288,Brain Observatory 1.1,V1,35.0,50.0,200.0,0.0,55.0,15.0,-20.0,35.0,True,False
915960489,732592105,733744649,717038288,Brain Observatory 1.1,V1,55.0,15.0,400.0,0.0,55.0,15.0,0.0,0.0,True,True
915960504,732592105,733744649,717038288,Brain Observatory 1.1,V1,48.0,16.0,500.0,0.0,55.0,15.0,-7.0,1.0,True,True
915960510,732592105,733744649,717038288,Brain Observatory 1.1,V1,31.429,44.286,700.0,0.0,55.0,15.0,-23.571,29.286,True,False
915960530,732592105,733744649,717038288,Brain Observatory 1.1,V1,50.0,15.0,600.0,0.0,55.0,15.0,-5.0,0.0,True,True
915960539,732592105,733744649,717038288,Brain Observatory 1.1,V1,50.0,15.0,400.0,0.0,55.0,15.0,-5.0,0.0,True,True
915960518,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300.0,0.0,55.0,15.0,-8.332999999999998,1.6670000000000016,True,True
915960522,732592105,733744649,717038288,Brain Observatory 1.1,V1,50.0,15.0,600.0,0.0,55.0,15.0,-5.0,0.0,True,True
915960550,732592105,733744649,717038288,Brain Observatory 1.1,V1,64.375,-15.625,1600.0,0.005,55.0,15.0,9.375,-30.625,True,False
915960553,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,8.888999999999996,900.0,0.0,55.0,15.0,1.6670000000000016,-6.111000000000004,True,True
915960562,732592105,733744649,717038288,Brain Observatory 1.1,V1,60.0,12.857,700.0,0.0,55.0,15.0,5.0,-2.1430000000000007,True,True
915960566,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.0,4.0,500.0,0.0,55.0,15.0,-3.0,-11.0,True,True
915960569,732592105,733744649,717038288,Brain Observatory 1.1,V1,55.0,6.6669999999999945,600.0,0.0,55.0,15.0,0.0,-8.333000000000006,True,True
915961096,732592105,733744649,717038288,Brain Observatory 1.1,V1,70.0,10.0,700.0,0.0,55.0,15.0,15.0,-5.0,True,True
915960572,732592105,733744649,717038288,Brain Observatory 1.1,V1,50.0,22.608999999999995,2300.0,0.0,55.0,15.0,-5.0,7.608999999999995,True,True
915960575,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.857,15.714000000000004,700.0,0.0,55.0,15.0,-2.1430000000000007,0.714000000000004,True,True
915960581,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.0,14.0,500.0,0.0,55.0,15.0,-3.0,-1.0,True,True
915960586,732592105,733744649,717038288,Brain Observatory 1.1,V1,55.0,15.0,400.0,0.0,55.0,15.0,0.0,0.0,True,True
915960589,732592105,733744649,717038288,Brain Observatory 1.1,V1,63.33300000000001,8.888999999999996,900.0,0.0,55.0,15.0,8.333000000000013,-6.111000000000004,True,True
915960592,732592105,733744649,717038288,Brain Observatory 1.1,V1,10.0,15.0,200.0,0.006,55.0,15.0,-45.0,0.0,True,False
915960595,732592105,733744649,717038288,Brain Observatory 1.1,V1,30.0,15.0,600.0,0.0,55.0,15.0,-25.0,0.0,True,True
915960621,732592105,733744649,717038288,Brain Observatory 1.1,V1,50.0,15.0,600.0,0.0,55.0,15.0,-5.0,0.0,True,True
915960599,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.143,14.285999999999996,700.0,0.0,55.0,15.0,2.1430000000000007,-0.714000000000004,True,True
