cohort,area,n_units,inside_v1_convex_hull_fraction,inside_v1_robust_box_fraction,v1_azimuth_low_deg,v1_azimuth_high_deg,v1_elevation_low_deg,v1_elevation_high_deg
Brain Observatory 1.1,V1,3186,1.0,0.9111738857501569,-32.633875,25.573,-19.0,25.2375625
Brain Observatory 1.1,LM,1211,0.9884393063583815,0.33278282411230387,-32.633875,25.573,-19.0,25.2375625
Brain Observatory 1.1,RL,1642,0.9543239951278928,0.27649208282582216,-32.633875,25.573,-19.0,25.2375625
Brain Observatory 1.1,AL,2036,0.9602161100196464,0.2342829076620825,-32.633875,25.573,-19.0,25.2375625
Brain Observatory 1.1,PM,1107,0.9774164408310749,0.42366757000903343,-32.633875,25.573,-19.0,25.2375625
Brain Observatory 1.1,AM,1737,0.9631548647092688,0.4674726540011514,-32.633875,25.573,-19.0,25.2375625
Functional Connectivity,V1,2325,1.0,0.9195698924731183,-29.958299999999998,25.0,-15.698199999999996,25.0
Functional Connectivity,LM,1311,0.9519450800915332,0.4431731502669718,-29.958299999999998,25.0,-15.698199999999996,25.0
Functional Connectivity,RL,990,0.9757575757575757,0.22323232323232323,-29.958299999999998,25.0,-15.698199999999996,25.0
Functional Connectivity,AL,1625,0.8830769230769231,0.2621538461538461,-29.958299999999998,25.0,-15.698199999999996,25.0
Functional Connectivity,PM,976,0.9426229508196722,0.25,-29.958299999999998,25.0,-15.698199999999996,25.0
Functional Connectivity,AM,1457,0.942347288949897,0.4742621825669183,-29.958299999999998,25.0,-15.698199999999996,25.0
