ecephys_session_id,specimen_id,cohort,area,n_units,azimuth_median_deg,azimuth_q25_deg,azimuth_q75_deg,elevation_median_deg,elevation_q25_deg,elevation_q75_deg,median_radial_dispersion_deg,cov_azimuth_deg2,cov_elevation_deg2,cov_azimuth_elevation_deg2,rf_area_median_deg2
715093703,699733581,Brain Observatory 1.1,AM,54.0,67.97,52.99625,80.0,3.0950000000000024,-5.0,12.369999999999997,18.866033640641156,416.6807487145354,291.17946843780567,6.018494878057303,900.0
715093703,699733581,Brain Observatory 1.1,LM,58.0,29.0475,20.0,35.0,20.4165,15.25,25.0,10.27288572709031,272.35999443587417,130.99891677071992,-24.95701198427105,600.0
715093703,699733581,Brain Observatory 1.1,PM,73.0,40.0,28.889,60.0,6.6669999999999945,-11.817999999999998,13.332999999999998,22.23643157073544,452.24434573972593,347.6854282640792,-219.38125250894223,700.0
715093703,699733581,Brain Observatory 1.1,RL,126.0,23.692999999999998,17.35725,35.0,5.0,-17.7085,26.0,23.954066813925536,175.29973819485704,540.846508343937,-67.3482241407619,600.0
715093703,699733581,Brain Observatory 1.1,V1,93.0,50.0,45.0,55.0,-7.5,-11.111000000000004,-5.0,6.810154917474345,151.64738903599826,101.88482936839638,-25.44468057106124,400.0
719161530,703279284,Brain Observatory 1.1,AL,21.0,80.0,73.333,86.25,25.0,17.333,30.0,11.180339887498949,269.00495656190486,101.68795416190477,-94.26768155476192,900.0
719161530,703279284,Brain Observatory 1.1,AM,50.0,75.0,58.58325000000001,83.64574999999999,10.0,2.8335000000000026,14.58325,13.39062852435838,313.65025321469386,165.94069610979602,-8.349854392653075,700.0
719161530,703279284,Brain Observatory 1.1,LM,56.0,78.09100000000001,66.52199999999999,84.0625,20.0,12.14275,25.480250000000005,12.152394507870493,179.92809776331163,188.91088991558445,10.575954965584426,700.0
719161530,703279284,Brain Observatory 1.1,PM,36.0,30.0,23.214,35.673,32.059,27.5,36.944750000000006,11.480428686869443,180.72284427539685,140.48336439682544,-23.080382553968256,700.0
719161530,703279284,Brain Observatory 1.1,RL,16.0,34.643,28.75,45.0,-19.706000000000003,-23.295250000000003,-16.428749999999994,10.68090155397584,135.74973265,327.0244581999999,-127.64730409999999,700.0
