bound,bound_hits,med_abs_az,med_abs_el,max_az,max_el,rf_gain,split_az,split_el,half_diff_az,half_diff_el,v1_sf,v1_tf,hva_sf,hva_tf
10,12,5.33035,5.33612,10.0,10.0,0.253922,0.260967,-0.235651,5.39067,6.66683,-0.0559828,-0.0425199,0.082041,-0.0631316
15,12,9.38753,5.33339,15.0,15.0,0.4416840000000001,-0.15,0.183688,12.0076,6.02323,-0.0244659,0.00706804,0.0266235,-0.177114
20,8,9.39766,6.2142,20.0,19.9893,0.506142,0.209274,0.128226,10.6673,6.67172,-0.00484972,-0.0997683,0.0311377,-0.220895
30,0,9.33038,5.33336,28.9377,25.3334,0.5180389999999999,0.0822581,0.0471774,15.7702,7.99984,-0.0775451,-0.0823042,0.113651,-0.147633
