ecephys_unit_id,ecephys_session_id,ecephys_probe_id,specimen_id,cohort,area,azimuth_rf,elevation_rf,area_rf,p_value_rf,v1_azimuth_median_deg,v1_elevation_median_deg,relative_azimuth_deg,relative_elevation_deg,inside_v1_convex_hull,inside_v1_robust_box,height_rf,on_screen_rf,width_rf,azimuth_edge_distance_deg,elevation_edge_distance_deg,nearest_edge_distance_deg,width_sigma_magnitude_deg,height_sigma_magnitude_deg,maximum_sigma_magnitude_deg,geometric_mean_sigma_deg,log2_maximum_sigma,log2_geometric_mean_sigma,larger_than_mapped_span,edge_band_deg
915960406,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,-25,800,0,55,15,0,-40,True,False,1082.548,False,1307.805,35,5,5,1307.805,1082.548,1307.805,1189.858,10.35293,10.21657,True,0–5
915960434,732592105,733744649,717038288,Brain Observatory 1.1,V1,64,-24,1000,0,55,15,9,-39,True,False,4387.265,False,1567.426,26,6,6,1567.426,4387.265,4387.265,2622.349,12.09911,11.35664,True,>5–10
915960438,732592105,733744649,717038288,Brain Observatory 1.1,V1,73.636,20.909,1100,0.001,55,15,18.636,5.909,True,True,111.8073,True,104.0099,16.364,29.091,16.364,104.0099,111.8073,111.8073,107.8381,6.80487,6.752724,True,>10–20
915960446,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.333,300,0.005,55,15,1.667,-1.667,True,True,40.89031,True,51.21235,33.333,36.667,33.333,51.21235,40.89031,51.21235,45.76121,5.67842,5.516053,False,>20–40
915960454,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,17.95496,True,12.01217,35,35,35,12.01217,17.95496,17.95496,14.68598,4.166311,3.876368,False,>20–40
915960456,732592105,733744649,717038288,Brain Observatory 1.1,V1,32,16,500,0,55,15,-23,1,True,True,191.5619,False,98.18001,22,34,22,98.18001,191.5619,191.5619,137.1406,7.581667,7.099512,True,>20–40
915960460,732592105,733744649,717038288,Brain Observatory 1.1,V1,67.143,10,700,0,55,15,12.143,-5,True,True,88.13488,True,59.02494,22.857,40,22.857,59.02494,88.13488,88.13488,72.12597,6.461641,6.172447,True,>20–40
915960463,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,18.75,800,0,55,15,-3.75,3.75,True,True,57.87802,True,43.27562,38.75,31.25,31.25,43.27562,57.87802,57.87802,50.04705,5.854944,5.645213,False,>20–40
915960467,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.429,19.286,1400,0.006,55,15,1.429,4.286,True,True,25.06415,True,19.82924,33.571,30.714,30.714,19.82924,25.06415,25.06415,22.29357,4.647554,4.478556,False,>20–40
915960470,732592105,733744649,717038288,Brain Observatory 1.1,V1,85,50,200,0,55,15,30,35,True,False,1700.447,False,730.1333,5,0,0,730.1333,1700.447,1700.447,1114.25,10.7317,10.12186,True,0–5
915960478,732592105,733744649,717038288,Brain Observatory 1.1,V1,35,50,200,0,55,15,-20,35,True,False,102.4204,False,1376.099,25,0,0,1376.099,102.4204,1376.099,375.4205,10.42637,8.552363,True,0–5
915960489,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,31.80655,True,32.38733,35,35,35,32.38733,31.80655,32.38733,32.09563,5.017358,5.004305,False,>20–40
915960504,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,16,500,0,55,15,-7,1,True,True,29.20921,True,28.43046,38,34,34,28.43046,29.20921,29.20921,28.8172,4.868351,4.848858,False,>20–40
915960510,732592105,733744649,717038288,Brain Observatory 1.1,V1,31.429,44.286,700,0,55,15,-23.571,29.286,True,False,1669.352,False,3126.674,21.429,5.714,5.714,3126.674,1669.352,3126.674,2284.627,11.61041,11.15774,True,>5–10
915960530,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,32.72215,True,25.39084,40,35,35,25.39084,32.72215,32.72215,28.82435,5.032196,4.849216,False,>20–40
915960539,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,400,0,55,15,-5,0,True,True,17.88826,True,12.17663,40,35,35,12.17663,17.88826,17.88826,14.75868,4.160941,3.883492,False,>20–40
915960518,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,36.9331,True,39.31627,36.667,33.333,33.333,39.31627,36.9331,39.31627,38.10606,5.297055,5.251949,False,>20–40
915960522,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,26.16683,True,22.35589,40,35,35,22.35589,26.16683,26.16683,24.18642,4.709667,4.596125,False,>20–40
915960550,732592105,733744649,717038288,Brain Observatory 1.1,V1,64.375,-15.625,1600,0.005,55,15,9.375,-30.625,True,False,153.5654,False,1898.784,25.625,14.375,14.375,1898.784,153.5654,1898.784,539.9885,10.89086,9.076785,True,>10–20
915960553,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,8.889,900,0,55,15,1.667,-6.111,True,True,48.19462,True,42.32519,33.333,38.889,33.333,42.32519,48.19462,48.19462,45.16466,5.5908,5.497122,False,>20–40
915960562,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,12.857,700,0,55,15,5,-2.143,True,True,46.11935,True,38.65222,30,37.143,30,38.65222,46.11935,46.11935,42.22103,5.5273,5.39989,False,>20–40
915960566,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,4,500,0,55,15,-3,-11,True,True,26.37062,True,21.53373,38,34,34,21.53373,26.37062,26.37062,23.82977,4.72086,4.574693,False,>20–40
915960569,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,6.667,600,0,55,15,0,-8.333,True,True,53.08906,True,36.9958,35,36.667,35,36.9958,53.08906,53.08906,44.31786,5.730343,5.469816,False,>20–40
915961096,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,10,700,0,55,15,15,-5,True,True,216.1279,False,97.92061,20,40,20,97.92061,216.1279,216.1279,145.4764,7.755742,7.184641,True,>10–20
915960572,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,22.609,2300,0,55,15,-5,7.609,True,True,50.97614,True,46.17386,40,27.391,27.391,46.17386,50.97614,50.97614,48.51562,5.67175,5.600377,False,>20–40
915960575,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.857,15.714,700,0,55,15,-2.143,0.714,True,True,53.64992,True,48.25872,37.143,34.286,34.286,48.25872,53.64992,53.64992,50.88296,5.745504,5.669111,False,>20–40
915960581,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,49.24006,True,45.97017,38,36,36,45.97017,49.24006,49.24006,47.57703,5.621761,5.572193,False,>20–40
915960586,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,63.57608,True,76.64852,35,35,35,76.64852,63.57608,76.64852,69.80696,6.260186,6.125299,False,>20–40
915960589,732592105,733744649,717038288,Brain Observatory 1.1,V1,63.333,8.889,900,0,55,15,8.333,-6.111,True,True,48.53007,True,41.20373,26.667,38.889,26.667,41.20373,48.53007,48.53007,44.71711,5.600807,5.482755,False,>20–40
915960592,732592105,733744649,717038288,Brain Observatory 1.1,V1,10,15,200,0.006,55,15,-45,0,True,False,8274.855,False,153.0538,0,35,0,153.0538,8274.855,8274.855,1125.388,13.01452,10.13621,True,0–5
915960595,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,15,600,0,55,15,-25,0,True,True,112.1645,True,56.31155,20,35,20,56.31155,112.1645,112.1645,79.47424,6.809472,6.312415,True,>10–20
915960621,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,26.40851,True,24.06034,40,35,35,24.06034,26.40851,26.40851,25.2071,4.722931,4.655758,False,>20–40
915960599,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.143,14.286,700,0,55,15,2.143,-0.714,True,True,54.14286,True,42.85819,32.857,35.714,32.857,42.85819,54.14286,54.14286,48.17121,5.758699,5.590099,False,>20–40
915960602,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.875,13.75,1600,0,55,15,-3.125,-1.25,True,True,46.46617,True,35.82207,38.125,36.25,36.25,35.82207,46.46617,46.46617,40.79846,5.538109,5.350443,False,>20–40
915960606,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,16.667,300,0,55,15,1.667,1.667,True,True,55.97569,True,76.00889,33.333,33.333,33.333,76.00889,55.97569,76.00889,65.22768,6.248096,6.027412,False,>20–40
915960609,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,17.143,700,0,55,15,-5,2.143,True,True,24.82499,True,25.20862,40,32.857,32.857,25.20862,24.82499,25.20862,25.01607,4.655845,4.644783,False,>20–40
915960612,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,28.95468,True,25.12547,40,35,35,25.12547,28.95468,28.95468,26.97221,4.855725,4.753402,False,>20–40
915960615,732592105,733744649,717038288,Brain Observatory 1.1,V1,68,6,500,0,55,15,13,-9,True,True,82.47397,True,64.98262,22,36,22,64.98262,82.47397,82.47397,73.20775,6.365867,6.193924,True,>20–40
915960618,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,600,0,55,15,5,0,True,True,40.95817,True,32.48374,30,35,30,32.48374,40.95817,40.95817,36.47567,5.356079,5.188863,False,>20–40
915961098,732592105,733744649,717038288,Brain Observatory 1.1,V1,61.333,19.333,1500,0.005,55,15,6.333,4.333,True,True,22.3477,True,15.30258,28.667,30.667,28.667,15.30258,22.3477,22.3477,18.49264,4.482055,4.208879,False,>20–40
915960624,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.75,11.25,800,0,55,15,3.75,-3.75,True,True,41.34826,True,34.11016,31.25,38.75,31.25,34.11016,41.34826,41.34826,37.55523,5.369755,5.230942,False,>20–40
915960627,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,18,1000,0,55,15,-10,3,True,True,40.77257,True,36.35691,35,32,32,36.35691,40.77257,40.77257,38.50149,5.349527,5.266842,False,>20–40
915960630,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,31.70515,True,30.0198,40,35,35,30.0198,31.70515,31.70515,30.85097,4.986645,4.947244,False,>20–40
915960634,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,4,500,0,55,15,-3,-11,True,True,49.32387,True,56.87674,38,34,34,56.87674,49.32387,56.87674,52.96585,5.829767,5.726991,False,>20–40
915960637,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,10,200,0,55,15,0,-5,True,True,39.58994,True,39.99256,35,40,35,39.99256,39.58994,39.99256,39.79074,5.32166,5.314361,False,>20–40
915960640,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,13.15062,True,9.009117,35,35,35,9.009117,13.15062,13.15062,10.88464,3.717058,3.444222,False,>20–40
915960642,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,23.333,300,0,55,15,-8.333,8.333,True,True,30.8611,True,32.07841,36.667,26.667,26.667,32.07841,30.8611,32.07841,31.46387,5.003531,4.975624,False,>20–40
915960648,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,48.09993,True,36.41299,40,35,35,36.41299,48.09993,48.09993,41.85048,5.587963,5.387172,False,>20–40
915960652,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,11.78068,True,8.524358,35,35,35,8.524358,11.78068,11.78068,10.02111,3.558351,3.324971,False,>20–40
915960656,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,16.667,600,0,55,15,-10,1.667,True,True,32.52251,True,22.88225,35,33.333,33.333,22.88225,32.52251,32.52251,27.27982,5.023367,4.769762,False,>20–40
915960670,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.5,6.25,800,0,55,15,2.5,-8.75,True,True,54.40902,True,52.19034,32.5,36.25,32.5,52.19034,54.40902,54.40902,53.28813,5.765774,5.735742,False,>20–40
915960700,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,22.857,700,0,55,15,5,7.857,True,True,38.05706,True,32.44913,30,27.143,27.143,32.44913,38.05706,38.05706,35.14141,5.250092,5.1351,False,>20–40
915960665,732592105,733744649,717038288,Brain Observatory 1.1,V1,48.333,11.667,600,0,55,15,-6.667,-3.333,True,True,40.75773,True,43.84461,38.333,38.333,38.333,43.84461,40.75773,43.84461,42.273,5.454328,5.401665,False,>20–40
915960674,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,13.333,300,0,55,15,-8.333,-1.667,True,True,13.36005,True,10.2048,36.667,36.667,36.667,10.2048,13.36005,13.36005,11.67633,3.739854,3.545515,False,>20–40
915960678,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.143,20,700,0,55,15,2.143,5,True,True,43.17387,True,37.23326,32.857,30,30,37.23326,43.17387,43.17387,40.09369,5.432086,5.325303,False,>20–40
915960683,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,5,600,0,55,15,15,-10,True,True,48.58322,True,37.00231,20,35,20,37.00231,48.58322,48.58322,42.39919,5.602386,5.405965,False,>10–20
915960688,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,400,0,55,15,0,5,True,True,44.26974,True,50.76234,35,30,30,50.76234,44.26974,50.76234,47.40502,5.665687,5.566968,False,>20–40
915960693,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,10.64064,True,9.175541,35,35,35,9.175541,10.64064,10.64064,9.880971,3.411512,3.304653,False,>20–40
915960696,732592105,733744649,717038288,Brain Observatory 1.1,V1,53.333,13.333,300,0,55,15,-1.667,-1.667,True,True,33.52695,True,39.1512,36.667,36.667,36.667,39.1512,33.52695,39.1512,36.2301,5.290985,5.179117,False,>20–40
915960704,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,15.60723,True,7.949367,35,35,35,7.949367,15.60723,15.60723,11.13856,3.964143,3.477491,False,>20–40
915960707,732592105,733744649,717038288,Brain Observatory 1.1,V1,20,27.778,1800,0,55,15,-35,12.778,True,False,1556.84,False,2291.488,10,22.222,10,2291.488,1556.84,2291.488,1888.777,11.16207,10.88324,True,>5–10
915960714,732592105,733744649,717038288,Brain Observatory 1.1,V1,75,15,400,0,55,15,20,0,True,True,716.1852,False,72.76121,15,35,15,72.76121,716.1852,716.1852,228.2772,9.484189,7.834643,True,>10–20
915960718,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,15.08491,True,8.187755,40,35,35,8.187755,15.08491,15.08491,11.11357,3.915034,3.474251,False,>20–40
915960732,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,24.20788,True,22.28666,38,36,36,22.28666,24.20788,24.20788,23.22741,4.597405,4.537757,False,>20–40
915960737,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,67.10878,True,113.3981,35,35,35,113.3981,67.10878,113.3981,87.23538,6.825253,6.446841,True,>20–40
915960754,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,42.49732,True,28.10696,38,36,36,28.10696,42.49732,42.49732,34.56111,5.4093,5.111078,False,>20–40
915961104,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,20,100,0,55,15,-5,5,True,True,11.30019,True,5.559942,40,30,30,5.559942,11.30019,11.30019,7.926436,3.498275,2.986672,False,>20–40
915960765,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,26.25,800,0,55,15,15,11.25,True,True,153.2853,False,2231.716,20,23.75,20,2231.716,153.2853,2231.716,584.884,11.12394,9.192007,True,>10–20
915960770,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,32.18557,True,26.58517,35,35,35,26.58517,32.18557,32.18557,29.25165,5.008342,4.870446,False,>20–40
915960799,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,22.5,400,0,55,15,5,7.5,True,True,74.12696,True,76.07487,30,27.5,27.5,76.07487,74.12696,76.07487,75.0946,6.249348,6.230637,False,>20–40
915960773,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,29.79884,True,26.56263,40,35,35,26.56263,29.79884,29.79884,28.13424,4.897184,4.814255,False,>20–40
915960775,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,200,0,55,15,0,5,True,True,5.955618,True,4.426035,35,30,30,4.426035,5.955618,5.955618,5.134177,2.574251,2.360133,False,>20–40
915960780,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,200,0,55,15,0,5,True,True,13.78404,True,12.29278,35,30,30,12.29278,13.78404,13.78404,13.01707,3.784927,3.702333,False,>20–40
915960783,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.333,300,0,55,15,1.667,-1.667,True,True,44.47045,True,46.18247,33.333,36.667,33.333,46.18247,44.47045,46.18247,45.31838,5.529274,5.502024,False,>20–40
915960790,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,1000,0,55,15,5,0,True,True,39.69165,True,31.18622,30,35,30,31.18622,39.69165,39.69165,35.18284,5.310764,5.1368,False,>20–40
915960830,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,17.2197,True,13.51834,38,36,36,13.51834,17.2197,17.2197,15.25719,4.105988,3.931417,False,>20–40
915960845,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,20,100,0,55,15,-5,5,True,True,9.166536,True,5.806278,40,30,30,5.806278,9.166536,9.166536,7.295441,3.196377,2.866995,False,>20–40
915960848,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,17.5,400,0,55,15,-5,2.5,True,True,13.93003,True,8.692979,40,32.5,32.5,8.692979,13.93003,13.93003,11.00425,3.800126,3.459989,False,>20–40
915960851,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,5,400,0,55,15,-10,-10,True,True,14.76163,True,11.7123,35,35,35,11.7123,14.76163,14.76163,13.14886,3.88378,3.716866,False,>20–40
915960857,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,5,600,0,55,15,5,-10,True,True,43.10156,True,31.92255,30,35,30,31.92255,43.10156,43.10156,37.09329,5.429668,5.213086,False,>20–40
915960804,732592105,733744649,717038288,Brain Observatory 1.1,V1,58,16,500,0,55,15,3,1,True,True,15.52926,True,10.84763,32,34,32,10.84763,15.52926,15.52926,12.97905,3.956917,3.698113,False,>20–40
915960807,732592105,733744649,717038288,Brain Observatory 1.1,V1,58,14,500,0,55,15,3,-1,True,True,15.83212,True,8.554539,32,36,32,8.554539,15.83212,15.83212,11.63772,3.984783,3.540736,False,>20–40
915960810,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,32.83488,True,22.11013,35,35,35,22.11013,32.83488,32.83488,26.94408,5.037157,4.751896,False,>20–40
915960812,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,14,500,0.004,55,15,-7,-1,True,True,32.63348,True,38.25766,38,36,36,38.25766,32.63348,38.25766,35.33385,5.257677,5.142979,False,>20–40
