area,edge_units,interior_units,edge_median_maximum_sigma_deg,interior_median_maximum_sigma_deg,edge_to_interior_median_ratio,edge_oversize_fraction,interior_oversize_fraction
AL,1418,207,195.838,34.36369,5.698981,0.6593794,0.1256039
AM,848,468,359.9739,39.04907,9.218501,0.8183962,0.09615385
LM,696,224,200.9322,24.43199,8.224142,0.6422414,0.08482143
PM,524,312,376.3695,36.19708,10.39779,0.7938931,0.125
RL,1110,191,345.9337,34.92843,9.904072,0.7837838,0.1361257
V1,385,2293,749.2072,23.2717,32.19393,0.8077922,0.0571304
