ecephys_session_id,edge_band_deg,units,sessions,median_maximum_sigma_deg,q25_maximum_sigma_deg,q75_maximum_sigma_deg,q90_maximum_sigma_deg,median_geometric_mean_sigma_deg,fraction_larger_than_mapped_span,fraction_gaussian_center_off_screen
791319847,>20–40,167,1,31.08925,18.48262,48.82233,74.19607,29.34318,0.08982036,0.02994012
797828357,0–5,185,1,543.2007,274.3156,1260.451,2936.645,226.3577,0.9405405,0.972973
797828357,>5–10,58,1,476.9816,119.6877,1326.252,2914.861,224.053,0.8103448,0.8275862
797828357,>10–20,63,1,131.4766,62.02072,738.8907,1628.574,99.45119,0.6190476,0.5714286
797828357,>20–40,90,1,45.62402,24.66079,64.84552,97.66459,40.09964,0.1666667,0.04444444
798911424,0–5,147,1,346.9253,158.8682,840.359,1792.351,137.3016,0.8231293,0.9387755
798911424,>5–10,50,1,266.6796,38.3832,557.5706,1219.345,100.8006,0.62,0.62
798911424,>10–20,123,1,51.84923,26.1208,103.4951,687.3881,41.902,0.3414634,0.2682927
798911424,>20–40,191,1,25.57501,15.08268,42.87053,61.3665,23.65555,0.05759162,0.01570681
799864342,0–5,141,1,207.6216,74.06687,556.1202,1305.143,97.1649,0.7375887,0.8794326
799864342,>5–10,32,1,415.7599,62.49399,718.0369,1233.853,172.6404,0.65625,0.875
799864342,>10–20,46,1,78.16435,36.02008,182.2958,2000.439,60.75397,0.5,0.3913043
799864342,>20–40,144,1,28.64798,13.49655,46.60147,67.57018,25.87408,0.04861111,0.02777778
