area,edge_band_deg,units,sessions,median_maximum_sigma_deg,q25_maximum_sigma_deg,q75_maximum_sigma_deg,q90_maximum_sigma_deg,median_geometric_mean_sigma_deg,fraction_larger_than_mapped_span,fraction_gaussian_center_off_screen
AL,0–5,1066,24,235.6582,64.57377,561.5293,1403.936,96.7549,0.7213884,0.9015009
AL,>5–10,352,24,71.44299,27.1006,436.0927,982.9313,48.77229,0.4715909,0.6505682
AL,>10–20,410,24,53.81298,23.33562,113.0789,651.4622,43.98997,0.3317073,0.3414634
AL,>20–40,207,22,34.36369,20.84135,60.67795,106.4289,31.67763,0.1256039,0.0821256
AM,0–5,579,25,405.2637,183.3989,896.3322,2101.137,147.1425,0.8601036,0.9222798
AM,>5–10,269,25,242.8045,61.07704,660.918,1300.409,103.6212,0.7286245,0.7732342
AM,>10–20,421,25,61.20321,37.38364,113.353,786.2731,49.6419,0.391924,0.3444181
AM,>20–40,468,25,39.04907,24.18167,58.22821,77.25035,34.40425,0.09615385,0.02350427
LM,0–5,478,22,235.6616,60.31494,586.1319,1421.632,98.26721,0.7154812,0.8828452
LM,>5–10,218,22,75.52718,18.99265,424.5642,1212.798,50.55516,0.4816514,0.6146789
LM,>10–20,291,23,44.00673,17.42991,85.61802,710.9741,37.14666,0.2714777,0.3058419
LM,>20–40,224,22,24.43199,14.46697,49.24407,69.34506,22.04432,0.08482143,0.02232143
PM,0–5,329,19,453.5239,152.9597,1133.972,2614.016,187.6931,0.8419453,0.881459
PM,>5–10,195,19,208.4905,65.3284,638.3775,1493.882,110.0319,0.7128205,0.8410256
PM,>10–20,271,18,59.96187,35.69073,112.6206,727.3709,51.11397,0.3468635,0.3726937
PM,>20–40,312,16,36.19708,23.43136,53.76601,94.48044,32.14787,0.125,0.03846154
RL,0–5,811,27,383.3502,165.5042,847.011,1850.277,141.1272,0.8273736,0.9284834
RL,>5–10,299,26,247.7253,49.48232,637.4082,1232.786,107.807,0.6655518,0.7759197
RL,>10–20,339,27,63.65557,30.37456,131.0661,1076.91,50.95889,0.3893805,0.3893805
RL,>20–40,191,22,34.92843,22.96418,57.91232,90.67168,31.06332,0.1361257,0.03141361
V1,0–5,220,31,973.034,382.9045,1978.527,3607.561,328.8815,0.9045455,0.9
V1,>5–10,165,31,518.1278,47.42962,1312.23,3235.483,188.7425,0.6787879,0.7030303
V1,>10–20,507,31,48.20233,18.19783,94.56639,754.3833,38.37163,0.2938856,0.2149901
V1,>20–40,2293,31,23.2717,12.44646,41.83095,63.39041,20.79864,0.0571304,0.01788051
