ecephys_session_id,edge_units,interior_units,edge_median_maximum_sigma_deg,interior_median_maximum_sigma_deg,edge_to_interior_median_maximum_sigma_ratio,edge_to_interior_median_geometric_mean_sigma_ratio,edge_oversize_fraction,interior_oversize_fraction,edge_off_screen_fraction,interior_off_screen_fraction
715093703,150,108,275.1133,26.91679,10.22121,3.711068,0.6266667,0.1018519,0.7333333,0.009259259
719161530,125,43,44.37999,33.20806,1.336422,0.8629297,0.432,0.2093023,0.544,0.04651163
721123822,162,88,240.5966,31.96611,7.5264,3.247286,0.6604938,0.06818182,0.8024691,0.04545455
732592105,214,175,326.7311,29.79884,10.9629,4.613875,0.8317757,0.05714286,0.9252336,0.01142857
737581020,112,79,321.0894,19.19908,16.7242,7.03208,0.7053571,0.01265823,0.8303571,0
739448407,124,39,324.5408,32.04399,10.12781,4.634544,0.7903226,0.07692308,0.8629032,0.02564103
742951821,156,78,238.2149,32.52435,7.324219,3.309082,0.6602564,0.1025641,0.8141026,0.02564103
744228101,92,57,165.505,23.03812,7.183748,3.546744,0.673913,0.01754386,0.8152174,0.01754386
746083955,167,61,571.1669,50.94061,11.21241,4.59695,0.8023952,0.2622951,0.9041916,0.06557377
750332458,203,131,112.926,25.35839,4.453202,2.877413,0.5763547,0.0610687,0.7635468,0.03053435
750749662,139,129,291.1679,27.52701,10.57753,4.316538,0.7769784,0.1007752,0.9280576,0.04651163
751348571,178,120,189.1762,29.61891,6.38633,2.793162,0.6235955,0.1583333,0.8033708,0.03333333
754312389,130,176,368.7562,24.65592,14.95347,6.029314,0.8076923,0.03409091,0.8692308,0.01136364
754829445,137,66,382.4659,28.26346,13.53956,6.019805,0.8467153,0.07575758,0.9124088,0.01515152
755434585,172,207,313.5877,26.76554,11.71609,5.249516,0.6802326,0.04830918,0.8488372,0.009661836
756029989,208,125,213.1716,28.34173,7.517526,3.212119,0.6009615,0.08,0.7548077,0.048
757216464,186,169,290.0732,22.96717,12.62981,5.280735,0.7096774,0.07100592,0.8494624,0.01183432
757970808,166,124,151.1549,22.02605,6.865963,3.612689,0.626506,0.08064516,0.8373494,0.02419355
758798717,108,127,361.1379,24.42992,14.78254,6.476858,0.7777778,0.07874016,0.8796296,0.02362205
759883607,73,183,327.4195,26.27461,12.46144,6.425732,0.7534247,0.06557377,0.8219178,0.0273224
760345702,71,175,291.3362,34.5201,8.43961,4.589342,0.8028169,0.03428571,0.7887324,0.01714286
760693773,244,207,462.9659,30.4461,15.20309,6.361745,0.8360656,0.1014493,0.8770492,0.03864734
761418226,274,41,310.325,39.77157,7.802684,3.836012,0.8248175,0.1219512,0.9014599,0.07317073
762120172,165,120,360.3182,28.74317,12.5372,6.042031,0.8181818,0.075,0.9515152,0.008333333
762602078,141,68,116.4512,11.3625,10.25102,5.055929,0.5673759,0.02941176,0.8156028,0.02941176
763673393,150,92,471.5271,34.55721,13.64403,5.208936,0.88,0.08695652,0.92,0.01086957
773418906,186,115,390.3192,19.24183,20.28475,9.908636,0.7956989,0.06086957,0.8978495,0.02608696
791319847,135,167,426.2364,31.08925,13.71009,5.156202,0.8148148,0.08982036,0.8814815,0.02994012
797828357,243,90,501.5569,45.62402,10.99341,5.644885,0.909465,0.1666667,0.9382716,0.04444444
798911424,197,191,332.6479,25.57501,13.00675,5.289626,0.7715736,0.05759162,0.857868,0.01570681
799864342,173,144,223.1966,28.64798,7.791011,4.301891,0.7225434,0.04861111,0.8786127,0.02777778
