near_edge_cutoff_deg,near_units,interior_units,near_median_maximum_sigma_deg,interior_median_maximum_sigma_deg,median_ratio,near_oversize_fraction,interior_oversize_fraction,near_off_screen_fraction,interior_off_screen_fraction
0,1455,3695,316.4339,28.16321,11.23572,0.7725086,0.07740189,0.9367698,0.02489851
5,3483,3695,331.5286,28.16321,11.77169,0.7912719,0.07740189,0.9066896,0.02489851
10,4981,3695,301.7926,28.16321,10.71585,0.7374021,0.07740189,0.8514355,0.02489851
15,6122,3695,236.2416,28.16321,8.388308,0.6780464,0.07740189,0.7809539,0.02489851
