unit_id,model,success,baseline,amplitude,center_y_px,center_x_px,sigma_y_px,sigma_x_px,height_rf_deg,width_rf_deg,sse,rmse_per_pixel,parameters_at_bound,threshold_center_x_px,threshold_center_y_px,observed_area_pixels,observed_area_deg2,observed_mean,observed_min,observed_max
951879810,"Allen unbounded, no baseline",True,0,26.473588,3.4015147,2.618424,1.1309895,0.76586152,11.309895,7.6586152,1445.777,4.2248194,False,3.5,2.5,4,400,2.0123457,0,23
951879810,baseline + wide-bound Gaussian,True,0.3272748,26.643733,2.6162709,3.4102499,0.74215573,1.0987488,7.4215573,10.987488,126.22155,1.2483152,False,3.5,2.5,4,400,2.0123457,0,23
951879810,baseline + screen-bounded Gaussian,True,0.32727403,26.643723,2.6162708,3.4102495,0.74215586,1.0987495,7.4215586,10.987495,126.22155,1.2483152,False,3.5,2.5,4,400,2.0123457,0,23
951880367,"Allen unbounded, no baseline",True,0,137.5674,3.4668783,2.2449376,2.8632523,2.7682506,28.632523,27.682506,89626.427,33.264081,False,3.6667,2.1111,9,900,64.54321,15,184
951880367,baseline + wide-bound Gaussian,True,35.45877,136.43081,2.230033,3.56582,1.5233479,1.9053795,15.233479,19.053795,11919.484,12.13071,False,3.6667,2.1111,9,900,64.54321,15,184
951880367,baseline + screen-bounded Gaussian,True,35.45881,136.43088,2.2300331,3.5658221,1.5233466,1.9053769,15.233466,19.053769,11919.484,12.13071,False,3.6667,2.1111,9,900,64.54321,15,184
951869357,"Allen unbounded, no baseline",True,0,24.99245,4.852142,3.2629793,1.5081379,0.76786098,15.081379,7.6786098,3838.7526,6.8841853,False,4.6667,3.3333,3,300,3.4938272,0,29
951869357,baseline + wide-bound Gaussian,True,2.1849866,31.892195,3.2477339,4.6202488,0.57157341,0.92558968,5.7157341,9.2558968,579.1459,2.6739389,False,4.6667,3.3333,3,300,3.4938272,0,29
951869357,baseline + screen-bounded Gaussian,True,2.1850031,31.892493,3.2477311,4.6202393,0.57157265,0.92557053,5.7157265,9.2557053,579.1459,2.6739389,False,4.6667,3.3333,3,300,3.4938272,0,29
951868602,"Allen unbounded, no baseline",True,0,21.629968,4.9436385,3.3555366,2.4362766,2.4611452,24.362766,24.611452,3803.2479,6.8522753,False,5.1111,3.3333,9,900,9.037037,2,26
951868602,baseline + wide-bound Gaussian,True,4.9947945,21.536217,3.2878094,5.1088805,1.6614708,1.4877,16.614708,14.877,599.90833,2.7214474,False,5.1111,3.3333,9,900,9.037037,2,26
951868602,baseline + screen-bounded Gaussian,True,4.9947726,21.536174,3.2878107,5.1088831,1.6614797,1.487704,16.614797,14.87704,599.90833,2.7214474,False,5.1111,3.3333,9,900,9.037037,2,26
