radius_deg,mean_relative_loss,minimum_relative_loss,grid_points,ecephys_session_id
1.9486688582482823,0.0011831552256709812,0.0,7,760345702
4.670323186188541,0.005945805932639793,0.0008671205582171382,21,760345702
7.619899294880608,0.01504794716566353,0.005409953503090037,37,760345702
10.570308355161592,0.028586201299673784,0.006796946980476948,46,760345702
13.544738801597113,0.05030762672923373,0.015974648458117136,68,760345702
16.57527101645648,0.08216220803093714,0.03638850599421506,74,760345702
19.532263233056653,0.12738600523310237,0.07462510519623466,95,760345702
22.522656484248447,0.17142934644051486,0.09884408859719651,92,760345702
25.506674210718682,0.24041790934646237,0.14496267000484275,97,760345702
28.459195446195523,0.3018798277110989,0.19150945660847052,98,760345702
31.37234510446954,0.4035533230414233,0.2118966860048116,100,760345702
34.45234530075582,0.5540087138486831,0.21640096641746687,64,760345702
37.454424703482466,0.7462088547319864,0.24237805126094425,59,760345702
40.468169029572,0.8730089886822039,0.47708438668636355,49,760345702
43.32026318049864,0.9045462160039446,0.4963003131862468,30,760345702
46.22819426027201,0.9264368299418313,0.5674950428207868,17,760345702
49.01366366979092,0.9242406694760462,0.6282424604465161,7,760345702
1.8665585718502709,0.07057209862892456,0.06816495878007081,6,798911424
4.545692085630076,0.07066651582263407,0.06317790540157375,22,798911424
7.547523617613293,0.06692659048949745,0.055412422598101974,34,798911424
10.582515996876667,0.061337747615136426,0.04394600110623825,54,798911424
13.578628362782144,0.053847614089253044,0.03575289037341467,58,798911424
16.532585621059194,0.0464410732510783,0.028693347064883468,83,798911424
19.55164348254067,0.03716248138763264,0.020239595193692533,87,798911424
22.512233508385123,0.030619571471352656,0.01581841728278685,110,798911424
25.492047540552868,0.023160779264382467,0.010162580222920437,104,798911424
28.506216232724746,0.017540049219892568,0.007069989596964699,114,798911424
31.451490032202265,0.017114876314895278,0.0,91,798911424
34.37226418029625,0.023401732481746734,0.002573589126789705,80,798911424
37.39647350867172,0.03689887270273002,0.00840051398861727,57,798911424
40.32362375525786,0.06969101939569444,0.016436526176554472,33,798911424
43.356275782132286,0.11208276245801176,0.03965417126108714,19,798911424
46.18793230333933,0.16903061408478764,0.06527524568403337,8,798911424
