stimulus_presentation_id,stimulus_block,start_time,stop_time,size,contrast,phase,orientation,stimulus_name,x_position,y_position,temporal_frequency,color,frame,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
52,0.0,97.686732,97.936934,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-40.0,-20.0,4.0,null,null,0.08,0.25020174,45,,,0,,False,0,train,1
53,0.0,97.936934,98.187144,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-30.0,0.0,4.0,null,null,0.08,0.25021076,46,,,0,,False,0,train,1
54,0.0,98.187144,98.437355,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,-40.0,4.0,null,null,0.08,0.25021076,22,,,0,,False,1,train,2
55,0.0,98.437355,98.687566,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,-10.0,4.0,null,null,0.08,0.25021076,47,,,0,,False,0,train,1
56,0.0,98.687566,98.937777,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,40.0,40.0,4.0,null,null,0.08,0.25021076,48,,,0,,False,0,train,2
57,0.0,98.937777,99.187983,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,30.0,4.0,null,null,0.08,0.25020674,49,,,0,,False,0,train,1
58,0.0,99.187983,99.43819,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,-30.0,4.0,null,null,0.08,0.25020674,26,,,0,,False,1,train,2
59,0.0,99.43819,99.688397,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,10.0,-40.0,4.0,null,null,0.08,0.25020674,50,,,0,,False,0,train,1
60,0.0,99.688397,99.938604,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,40.0,4.0,null,null,0.08,0.25020674,51,,,0,,False,0,train,2
61,0.0,99.938604,100.18882,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,0.0,4.0,null,null,0.08,0.25022076,24,,,0,,False,1,train,1
62,0.0,100.18882,100.43905,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,10.0,40.0,4.0,null,null,0.08,0.25022076,52,,,0,,False,0,train,2
63,0.0,100.43905,100.68927,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,-10.0,4.0,null,null,0.08,0.25022076,47,,,0,,False,1,train,1
64,0.0,100.68927,100.93949,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,30.0,40.0,4.0,null,null,0.08,0.25022076,53,,,0,,False,0,train,1
65,0.0,100.93949,101.18969,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,40.0,30.0,4.0,null,null,0.08,0.25019924,54,,,0,,False,0,train,0
66,0.0,101.18969,101.43989,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,0.0,4.0,null,null,0.08,0.25019924,55,,,0,,False,0,train,0
