stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,frame,coherence,x_position,contrast,color,size,Dir,spatial_frequency,orientation,temporal_frequency,Speed,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1032,0.0,333.35022,333.60041,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,10.0,0.2501962,134,,,0,,False,5,test,2
1033,0.0,333.60041,333.85063,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-10.0,0.2502138,159,,,0,,False,5,test,2
1034,0.0,333.85063,334.10084,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502138,74,,,0,,False,4,train,2
1035,0.0,334.10084,334.35105,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,0.0,0.2502138,201,,,0,,False,8,test,2
1036,0.0,334.35105,334.60127,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,10.0,0.2502138,82,,,0,,False,5,test,1
1037,0.0,334.60127,334.85148,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,30.0,0.2502162,23,,,0,,False,5,test,1
1038,0.0,334.85148,335.1017,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,40.0,0.2502162,146,,,0,,False,4,train,1
1039,0.0,335.1017,335.35192,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502162,19,,,0,,False,6,train,0
1040,0.0,335.35192,335.60213,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502162,99,,,0,,False,3,train,2
1041,0.0,335.60213,335.85234,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502038,16,,,0,,False,5,test,0
1042,0.0,335.85234,336.10254,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-20.0,0.2502038,166,,,0,,False,3,train,2
1043,0.0,336.10254,336.35274,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502038,99,,,0,,False,4,train,2
1044,0.0,336.35274,336.60295,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502038,40,,,0,,False,3,train,2
