ecephys_session_id,target_subset,component,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005
742951821,full,absolute size,-16.0,26.0,0.45172069856231656,961
742951821,full,covariance trace,-12.0,-2.0,1.690943546127022,96
742951821,full,anisotropy,30.0,-30.0,0.7842466897504914,9
742951821,full,all dispersion,-6.0,-28.0,1.270088704144056,226
742951821,half_0,absolute size,-16.0,28.0,0.40617504081551437,874
742951821,half_0,covariance trace,-14.0,-4.0,1.101017299227877,93
742951821,half_0,anisotropy,30.0,-30.0,0.9806292897924942,9
742951821,half_0,all dispersion,-6.0,-28.0,1.1853173366787744,210
742951821,half_1,absolute size,28.0,30.0,0.49466653757478984,961
742951821,half_1,covariance trace,-8.0,-4.0,2.7140874502564163,82
742951821,half_1,anisotropy,30.0,-30.0,0.536039465049711,18
742951821,half_1,all dispersion,-6.0,-28.0,1.406403830322364,216
762602078,full,absolute size,24.0,-20.0,0.9200851572301008,608
762602078,full,covariance trace,20.0,30.0,0.2943436130775594,41
762602078,full,anisotropy,18.0,26.0,0.2352773529927703,85
762602078,full,all dispersion,18.0,26.0,0.2595477427356656,65
762602078,half_0,absolute size,14.0,-30.0,0.9481330900519651,380
762602078,half_0,covariance trace,20.0,30.0,0.31423107979203446,20
762602078,half_0,anisotropy,-14.0,24.0,0.34952163545051107,66
762602078,half_0,all dispersion,10.0,26.0,0.36872397498382264,41
762602078,half_1,absolute size,14.0,8.0,0.8747880668695303,800
762602078,half_1,covariance trace,30.0,28.0,0.1170214362306423,83
762602078,half_1,anisotropy,28.0,18.0,0.3129062171392466,45
762602078,half_1,all dispersion,28.0,20.0,0.2674563309146938,56
715093703,full,absolute size,22.0,30.0,0.4680911720284401,961
715093703,full,covariance trace,-14.0,24.0,0.0691016424018422,144
715093703,full,anisotropy,-30.0,0.0,0.17455278449592246,108
715093703,full,all dispersion,-26.0,-30.0,0.16940695078800344,175
715093703,half_0,absolute size,18.0,30.0,0.47281208843588607,961
715093703,half_0,covariance trace,-14.0,-24.0,0.020175649630648183,268
715093703,half_0,anisotropy,30.0,-28.0,0.09836374424897038,53
715093703,half_0,all dispersion,26.0,-30.0,0.09590147784467715,163
715093703,half_1,absolute size,24.0,-8.0,0.45258684015463413,960
715093703,half_1,covariance trace,-14.0,20.0,0.13440286865722928,95
715093703,half_1,anisotropy,-30.0,-30.0,0.3801365456931672,10
715093703,half_1,all dispersion,-30.0,-30.0,0.36746828069107934,4
