ecephys_session_id,template_log2_area_range_at_corrected_cells,template_median_gradient_log2_per_deg,template_p90_gradient_log2_per_deg,corrected_cells_with_template_support
742951821,0.7568329559199913,0.012121751349605045,0.017975754409972212,81
762602078,0.5314697783813767,0.00417996610770297,0.00939797025690568,108
715093703,0.5114765681556772,0.010313763640458206,0.013886146561776003,92
