stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,Dir,contrast,Speed,orientation,temporal_frequency,color,phase,coherence,spatial_frequency,x_position,size,stimulus_name,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2426,0.0,682.05048,682.30068,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,-30.0,0.25020077,67,,,0,,False,9,train,1
2427,0.0,682.30068,682.55089,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,0.0,0.25020077,174,,,0,,False,10,train,2
2428,0.0,682.55089,682.80109,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,30.0,0.25020077,171,,,0,,False,8,test,1
2429,0.0,682.80109,683.0513,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,0.0,0.25020923,179,,,0,,False,8,test,1
2430,0.0,683.0513,683.3015,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,0.0,0.25020923,71,,,0,,False,11,test,2
2431,0.0,683.3015,683.55171,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,-30.0,0.25020923,101,,,0,,False,12,train,2
2432,0.0,683.55171,683.80192,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,0.0,0.25020923,33,,,0,,False,9,train,0
2433,0.0,683.80192,684.05213,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,30.0,0.25020827,26,,,0,,False,11,test,1
2434,0.0,684.05213,684.30234,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,0.0,0.25020827,232,,,0,,False,9,train,0
2435,0.0,684.30234,684.55255,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-30.0,0.25020827,12,,,0,,False,10,train,0
2436,0.0,684.55255,684.80276,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,0.0,0.25020827,232,,,0,,False,10,train,0
2437,0.0,684.80276,685.05297,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,20.0,0.25021173,192,,,0,,False,13,train,1
2438,0.0,685.05297,685.30318,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,0.0,0.25021173,35,,,0,,False,9,train,1
2439,0.0,685.30318,685.55339,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,-20.0,0.25021173,202,,,0,,False,8,test,1
2440,0.0,685.55339,685.8036,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,40.0,0.25021173,74,,,0,,False,11,test,2
2441,0.0,685.8036,686.05381,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,-10.0,0.25020827,139,,,0,,False,10,train,1
2442,0.0,686.05381,686.30402,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,-10.0,0.25020827,211,,,0,,False,8,test,1
2443,0.0,686.30402,686.55423,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,10.0,0.25020827,236,,,0,,False,10,train,1
2444,0.0,686.55423,686.80444,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,40.0,0.25020827,197,,,0,,False,11,test,0
2445,0.0,686.80444,687.05465,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,10.0,0.25021423,27,,,0,,False,9,train,1
2446,0.0,687.05465,687.30486,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,0.0,0.25021423,158,,,0,,False,7,train,2
2447,0.0,687.30486,687.55508,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,-10.0,0.25021423,111,,,0,,False,10,train,2
2448,0.0,687.55508,687.80529,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,-40.0,0.25021423,154,,,0,,False,8,test,1
2449,0.0,687.80529,688.05549,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,30.0,0.25020077,52,,,0,,False,10,train,1
2450,0.0,688.05549,688.30569,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-30.0,0.25020077,12,,,0,,False,11,test,0
2451,0.0,688.30569,688.5559,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,-40.0,0.25020077,204,,,0,,False,8,test,0
2452,0.0,688.5559,688.8061,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-40.0,0.25020077,159,,,0,,False,10,train,0
2453,0.0,688.8061,689.05631,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,-20.0,0.25021673,224,,,0,,False,10,train,0
2454,0.0,689.05631,689.30653,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,40.0,0.25021673,34,,,0,,False,9,train,2
2455,0.0,689.30653,689.55675,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,0.0,0.25021673,69,,,0,,False,10,train,2
2456,0.0,689.55675,689.80696,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,-20.0,0.25021673,160,,,0,,False,11,test,2
2457,0.0,689.80696,690.05717,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,40.0,0.25020327,34,,,0,,False,10,train,2
2458,0.0,690.05717,690.30737,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,-30.0,0.25020327,119,,,0,,False,6,train,2
