stimulus_presentation_id,stimulus_block,start_time,stop_time,color,orientation,contrast,spatial_frequency,frame,stimulus_name,size,temporal_frequency,x_position,y_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
25,0.0,84.824674,85.074875,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,10.0,"[3644.93333333, 3644.93333333]",0.25020044,24,-0.17713282,-0.8207067,4,0.17135514,True,0,train,1
26,0.0,85.074875,85.325075,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,30.0,"[3644.93333333, 3644.93333333]",0.25020044,14,-0.27087433,-0.74201404,7,0.32277677,True,1,train,1
27,0.0,85.325075,85.575275,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,0.0,"[3644.93333333, 3644.93333333]",0.25020044,25,-0.28344078,-0.62108518,7,0.23984113,True,0,train,2
28,0.0,85.575275,85.825476,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020044,26,-0.2620383,-0.69451472,8,0.20185194,True,0,train,0
29,0.0,85.825476,86.075693,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,20.0,"[3644.93333333, 3644.93333333]",0.25021706,27,-0.087065752,-0.46852033,4,0.14968166,True,0,train,1
30,0.0,86.075693,86.32591,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,0.0,"[3644.93333333, 3644.93333333]",0.25021706,28,-0.099736206,-0.47349945,5,0.17475038,True,0,train,2
31,0.0,86.32591,86.576127,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,30.0,"[3644.93333333, 3644.93333333]",0.25021706,29,,,1,,False,0,train,0
32,0.0,86.576127,86.826344,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,-40.0,"[3644.93333333, 3644.93333333]",0.25021706,30,,,0,,False,0,train,1
33,0.0,86.826344,87.076545,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,30.0,"[3644.93333333, 3644.93333333]",0.25020044,31,,,2,,False,0,train,0
34,0.0,87.076545,87.326745,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020044,32,-0.19055952,-0.69824052,4,0.10861103,True,0,train,0
35,0.0,87.326745,87.576945,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,-20.0,"[3644.93333333, 3644.93333333]",0.25020044,33,,,0,,False,0,train,2
