stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,orientation,frame,stimulus_name,y_position,color,spatial_frequency,temporal_frequency,size,x_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
28,0.0,91.392904,91.643113,0.8,45.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020899,26,,,0,,False,0,train,1
29,0.0,91.643113,91.893337,0.8,0.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25022351,27,,,0,,False,0,train,0
30,0.0,91.893337,92.14356,0.8,0.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25022351,28,,,0,,False,0,train,0
31,0.0,92.14356,92.393784,0.8,90.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25022351,29,,,0,,False,0,train,2
32,0.0,92.393784,92.644007,0.8,0.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25022351,30,,,0,,False,0,train,0
33,0.0,92.644007,92.894204,0.8,45.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25019649,11,,,0,,False,1,train,1
34,0.0,92.894204,93.1444,0.8,90.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25019649,31,,,0,,False,0,train,2
35,0.0,93.1444,93.394597,0.8,45.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25019649,10,,,0,,False,1,train,1
36,0.0,93.394597,93.644793,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25019649,32,,,0,,False,0,train,1
37,0.0,93.644793,93.895007,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25021351,33,,,0,,False,0,train,2
38,0.0,93.895007,94.14522,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021351,34,,,0,,False,0,train,2
39,0.0,94.14522,94.395434,0.8,45.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021351,35,,,0,,False,0,train,1
40,0.0,94.395434,94.645647,0.8,0.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25021351,36,,,0,,False,0,train,0
41,0.0,94.645647,94.895851,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25020399,37,,,0,,False,0,train,1
42,0.0,94.895851,95.146055,0.8,0.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020399,28,,,0,,False,1,train,0
