session_id,ecephys_unit_id,ecephys_probe_id,ecephys_structure_acronym,ccf_ap_mm,ccf_ml_mm,visual_azimuth_deg,visual_elevation_deg,axis_area_deg2,axis_edge_distance_deg,axis_test_deviance,unit_split
798911424,951097748,800036198,VISam,7.899,7.401,30.9802313,24.856705,1044.9377,20.9802313,0.821928432,calibration
798911424,951097947,800036198,VISam,7.911,7.406,33.8085076,12.1946778,424.369551,23.8085076,0.612471383,calibration
798911424,951098195,800036198,VISam,7.917,7.408,70.547395,34.0509979,433.40885,15.9490021,1.23936471,evaluation
798911424,951098229,800036198,VISam,7.92,7.41,43.9043477,7.93993987,1104.56813,33.9043477,1.08458425,calibration
798911424,951098242,800036198,VISam,7.92,7.41,37.8648878,23.3078344,870.971069,26.6921656,0.966623251,evaluation
798911424,951098332,800036198,VISam,7.922,7.41,72.4618057,-1.3268769,1897.72237,17.5381943,1.26814842,evaluation
798911424,951098633,800036198,VISam,7.93,7.415,26.3641056,39.5083846,953.343639,10.4916154,0.974033441,calibration
798911424,951098821,800036198,VISam,7.938,7.419,53.6998549,27.9021456,495.016982,22.0978544,1.12455078,calibration
798911424,951102476,800036200,VISp,8.862,8.192,66.9776543,12.956839,289.271465,23.0223457,1.43462064,calibration
798911424,951102508,800036200,VISp,8.862,8.192,46.6280628,21.3809247,167.088804,28.6190753,0.985785934,calibration
798911424,951102634,800036200,VISp,8.878,8.195,49.4530314,38.0139369,2312.48498,11.9860631,0.793965384,evaluation
798911424,951102673,800036200,VISp,8.895,8.198,60.0777395,13.3590124,481.138874,29.9222605,0.971909209,evaluation
798911424,951102724,800036200,VISp,8.902,8.199,44.3932796,26.000787,101.525026,23.999213,0.497326446,evaluation
798911424,951102738,800036200,VISp,8.902,8.199,52.1792954,15.1897407,696.413197,34.8102593,1.25101295,evaluation
798911424,951102789,800036200,VISp,8.905,8.2,51.1152904,11.8557004,107.982881,38.1442996,2.0890025,evaluation
798911424,951102834,800036200,VISp,8.912,8.201,43.2100185,12.0934215,210.265603,33.2100185,1.23249357,calibration
798911424,951102894,800036200,VISp,8.912,8.201,67.2764663,4.2201091,292.847588,22.7235337,1.40174551,calibration
798911424,951102934,800036200,VISp,8.915,8.201,54.3108561,18.018901,1293.44433,31.981099,1.76086442,evaluation
798911424,951102962,800036200,VISp,8.912,8.201,54.3834863,13.2948344,305.340978,35.6165137,1.0068633,evaluation
798911424,951103043,800036200,VISp,8.925,8.203,55.6418595,16.8658682,114.772159,33.1341318,1.89790772,calibration
798911424,951103055,800036200,VISp,8.946,8.206,69.3400406,7.95685592,1261.50859,20.6599594,0.957273013,evaluation
798911424,951103093,800036200,VISp,8.946,8.206,63.2071709,6.03577503,137.219132,26.7928291,0.366819496,calibration
798911424,951103107,800036200,VISp,8.942,8.206,57.8180848,18.2643248,553.219408,31.7356752,2.23332577,calibration
798911424,951103163,800036200,VISp,8.953,8.207,58.3786994,13.2970887,1175.03367,31.6213006,0.997175161,calibration
798911424,951103216,800036200,VISp,8.953,8.207,52.1613854,16.5447646,1468.03673,33.4552354,1.19635823,evaluation
798911424,951103238,800036200,VISp,8.956,8.208,55.3928755,9.40004091,158.832846,34.6071245,4.02430797,evaluation
798911424,951103290,800036200,VISp,8.956,8.208,48.9183679,18.4927818,505.900753,31.5072182,0.999543804,evaluation
798911424,951103332,800036200,VISp,8.97,8.21,60.3541382,10.6692205,602.996343,29.6458618,4.48627008,evaluation
798911424,951103361,800036200,VISp,8.956,8.208,58.7795884,13.4129212,2759.67297,31.2204116,1.06283833,evaluation
798911424,951103394,800036200,VISp,8.966,8.209,57.2848885,12.8563568,1635.55254,32.7151115,1.24494058,calibration
798911424,951103407,800036200,VISp,8.97,8.21,49.349027,10.8023185,979.128294,39.1976815,0.990900814,evaluation
798911424,951103420,800036200,VISp,8.97,8.21,57.0027571,15.2766581,569.287534,32.9972429,1.17493136,calibration
798911424,951103431,800036200,VISp,8.98,8.211,57.3716556,18.1218801,366.470431,31.8781199,0.253751125,calibration
798911424,951103455,800036200,VISp,8.973,8.21,57.5465378,19.9952857,684.334107,30.0047143,1.19963009,calibration
798911424,951103464,800036200,VISp,8.99,8.213,58.4220021,20.4054603,1157.81649,29.5945397,1.44336111,calibration
798911424,951103478,800036200,VISp,8.97,8.21,60.2925658,11.4359891,511.152288,29.7074342,2.3814008,calibration
798911424,951103498,800036200,VISp,8.976,8.211,54.4797127,12.5049154,943.319221,35.5202872,1.1442829,evaluation
798911424,951103508,800036200,VISp,8.99,8.213,53.8517484,15.1843454,1428.06122,34.8156546,1.4468264,evaluation
798911424,951103518,800036200,VISp,8.987,8.212,56.0443175,18.7917059,117.144387,31.2082941,0.657676826,calibration
798911424,951103530,800036200,VISp,8.987,8.212,56.1778447,-0.7995297,151.919039,29.2004703,1.58071339,evaluation
798911424,951103543,800036200,VISp,8.987,8.212,62.6266316,11.128732,288.757253,27.3733684,0.381984343,evaluation
798911424,951103553,800036200,VISp,8.987,8.212,46.4328948,14.4209597,2145.91394,35.5790403,1.41282075,calibration
798911424,951103589,800036200,VISp,8.99,8.213,54.3217484,14.2705314,107.707504,35.6782516,0.907742127,evaluation
798911424,951103652,800036200,VISp,9.001,8.214,50.8858868,1.38994662,415.326882,31.3899466,1.17829602,calibration
798911424,951103661,800036200,VISp,9.001,8.214,51.8185324,13.6664591,1351.91983,36.3335409,0.851268196,evaluation
798911424,951103671,800036200,VISp,9.001,8.214,60.1246264,23.6919654,162.557707,26.3080346,1.47692219,evaluation
798911424,951103704,800036200,VISp,9.004,8.215,49.2508921,17.033038,189.157078,32.966962,1.93744113,calibration
798911424,951103724,800036200,VISp,9.004,8.215,56.8142916,15.2836911,291.121853,33.1857084,1.48726189,calibration
798911424,951103735,800036200,VISp,9.004,8.215,62.2231431,29.6040316,106.220457,20.3959684,1.21777302,calibration
798911424,951103779,800036200,VISp,9.007,8.215,62.5530456,10.0529493,83.4500355,27.4469544,0.492731046,evaluation
798911424,951103830,800036200,VISp,9.004,8.215,37.6934424,19.7374944,2657.25026,27.6934424,1.35841242,evaluation
798911424,951103842,800036200,VISp,9.021,8.217,48.3428135,28.1025988,415.996953,21.8974012,1.11807462,calibration
798911424,951103864,800036200,VISp,9.025,8.218,62.3518891,11.2668291,207.793998,27.6481109,0.868578811,calibration
798911424,951103877,800036200,VISp,9.025,8.218,57.8950676,13.0540157,48.1458392,32.1049324,1.78749461,calibration
798911424,951103889,800036200,VISp,9.025,8.218,59.7034106,15.0424662,62.1872918,30.2965894,1.46146976,calibration
798911424,951103958,800036200,VISp,9.007,8.215,57.6493614,13.4239737,113.290804,32.3506386,1.75963393,evaluation
798911424,951103975,800036200,VISp,9.032,8.219,57.4989262,11.5590066,113.61596,32.5010738,0.553812796,calibration
798911424,951103994,800036200,VISp,9.032,8.219,57.98331,12.2526225,273.376452,32.01669,1.38912462,evaluation
798911424,951104007,800036200,VISp,9.032,8.219,57.1431819,11.14133,89.1661534,32.8568181,0.878236626,evaluation
798911424,951104020,800036200,VISp,9.032,8.219,57.3968948,11.6545864,110.306489,32.6031052,0.966354095,calibration
798911424,951104031,800036200,VISp,9.028,8.218,54.9104062,13.0628862,66.249161,35.0895939,2.24157497,calibration
798911424,951104052,800036200,VISp,9.035,8.219,40.1229036,-11.557119,614.897627,18.442881,0.836627637,evaluation
798911424,951104064,800036200,VISp,9.035,8.219,53.939095,12.8433649,51.4406728,36.060905,2.24104255,calibration
798911424,951104075,800036200,VISp,9.045,8.221,47.4021632,-7.7166553,994.695796,22.2833447,1.37049424,calibration
798911424,951104099,800036200,VISp,9.045,8.221,57.9857783,16.5688158,996.812497,32.0142217,1.18543729,calibration
798911424,951104138,800036200,VISp,9.049,8.222,57.9306983,14.4177294,89.2815968,32.0693017,1.79711441,evaluation
798911424,951104150,800036200,VISp,9.049,8.222,58.0758958,10.9771784,486.841475,31.9241042,1.62226973,evaluation
798911424,951104161,800036200,VISp,9.049,8.222,50.5218287,14.8963151,343.126524,35.103685,0.602916053,evaluation
798911424,951104192,800036200,VISp,9.052,8.222,59.6316136,18.0453925,313.956434,30.3683864,3.38912045,evaluation
798911424,951104204,800036200,VISp,9.052,8.222,64.4103797,14.1832233,171.412323,25.5896203,0.480534815,calibration
798911424,951104214,800036200,VISp,9.056,8.223,50.9416112,13.7173592,275.200622,36.2826409,0.738651886,evaluation
798911424,951104250,800036200,VISp,9.059,8.224,56.5417783,5.33718665,209.308571,33.4582217,1.10167915,calibration
798911424,951104284,800036200,VISp,9.066,8.225,58.3649615,14.8693168,372.916391,31.6350385,0.674693779,evaluation
798911424,951104388,800036200,VISp,9.069,8.226,60.7627962,16.5856285,338.208734,29.2372038,1.49661171,evaluation
798911424,951104399,800036200,VISp,9.069,8.226,63.129015,15.1772665,381.377262,26.870985,0.649348553,evaluation
798911424,951104466,800036200,VISp,9.079,8.228,53.5002907,8.37769828,306.8098,36.4997093,0.543234003,evaluation
798911424,951104510,800036200,VISp,9.083,8.228,59.0203383,16.2877913,588.162411,30.9796617,3.02838523,evaluation
798911424,951104523,800036200,VISp,9.083,8.228,61.7633482,13.4375196,464.827727,28.2366518,0.739414161,calibration
798911424,951104590,800036200,VISp,9.093,8.23,59.331603,14.1049595,172.624278,30.668397,0.400849678,evaluation
798911424,951104618,800036200,VISp,9.096,8.231,71.4587837,10.9973456,1133.92839,18.5412163,0.653658366,calibration
798911424,951104671,800036200,VISp,9.1,8.232,56.9775264,14.4878602,176.494831,33.0224736,0.774891482,calibration
798911424,951104706,800036200,VISp,9.11,8.234,65.9348753,7.37129549,952.908894,24.0651247,0.608574409,calibration
798911424,951104746,800036200,VISp,9.11,8.234,63.6999003,7.31712951,232.638009,26.3000997,1.4391278,evaluation
798911424,951104810,800036200,VISp,9.113,8.235,53.6370086,9.88542422,292.296844,36.3629914,0.56366283,calibration
798911424,951104821,800036200,VISp,9.127,8.239,77.4550262,12.8313266,386.341886,12.5449738,0.28655407,calibration
798911424,951104832,800036200,VISp,9.13,8.239,47.6953733,13.6906042,752.591951,36.3093958,0.669906741,evaluation
798911424,951105202,800036200,VISp,8.98,8.211,58.9355653,11.3172491,274.511713,31.0644347,0.733100345,calibration
798911424,951105218,800036200,VISp,8.973,8.21,54.5645533,25.852254,791.653474,24.147746,1.189782,evaluation
798911424,951105231,800036200,VISp,8.973,8.21,44.1427982,20.6068229,797.791794,29.3931771,0.55682652,calibration
798911424,951105243,800036200,VISp,8.987,8.212,39.102452,14.0171106,614.912835,29.102452,0.764460396,calibration
798911424,951105282,800036200,VISp,9.014,8.216,74.6131677,8.82650497,266.680661,15.3868323,0.823291871,calibration
798911424,951105362,800036200,VISp,9.079,8.228,58.4674422,2.15929663,414.964728,31.5325578,0.653175316,calibration
798911424,951105425,800036200,VISp,9.113,8.235,64.8101462,5.14323335,215.998409,25.1898538,0.156034864,evaluation
798911424,951105438,800036200,VISp,9.13,8.239,56.1922029,11.1119492,293.068237,33.8077971,0.248164625,evaluation
798911424,951108370,800036202,VISl,8.234,9.569,24.8680682,29.7402428,66.8507745,14.8680682,2.02909804,evaluation
798911424,951108447,800036202,VISl,8.242,9.575,22.2008976,29.7621085,64.5674719,12.2008976,2.10489885,evaluation
798911424,951108685,800036202,VISl,8.3,9.625,61.4637692,11.2182199,1083.08694,28.5362308,1.10723179,calibration
798911424,951108867,800036202,VISl,8.344,9.667,24.5369168,-13.0132549,1666.68632,14.5369168,2.50437147,evaluation
798911424,951108895,800036202,VISl,8.352,9.675,71.1475443,-14.8473377,526.00911,15.1526623,0.916166529,calibration
798911424,951108996,800036202,VISl,8.376,9.699,52.7392659,-7.1983379,2392.6726,22.8016621,1.65871146,calibration
798911424,951109014,800036202,VISl,8.38,9.703,66.3723592,-14.5021723,932.723796,15.4978277,1.11527657,calibration
798911424,951109045,800036202,VISl,8.392,9.715,50.644527,-17.162303,1742.33313,12.837697,1.33186621,calibration
798911424,951109084,800036202,VISl,8.412,9.735,53.1049515,-11.52226,1324.71859,18.47774,1.20322265,evaluation
798911424,951109103,800036202,VISl,8.408,9.731,46.7897137,30.2835003,414.588734,19.7164997,1.61697131,evaluation
798911424,951109110,800036202,VISl,8.408,9.731,45.1966503,-11.962934,529.527796,18.037066,1.07146231,evaluation
798911424,951109118,800036202,VISl,8.428,9.752,27.9553828,-7.4907005,465.226806,17.9553828,1.24351072,calibration
798911424,951109137,800036202,VISl,8.412,9.735,43.8436638,-14.9981595,754.917267,15.0018405,1.65898774,evaluation
798911424,951109146,800036202,VISl,8.412,9.735,43.3736403,37.7398012,1534.91244,12.2601988,0.608733019,calibration
798911424,951109156,800036202,VISl,8.412,9.735,44.0287556,-16.7251993,4023.40142,13.2748007,1.02541009,calibration
798911424,951109168,800036202,VISl,8.416,9.739,51.1702407,-14.6633676,1277.5324,15.3366324,2.03417375,calibration
798911424,951109184,800036202,VISl,8.416,9.739,73.7153944,-19.7207204,1804.13949,10.2792796,1.95775244,calibration
798911424,951109191,800036202,VISl,8.42,9.744,43.7386232,-19.353927,787.371111,10.646073,1.41759509,calibration
798911424,951109199,800036202,VISl,8.42,9.744,41.7720001,-14.7740019,167.859581,15.2259981,1.4127394,evaluation
798911424,951109213,800036202,VISl,8.428,9.752,51.7338709,-14.2662645,2467.94575,15.7337355,0.795238099,calibration
798911424,951109253,800036202,VISl,8.432,9.756,48.5239366,-5.7780395,168.348408,24.2219605,0.260865688,evaluation
798911424,951109262,800036202,VISl,8.436,9.76,72.4907613,23.9928074,713.479349,17.5092387,1.01013291,evaluation
798911424,951109282,800036202,VISl,8.443,9.768,25.2561325,5.26755394,224.854611,15.2561325,0.935449377,evaluation
798911424,951109307,800036202,VISl,8.455,9.78,29.764769,-4.9096612,817.889619,19.764769,3.03961316,calibration
798911424,951109319,800036202,VISl,8.447,9.772,45.629261,-8.3048694,2706.11809,21.6951306,1.99683829,calibration
798911424,951109329,800036202,VISl,8.447,9.772,44.1582625,-15.8112077,1145.9021,14.1887923,1.57761349,calibration
