population,group,metric,unit,units,sessions,mean,std,minimum,q25,median,q75,q90,q95,q97_5,q99,maximum
trusted alignment support,V1,area_rf,deg2,2457,31,516.5242,309.2685,100,300,400,600,900,1100,1400,1800,2400
trusted alignment support,V1,equivalent_circle_diameter_deg,deg,2457,31,24.71845,6.83199,11.28379,19.5441,22.56758,27.63953,33.85138,37.4241,42.22008,47.87307,55.27906
trusted alignment support,HVA pooled,area_rf,deg2,1633,31,831.2309,463.2097,100,500,700,1000,1500,1800,2100,2300,2400
trusted alignment support,HVA pooled,equivalent_circle_diameter_deg,deg,1633,31,31.35013,8.6932,11.28379,25.23133,29.85411,35.68248,43.70194,47.87307,51.70883,54.11516,55.27906
trusted alignment support,LM,area_rf,deg2,278,22,711.5108,477.8229,100,400,600,875,1400,1815,2007.5,2223,2400
trusted alignment support,LM,equivalent_circle_diameter_deg,deg,278,22,28.63593,9.285324,11.28379,22.56758,27.63953,33.36738,42.22008,48.06985,50.55611,53.19926,55.27906
trusted alignment support,RL,area_rf,deg2,235,23,785.5319,412.5738,100,500,700,950,1300,1530,1900,2232,2400
trusted alignment support,RL,equivalent_circle_diameter_deg,deg,235,23,30.61695,7.939842,11.28379,25.23133,29.85411,34.76693,40.68429,44.13191,49.18491,53.29701,55.27906
trusted alignment support,AL,area_rf,deg2,248,23,837.0968,481.6415,100,500,700,1100,1530,1765,2082.5,2200,2400
trusted alignment support,AL,equivalent_circle_diameter_deg,deg,248,23,31.34804,9.135724,11.28379,25.23133,29.85411,37.4241,44.13191,47.40099,51.49075,52.92567,55.27906
trusted alignment support,PM,area_rf,deg2,343,16,814.8688,432.9086,200,500,700,1000,1400,1700,1945,2258,2400
trusted alignment support,PM,equivalent_circle_diameter_deg,deg,343,16,31.19364,8.041668,15.95769,25.23133,29.85411,35.68248,42.22008,46.52426,49.75989,53.61558,55.27906
trusted alignment support,AM,area_rf,deg2,529,25,922.3062,470.2046,100,600,800,1200,1600,1900,2100,2300,2400
trusted alignment support,AM,equivalent_circle_diameter_deg,deg,529,25,33.20464,8.479658,11.28379,27.63953,31.91538,39.0882,45.13517,49.18491,51.70883,54.11516,55.27906
published-like except area cap,V1,area_rf,deg2,2478,31,542.4132,422.8402,100,300,400,600,900,1200,1500,2200,5200
published-like except area cap,V1,equivalent_circle_diameter_deg,deg,2478,31,25.07692,7.860972,11.28379,19.5441,22.56758,27.63953,33.85138,39.0882,43.70194,52.92567,81.36858
published-like except area cap,HVA pooled,area_rf,deg2,1717,31,952.2423,715.4163,100,500,700,1100,1740,2400,3110,3884,5600
published-like except area cap,HVA pooled,equivalent_circle_diameter_deg,deg,1717,31,32.974,11.1902,11.28379,25.23133,29.85411,37.4241,47.06379,55.27906,62.92602,70.32177,84.44016
published-like except area cap,LM,area_rf,deg2,288,22,810.0694,714.2668,100,400,600,900,1630,2165,2847.5,3952,4700
published-like except area cap,LM,equivalent_circle_diameter_deg,deg,288,22,29.96331,11.57921,11.28379,22.56758,27.63953,33.85138,45.5519,52.49978,60.20004,70.92557,77.35778
published-like except area cap,RL,area_rf,deg2,250,23,950.4,789.2474,100,600,700,1000,1700,2710,3477.5,4353,4900
published-like except area cap,RL,equivalent_circle_diameter_deg,deg,250,23,32.78126,11.66277,11.28379,27.63953,29.85411,35.68248,46.52426,58.73084,66.53968,74.43632,78.98654
published-like except area cap,AL,area_rf,deg2,272,23,1050,837.806,100,500,800,1300,2190,3000,3500,3829,4500
published-like except area cap,AL,equivalent_circle_diameter_deg,deg,272,23,34.24291,12.84256,11.28379,25.23133,31.91538,40.68429,52.80399,61.80387,66.75581,69.82166,75.69398
published-like except area cap,PM,area_rf,deg2,354,17,894.0678,635.4886,200,500,700,1100,1600,2035,2600,3200,5600
published-like except area cap,PM,equivalent_circle_diameter_deg,deg,354,17,32.24128,9.957042,15.95769,25.23133,29.85411,37.4241,45.13517,50.89881,57.53627,63.83076,84.44016
published-like except area cap,AM,area_rf,deg2,553,25,1016.275,648.4283,100,600,800,1200,1800,2340,2820,3348,4500
published-like except area cap,AM,equivalent_circle_diameter_deg,deg,553,25,34.47402,10.28078,11.28379,27.63953,31.91538,39.0882,47.87307,54.58072,59.91959,65.28835,75.69398
