ecephys_unit_id,ecephys_session_id,ecephys_probe_id,specimen_id,cohort,area,azimuth_rf,elevation_rf,area_rf,p_value_rf,v1_azimuth_median_deg,v1_elevation_median_deg,relative_azimuth_deg,relative_elevation_deg,inside_v1_convex_hull,inside_v1_robust_box,width_rf,height_rf,on_screen_rf,distance_to_nearest_grid_edge_deg,equivalent_circle_diameter_deg,width_sigma_magnitude_deg,height_sigma_magnitude_deg,major_sigma_magnitude_deg,minor_sigma_magnitude_deg,major_fwhm_deg,minor_fwhm_deg,gaussian_fwhm_area_deg2,pooled_group
915960249,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.182,9.091,1100,0,55,15,3.182,-5.909,True,True,60.74075,56.58767,True,31.818,37.4241,60.74075,56.58767,60.74075,56.58767,143.0335,133.2538,14969.5,V1
915960253,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.842,-5.263,1900,0.006,55,15,1.842,-20.263,True,False,82.20088,83.80239,True,24.737,49.18491,82.20088,83.80239,83.80239,82.20088,197.3396,193.5683,30001.17,V1
915960262,732592105,733744649,717038288,Brain Observatory 1.1,V1,33.333,18.889,900,0,55,15,-21.667,3.889,True,True,58.30343,68.53915,True,23.333,33.85138,58.30343,68.53915,68.53915,58.30343,161.3974,137.2941,17403.56,V1
915960279,732592105,733744649,717038288,Brain Observatory 1.1,V1,42,16,500,0,55,15,-13,1,True,True,29.3498,33.21234,True,32,25.23133,29.3498,33.21234,33.21234,29.3498,78.20908,69.11349,4245.315,V1
915960271,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,600,0,55,15,0,5,True,True,44.06861,41.70339,True,30,27.63953,44.06861,41.70339,44.06861,41.70339,103.7736,98.20397,8003.98,V1
915960330,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,10,900,0.002,55,15,-25,-5,True,True,22.60962,27.54709,True,20,33.85138,22.60962,27.54709,27.54709,22.60962,64.86844,53.24159,2712.529,V1
915960337,732592105,733744649,717038288,Brain Observatory 1.1,V1,68.75,11.25,800,0,55,15,13.75,-3.75,True,True,122.6843,143.0682,False,21.25,31.91538,122.6843,143.0682,143.0682,122.6843,336.9,288.8993,76442.95,V1
915960341,732592105,733744649,717038288,Brain Observatory 1.1,V1,65,15,400,0,55,15,10,0,True,True,13.62963,16.67416,True,25,22.56758,13.62963,16.67416,16.67416,13.62963,39.26465,32.09533,989.7682,V1
915960348,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.273,14.545,1100,0,55,15,2.273,-0.455,True,True,50.20236,55.30179,True,32.727,37.4241,50.20236,55.30179,55.30179,50.20236,130.2258,118.2175,12091.18,V1
915960374,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,14,500,0.005,55,15,-7,-1,True,True,36.11557,40.2251,True,36,25.23133,36.11557,40.2251,40.2251,36.11557,94.72287,85.04567,6326.986,V1
915960409,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,16.25,800,0,55,15,-3.75,1.25,True,True,74.6361,89.42867,True,33.75,31.91538,74.6361,89.42867,89.42867,74.6361,210.5884,175.7546,29069.06,V1
915960413,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,9.91728,11.22997,True,33.333,19.5441,9.91728,11.22997,11.22997,9.91728,26.44455,23.35341,485.0387,V1
915960427,732592105,733744649,717038288,Brain Observatory 1.1,V1,40,15,600,0,55,15,-15,0,True,True,15.99092,20.62322,True,30,27.63953,15.99092,20.62322,20.62322,15.99092,48.56397,37.65573,1436.267,V1
915961088,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,10.36624,9.928763,True,33.333,19.5441,10.36624,9.928763,10.36624,9.928763,24.41064,23.38045,448.2516,V1
915960446,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.333,300,0.005,55,15,1.667,-1.667,True,True,51.21235,40.89031,True,33.333,19.5441,51.21235,40.89031,51.21235,40.89031,120.5959,96.28931,9120.117,V1
915960454,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,12.01217,17.95496,True,35,22.56758,12.01217,17.95496,17.95496,12.01217,42.2807,28.28649,939.3148,V1
915960456,732592105,733744649,717038288,Brain Observatory 1.1,V1,32,16,500,0,55,15,-23,1,True,True,98.18001,191.5619,False,22,25.23133,98.18001,191.5619,191.5619,98.18001,451.0938,231.1963,81910.11,V1
915960460,732592105,733744649,717038288,Brain Observatory 1.1,V1,67.143,10,700,0,55,15,12.143,-5,True,True,59.02494,88.13488,True,22.857,29.85411,59.02494,88.13488,88.13488,59.02494,207.5418,138.9931,22656.28,V1
915960463,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,18.75,800,0,55,15,-3.75,3.75,True,True,43.27562,57.87802,True,31.25,31.91538,43.27562,57.87802,57.87802,43.27562,136.2923,101.9063,10908.43,V1
915960467,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.429,19.286,1400,0.006,55,15,1.429,4.286,True,True,19.82924,25.06415,True,30.714,42.22008,19.82924,25.06415,25.06415,19.82924,59.02157,46.6943,2164.535,V1
915960489,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,32.38733,31.80655,True,35,22.56758,32.38733,31.80655,32.38733,31.80655,76.26633,74.8987,4486.39,V1
915960504,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,16,500,0,55,15,-7,1,True,True,28.43046,29.20921,True,34,25.23133,28.43046,29.20921,29.20921,28.43046,68.78243,66.94862,3616.671,V1
915960530,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,25.39084,32.72215,True,35,27.63953,25.39084,32.72215,32.72215,25.39084,77.05478,59.79086,3618.464,V1
915960539,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,400,0,55,15,-5,0,True,True,12.17663,17.88826,True,35,22.56758,12.17663,17.88826,17.88826,12.17663,42.12364,28.67377,948.6379,V1
915960518,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,39.31627,36.9331,True,33.333,19.5441,39.31627,36.9331,39.31627,36.9331,92.58275,86.97081,6324.023,V1
915960522,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,22.35589,26.16683,True,35,27.63953,22.35589,26.16683,26.16683,22.35589,61.61816,52.64411,2547.701,V1
915960553,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,8.889,900,0,55,15,1.667,-6.111,True,True,42.32519,48.19462,True,33.333,33.85138,42.32519,48.19462,48.19462,42.32519,113.4897,99.66819,8883.882,V1
915960562,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,12.857,700,0,55,15,5,-2.143,True,True,38.65222,46.11935,True,30,29.85411,38.65222,46.11935,46.11935,38.65222,108.6028,91.01902,7763.596,V1
915960566,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,4,500,0,55,15,-3,-11,True,True,21.53373,26.37062,True,34,25.23133,21.53373,26.37062,26.37062,21.53373,62.09807,50.70806,2473.119,V1
915960569,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,6.667,600,0,55,15,0,-8.333,True,True,36.9958,53.08906,True,35,27.63953,36.9958,53.08906,53.08906,36.9958,125.0152,87.11846,8553.873,V1
915961096,732592105,733744649,717038288,Brain Observatory 1.1,V1,70,10,700,0,55,15,15,-5,True,True,97.92061,216.1279,False,20,29.85411,97.92061,216.1279,216.1279,97.92061,508.9423,230.5854,92170.15,V1
915960572,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,22.609,2300,0,55,15,-5,7.609,True,True,46.17386,50.97614,True,27.391,54.11516,46.17386,50.97614,50.97614,46.17386,120.0396,108.7311,10251.05,V1
915960575,732592105,733744649,717038288,Brain Observatory 1.1,V1,52.857,15.714,700,0,55,15,-2.143,0.714,True,True,48.25872,53.64992,True,34.286,29.85411,48.25872,53.64992,53.64992,48.25872,126.3359,113.6406,11275.87,V1
915960581,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,14,500,0,55,15,-3,-1,True,True,45.97017,49.24006,True,36,25.23133,45.97017,49.24006,49.24006,45.97017,115.9515,108.2515,9858.254,V1
915960586,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,76.64852,63.57608,True,35,22.56758,76.64852,63.57608,76.64852,63.57608,180.4935,149.7102,21222.81,V1
915960589,732592105,733744649,717038288,Brain Observatory 1.1,V1,63.333,8.889,900,0,55,15,8.333,-6.111,True,True,41.20373,48.53007,True,26.667,33.85138,41.20373,48.53007,48.53007,41.20373,114.2796,97.02737,8708.69,V1
915960595,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,15,600,0,55,15,-25,0,True,True,56.31155,112.1645,True,20,27.63953,56.31155,112.1645,112.1645,56.31155,264.1271,132.6036,27507.94,V1
915960621,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,24.06034,26.40851,True,35,27.63953,24.06034,26.40851,26.40851,24.06034,62.1873,56.65778,2767.267,V1
915960599,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.143,14.286,700,0,55,15,2.143,-0.714,True,True,42.85819,54.14286,True,32.857,29.85411,42.85819,54.14286,54.14286,42.85819,127.4967,100.9233,10106.02,V1
915960602,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.875,13.75,1600,0,55,15,-3.125,-1.25,True,True,35.82207,46.46617,True,36.25,45.13517,35.82207,46.46617,46.46617,35.82207,109.4195,84.35452,7249.246,V1
915960606,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,16.667,300,0,55,15,1.667,1.667,True,True,76.00889,55.97569,True,33.333,19.5441,76.00889,55.97569,76.00889,55.97569,178.9873,131.8127,18529.73,V1
915960609,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,17.143,700,0,55,15,-5,2.143,True,True,25.20862,24.82499,True,32.857,29.85411,25.20862,24.82499,25.20862,24.82499,59.36176,58.45839,2725.483,V1
915960612,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,25.12547,28.95468,True,35,27.63953,25.12547,28.95468,28.95468,25.12547,68.18306,59.16597,3168.388,V1
915960615,732592105,733744649,717038288,Brain Observatory 1.1,V1,68,6,500,0,55,15,13,-9,True,True,64.98262,82.47397,True,22,25.23133,64.98262,82.47397,82.47397,64.98262,194.2114,153.0224,23341,V1
915960618,732592105,733744649,717038288,Brain Observatory 1.1,V1,60,15,600,0,55,15,5,0,True,True,32.48374,40.95817,True,30,27.63953,32.48374,40.95817,40.95817,32.48374,96.44913,76.49337,5794.447,V1
915961098,732592105,733744649,717038288,Brain Observatory 1.1,V1,61.333,19.333,1500,0.005,55,15,6.333,4.333,True,True,15.30258,22.3477,True,28.667,43.70194,15.30258,22.3477,22.3477,15.30258,52.62482,36.03483,1489.371,V1
915960624,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.75,11.25,800,0,55,15,3.75,-3.75,True,True,34.11016,41.34826,True,31.25,31.91538,34.11016,41.34826,41.34826,34.11016,97.36771,80.32328,6142.516,V1
915960627,732592105,733744649,717038288,Brain Observatory 1.1,V1,45,18,1000,0,55,15,-10,3,True,True,36.35691,40.77257,True,32,35.68248,36.35691,40.77257,40.77257,36.35691,96.01206,85.61398,6455.953,V1
915960630,732592105,733744649,717038288,Brain Observatory 1.1,V1,50,15,600,0,55,15,-5,0,True,True,30.0198,31.70515,True,35,27.63953,30.0198,31.70515,31.70515,30.0198,74.65993,70.69122,4145.175,V1
915960634,732592105,733744649,717038288,Brain Observatory 1.1,V1,52,4,500,0,55,15,-3,-11,True,True,56.87674,49.32387,True,34,25.23133,56.87674,49.32387,56.87674,49.32387,133.9345,116.1488,12217.92,V1
915960637,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,10,200,0,55,15,0,-5,True,True,39.99256,39.58994,True,35,15.95769,39.99256,39.58994,39.99256,39.58994,94.17528,93.22719,6895.558,V1
915960640,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,5,400,0,55,15,0,-10,True,True,9.009117,13.15062,True,35,22.56758,9.009117,13.15062,13.15062,9.009117,30.96733,21.21485,515.9809,V1
915960642,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,23.333,300,0,55,15,-8.333,8.333,True,True,32.07841,30.8611,True,26.667,19.5441,32.07841,30.8611,32.07841,30.8611,75.53887,72.67235,4311.512,V1
