ecephys_session_id,interior_v1_units,supported_grid_points,supported_grid_fraction,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound
715093703,61,371,0.386056,interior_v1_rf_size_translation,-21.3334,-5.43431,0,0,0,0,1.15675,0.364357,0.792397,-0.156754,0.657183,0,2.25,False
719161530,15,186,0.193548,interior_v1_rf_size_translation,-15.8334,-2.25423,0,0,0,0,0.959518,0.326606,0.632912,0.0404822,0.684762,2.25,3,False
721123822,47,492,0.511967,interior_v1_rf_size_translation,23.3366,6.66667,0,0,0,0,0.478128,0.192898,0.28523,0.522681,0.833282,4.5,2.25,False
732592105,136,722,0.751301,interior_v1_rf_size_translation,30,-7.68139,0,0,0,0,1.6709,0.22902,1.44188,-0.670896,0.813602,0.75,2.25,True
737581020,76,530,0.551509,interior_v1_rf_size_translation,-9.33303,28.0487,0,0,0,0,1.82869,0.300727,1.52796,-0.828686,0.73811,0,0,False
739448407,16,251,0.261186,interior_v1_rf_size_translation,5.28646,12.2449,0,0,0,0,0.774489,0.262724,0.511765,0.225511,0.745182,2.25,10.5,False
742951821,62,329,0.342352,interior_v1_rf_size_translation,-29.9601,0.0278314,0,0,0,0,1.31695,0.232215,1.08473,-0.311622,0.807679,0,5.25,True
744228101,39,336,0.349636,interior_v1_rf_size_translation,-9.33364,-29.9593,0,0,0,0,1.58152,0.307795,1.27373,-0.581524,0.735968,,1.5,True
746083955,21,244,0.253902,interior_v1_rf_size_translation,-10.6663,7.99527,0,0,0,0,1.04697,0.294283,0.752691,-0.0469738,0.713614,0,1.5,False
750332458,89,647,0.673257,interior_v1_rf_size_translation,14.6898,-5.33351,0,0,0,0,0.554215,0.158072,0.396143,0.445785,0.852783,3,1.5,False
750749662,80,653,0.679501,interior_v1_rf_size_translation,10.5364,27.5702,0,0,0,0,1.12928,0.263052,0.866224,-0.129276,0.775665,6.75,3.75,False
751348571,62,571,0.594173,interior_v1_rf_size_translation,-0.00184419,5.33712,0,0,0,0,0.36456,0.138923,0.225637,0.63579,0.862343,3.75,1.5,False
754312389,127,739,0.768991,interior_v1_rf_size_translation,-25.4374,-2.43768,0,0,0,0,1.21341,0.312333,0.901074,-0.212598,0.716689,0.75,2.25,False
754829445,85,771,0.802289,interior_v1_rf_size_translation,2.6732,0.00035993,0,0,0,0,0.364121,0.206078,0.158043,0.635879,0.79424,0.75,3.75,False
755434585,125,664,0.690947,interior_v1_rf_size_translation,24.569,1.33333,0,0,0,0,0.493875,0.208671,0.285204,0.507024,0.818236,55.5,2.25,False
756029989,78,548,0.570239,interior_v1_rf_size_translation,22.3782,-18.8981,0,0,0,0,1.65628,0.203028,1.45325,-0.655551,0.835102,1.5,2.25,False
757216464,122,721,0.75026,interior_v1_rf_size_translation,27.9995,-6.66931,0,0,0,0,0.767263,0.167078,0.600185,0.232737,0.869742,3.75,2.25,False
757970808,89,481,0.50052,interior_v1_rf_size_translation,-18.6667,1.61854,0,0,0,0,0.853209,0.258471,0.594737,0.148441,0.757131,3,3.75,False
758798717,68,596,0.620187,interior_v1_rf_size_translation,-24.022,-1.33334,0,0,0,0,0.733227,0.224543,0.508683,0.266773,0.801183,1.5,2.25,False
759883607,78,534,0.555671,interior_v1_rf_size_translation,-26.6664,-1.25644,0,0,0,0,0.531246,0.150459,0.380788,0.468754,0.881216,0,7.5,False
760345702,83,538,0.559834,interior_v1_rf_size_translation,27.5767,4.00006,0,0,0,0,0.605012,0.211347,0.393665,0.394988,0.823163,4.5,2.25,False
760693773,129,710,0.738814,interior_v1_rf_size_translation,14.6666,1.34626,0,0,0,0,0.61951,0.400219,0.219291,0.38049,0.609422,10.5,0,False
761418226,27,238,0.247659,interior_v1_rf_size_translation,-10.3907,21.3332,0,0,0,0,1.4016,0.428176,0.973425,-0.400764,0.596849,0.75,0.75,False
762120172,108,675,0.702393,interior_v1_rf_size_translation,-25.3328,6.67136,0,0,0,0,0.750814,0.312805,0.438009,0.249186,0.717696,6.75,2.25,False
762602078,68,433,0.450572,interior_v1_rf_size_translation,3.99932,-17.3331,0,0,0,0,0.857206,0.177365,0.679841,0.142794,0.836699,2.25,2.25,False
763673393,76,558,0.580645,interior_v1_rf_size_translation,-30,7.23059,0,0,0,0,1.60203,0.236624,1.36541,-0.601319,0.805699,0.75,4.5,True
773418906,87,632,0.657648,interior_v1_rf_size_translation,-29.3358,-3.99524,0,0,0,0,0.497193,0.2715,0.225693,0.502807,0.767458,0,3,False
791319847,106,670,0.69719,interior_v1_rf_size_translation,16.5336,-23.9987,0,0,0,0,0.63569,0.23092,0.40477,0.364608,0.806826,3,0.75,False
797828357,77,592,0.616025,interior_v1_rf_size_translation,18.6891,-29.3314,0,0,0,0,0.838276,0.268287,0.569989,0.161724,0.785474,3.75,0.75,False
798911424,112,741,0.771072,interior_v1_rf_size_translation,24.0127,-4.00002,0,0,0,0,0.498808,0.252705,0.246103,0.501998,0.773634,3,24.75,False
799864342,108,726,0.755463,interior_v1_rf_size_translation,-23.9959,-4.00061,0,0,0,0,1.06004,0.288807,0.771229,-0.0600364,0.737495,3,2.25,False
