selection_role,criterion,ecephys_session_id,target_subset,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,trace_split_half_vector_difference_deg,v1_units,censored_fraction,median_absolute_rf_area_deg2,median_rf_azimuth_deg,median_rf_elevation_deg,median_dispersion_effective_neighbors,supported_grid_points,ccf_units,ccf_available,all_dispersion_split_difference_deg,trace_improvement_over_all_dispersion_deg,distance_to_eligible_median
CCF-available covariance-trace success,minimum trace split-half difference among non-bound sessions with >=60 V1 units and unit-level CCF,760345702,full,12.0,2.0,0.5895955607570126,97,False,2.0,92,0.2826086956521739,177.89019000000002,-5.04317558,-9.426384335,83.78431546835151,2486,92,True,10.0,8.0,
typical covariance-trace case,closest trace split-half difference to the eligible-session median,719161530,full,-24.0,0.0,0.4740020277113792,95,False,14.422205101855956,83,0.1927710843373494,261.267207,26.100724,-7.22071772,73.61883388764358,2399,83,True,37.57658845611187,23.154383354255913,0.8079783134951288
trace rescues full-dispersion instability,maximum reduction in split-half difference from all dispersion to covariance trace,759883607,full,20.0,-10.0,0.6167358495757617,53,False,8.48528137423857,92,0.3260869565217391,274.8789695,-7.888431199999999,-1.099204715,80.72256269799038,1803,92,True,58.54912467321779,50.06384329897922,
covariance-trace failure or boundary case,"boundary optimum prioritized, then maximum trace split-half difference",835479236,full,-30.0,30.0,1.3704597806925476,4,True,60.03332407921454,74,0.3783783783783784,291.4210385,38.14355965,15.2252432,52.0990868673084,1992,74,True,10.0,-50.03332407921454,
