ecephys_session_id,target_subset,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,trace_split_half_vector_difference_deg,v1_units,censored_fraction,median_absolute_rf_area_deg2,median_rf_azimuth_deg,median_rf_elevation_deg,median_dispersion_effective_neighbors,supported_grid_points,ccf_units,ccf_available,all_dispersion_split_difference_deg,trace_improvement_over_all_dispersion_deg
715093703,full,-14.0,24.0,0.0691016424018422,144,False,44.0,93,0.1720430107526881,258.344089,-0.32911888,-18.9451271,81.14696483596053,2431,93,True,56.0,12.0
719161530,full,-24.0,0.0,0.4740020277113792,95,False,14.422205101855956,83,0.1927710843373494,261.267207,26.100724,-7.22071772,73.61883388764358,2399,83,True,37.57658845611187,23.154383354255913
721123822,full,-16.0,30.0,0.1708086609168947,88,True,63.245553203367585,58,0.2758620689655172,286.6317065,7.22488384,-5.00853574,47.15063714036664,2128,58,True,62.0966987850401,-1.1488544183274882
732592105,full,-8.0,-18.0,0.40057562089881615,154,False,12.806248474865697,154,0.1948051948051948,283.8813325,4.37868293,3.643312255,132.68629420604395,1963,0,False,18.43908891458577,5.6328404397200735
737581020,full,-8.0,-12.0,0.21796719685176516,127,False,7.211102550927978,85,0.2235294117647059,170.935439,7.83658345,2.5215889,75.85475393407667,2552,0,False,22.360679774997894,15.149577224069915
739448407,full,26.0,-18.0,0.4539987978681809,71,False,12.649110640673518,40,0.05,367.0551005,-20.0401491,9.14651204,36.38179481384566,2848,0,False,32.984845004941285,20.335734364267765
742951821,full,-12.0,-2.0,1.690943546127022,96,False,6.0,81,0.1358024691358024,265.501848,15.4166137,-3.37698124,72.2721925197981,1614,0,False,0.0,-6.0
744228101,full,-12.0,-14.0,0.9667753217706273,90,False,7.211102550927978,56,0.2142857142857142,221.7450565,16.320196600000003,5.320687100000001,50.19496513246216,2130,56,True,19.697715603592208,12.486613052664229
746083955,full,20.0,4.0,0.602658257772009,185,False,36.49657518178932,45,0.2666666666666666,339.215882,-19.8505986,0.797116258,36.52859182017104,1816,0,False,24.73863375370596,-11.757941428083356
750332458,full,-14.0,-6.0,0.15837837125073004,91,False,10.0,103,0.2135922330097087,290.712797,-2.79613833,5.02769315,89.67547984262275,2779,0,False,19.79898987322333,9.79898987322333
750749662,full,-12.0,-14.0,0.3744872932150692,105,False,20.396078054371138,92,0.1847826086956521,223.577449,2.11279561,5.703288275,79.8163855795271,2733,92,True,26.0768096208106,5.680731566439462
751348571,full,30.0,30.0,0.2035152174307862,22,True,42.0,74,0.1891891891891892,322.535811,5.622712335,-9.081564295,61.04254764102737,2038,74,True,4.0,-38.0
754312389,full,10.0,10.0,0.23891789504272637,265,False,37.73592452822641,144,0.2361111111111111,191.3132475,-4.40816397,-5.87506489,125.93817160413228,2399,144,True,4.47213595499958,-33.26378857322683
754829445,full,-30.0,30.0,1.4710473275445735,1,True,0.0,141,0.2907801418439716,339.036341,16.3322573,-6.98369827,94.11063776388602,2208,141,True,0.0,0.0
755434585,full,-8.0,0.0,0.6901675045815426,106,False,10.0,142,0.2464788732394366,201.356292,7.621727935,-4.77744233,127.3218714312783,2827,142,True,12.0,2.0
756029989,full,2.0,4.0,0.029667003837591584,279,False,23.323807579381203,90,0.2666666666666666,276.1875455,3.32731779,-7.82769067,81.92686804175193,2875,90,True,20.396078054371134,-2.9277295250100686
757216464,full,-10.0,10.0,0.2633591340545174,96,False,12.0,150,0.3,208.8816595,-0.03356516145,5.10162981,124.8868871361943,2101,150,True,36.05551275463989,24.055512754639892
757970808,full,4.0,2.0,0.12821592633696072,210,False,8.94427190999916,150,0.2066666666666666,280.219443,-18.57112155,-1.0049893165,129.28694250801115,2019,150,True,18.867962264113206,9.923690354114047
758798717,full,-8.0,-10.0,0.27578259953803547,72,False,25.298221281347036,83,0.1686746987951807,265.303493,-2.51440086,1.57193934,71.14618164506065,2100,83,True,26.0,0.7017787186529638
759883607,full,20.0,-10.0,0.6167358495757617,53,False,8.48528137423857,92,0.3260869565217391,274.8789695,-7.888431199999999,-1.099204715,80.72256269799038,1803,92,True,58.54912467321779,50.06384329897922
760345702,full,12.0,2.0,0.5895955607570126,97,False,2.0,92,0.2826086956521739,177.89019000000002,-5.04317558,-9.426384335,83.78431546835151,2486,92,True,10.0,8.0
760693773,full,-8.0,30.0,0.06566157887254576,54,True,8.246211251235321,154,0.2467532467532467,235.3613825,-4.6367406550000005,-9.90719485,132.34624253207707,2552,0,False,20.0,11.753788748764679
