ecephys_session_id,target_subset,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,trace_split_half_vector_difference_deg
771160300,half_1,0.0,30.0,0.08962747743430917,170,True,18.439088914585774
771990200,full,8.0,20.0,0.06407291008677184,143,False,40.496913462633174
771990200,half_0,16.0,-8.0,0.07958365293980252,213,False,40.496913462633174
771990200,half_1,2.0,30.0,0.07891578755136996,37,True,40.496913462633174
773418906,full,-8.0,-18.0,0.4939548916814782,76,False,28.071337695236398
773418906,half_0,-24.0,-12.0,0.2321362560244211,66,False,28.071337695236398
773418906,half_1,4.0,-14.0,2.234606022388903,87,False,28.071337695236398
774875821,full,-2.0,8.0,0.11292282444607016,117,False,30.066592756745816
774875821,half_0,20.0,8.0,0.09690445260614902,242,False,30.066592756745816
774875821,half_1,-10.0,6.0,0.259148902704838,57,False,30.066592756745816
778240327,full,4.0,2.0,0.03285639529304715,231,False,26.0
778240327,half_0,10.0,-24.0,0.06519621721333287,279,False,26.0
778240327,half_1,10.0,2.0,0.10131740512855428,165,False,26.0
778998620,full,4.0,2.0,0.7929148536355279,113,False,10.0
778998620,half_0,6.0,2.0,1.1272057393445436,101,False,10.0
778998620,half_1,0.0,-6.0,0.4790126993720824,125,False,10.0
779839471,full,-24.0,30.0,0.2035539645519176,41,True,4.47213595499958
779839471,half_0,-26.0,28.0,0.1830342973868474,34,False,4.47213595499958
779839471,half_1,-22.0,30.0,0.04709805945798962,53,True,4.47213595499958
781842082,full,-6.0,-2.0,0.2031843998488153,141,False,12.649110640673518
781842082,half_0,-10.0,2.0,0.263152343835271,114,False,12.649110640673518
781842082,half_1,2.0,-2.0,0.17617679804978936,142,False,12.649110640673518
786091066,full,-2.0,26.0,0.1026478228296518,238,False,18.867962264113206
786091066,half_0,-8.0,-6.0,0.029825747993824224,282,False,18.867962264113206
786091066,half_1,-18.0,-22.0,0.13442854249715708,83,False,18.867962264113206
787025148,full,4.0,4.0,0.30604234931397256,143,False,6.324555320336759
787025148,half_0,8.0,4.0,0.27958685891601687,204,False,6.324555320336759
787025148,half_1,6.0,-2.0,0.5084166448302487,98,False,6.324555320336759
789848216,full,30.0,-12.0,2.611478606250009,35,True,5.656854249492381
789848216,half_0,30.0,-12.0,2.558659418344128,26,True,5.656854249492381
789848216,half_1,26.0,-16.0,4.1558777891500505,50,False,5.656854249492381
791319847,full,0.0,6.0,0.2197646397617176,243,False,22.80350850198276
791319847,half_0,-8.0,20.0,0.06213848861791342,636,False,22.80350850198276
791319847,half_1,-2.0,-2.0,0.39178388939472875,137,False,22.80350850198276
793224716,full,-10.0,2.0,0.06609060623646959,343,False,26.30589287593181
793224716,half_0,14.0,-4.0,0.0857698131944161,251,False,26.30589287593181
793224716,half_1,-12.0,-8.0,0.08430763227381165,157,False,26.30589287593181
794812542,full,-12.0,-6.0,0.7536276861148287,95,False,8.94427190999916
794812542,half_0,-14.0,-8.0,0.7911215012360587,82,False,8.94427190999916
794812542,half_1,-6.0,-4.0,0.6851316601144065,84,False,8.94427190999916
797828357,full,-20.0,30.0,0.21210041755496378,46,True,16.1245154965971
797828357,half_0,-30.0,28.0,0.2894965505458852,12,True,16.1245154965971
797828357,half_1,-14.0,26.0,0.1668551896329688,89,False,16.1245154965971
798911424,full,10.0,30.0,0.19163577360503725,472,True,48.373546489791295
798911424,half_0,-12.0,18.0,0.18800149487554396,178,False,48.373546489791295
798911424,half_1,-18.0,-30.0,0.1324810305829643,316,True,48.373546489791295
799864342,full,-18.0,-6.0,0.23143930916640368,122,False,10.0
799864342,half_0,-18.0,-12.0,0.19919657893841672,169,False,10.0
