stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,orientation,x_position,size,y_position,spatial_frequency,phase,temporal_frequency,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1861,0.0,554.05658,554.30679,null,gabors,90.0,30.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,29,,,0,,False,7,train,2
1862,0.0,554.30679,554.55701,null,gabors,90.0,40.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,237,,,0,,False,4,train,2
1863,0.0,554.55701,554.80722,null,gabors,0.0,20.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,93,,,0,,False,5,test,0
1864,0.0,554.80722,555.05744,null,gabors,45.0,40.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,89,,,0,,False,8,test,1
1865,0.0,555.05744,555.30765,null,gabors,90.0,-10.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,21,,,0,,False,11,test,2
1866,0.0,555.30765,555.55785,null,gabors,45.0,-10.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,57,,,0,,False,7,train,1
1867,0.0,555.55785,555.80806,null,gabors,90.0,40.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,188,,,0,,False,7,train,2
1868,0.0,555.80806,556.05827,null,gabors,90.0,10.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,48,,,0,,False,7,train,2
1869,0.0,556.05827,556.30848,null,gabors,45.0,-40.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,193,,,0,,False,11,test,1
1870,0.0,556.30848,556.55869,null,gabors,90.0,-20.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,194,,,0,,False,6,train,2
1871,0.0,556.55869,556.80891,null,gabors,0.0,-10.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,115,,,0,,False,7,train,0
1872,0.0,556.80891,557.05912,null,gabors,90.0,-10.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,191,,,0,,False,10,train,2
1873,0.0,557.05912,557.30932,null,gabors,0.0,0.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,86,,,0,,False,6,train,0
1874,0.0,557.30932,557.55952,null,gabors,45.0,30.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,140,,,0,,False,7,train,1
1875,0.0,557.55952,557.80973,null,gabors,90.0,-40.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,94,,,0,,False,6,train,2
1876,0.0,557.80973,558.05993,null,gabors,0.0,-30.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,80,,,0,,False,8,test,0
1877,0.0,558.05993,558.31014,null,gabors,0.0,30.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,1,,,0,,False,8,test,0
1878,0.0,558.31014,558.56036,null,gabors,0.0,30.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,42,,,0,,False,6,train,0
