stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,spatial_frequency,x_position,y_position,frame,phase,temporal_frequency,stimulus_name,size,color,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.496188,84.729704,45.0,0.08,40.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.23351596,1,,,0,,False,0,train,1
2,0.0,84.729704,84.9799,45.0,0.08,-30.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019567,2,,,0,,False,0,train,1
3,0.0,84.9799,85.230095,90.0,0.08,10.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019567,3,,,0,,False,0,train,2
4,0.0,85.230095,85.480291,90.0,0.08,30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019567,4,,,0,,False,0,train,2
5,0.0,85.480291,85.730518,0.0,0.08,30.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022676,5,,,0,,False,0,train,0
6,0.0,85.730518,85.980744,0.0,0.08,0.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022676,6,,,0,,False,0,train,0
7,0.0,85.980744,86.230971,45.0,0.08,0.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022676,7,,,0,,False,0,train,1
8,0.0,86.230971,86.481198,90.0,0.08,30.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25022676,8,,,0,,False,0,train,2
9,0.0,86.481198,86.731391,0.0,0.08,10.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019324,9,,,0,,False,0,train,0
10,0.0,86.731391,86.981584,90.0,0.08,0.0,30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019324,10,,,0,,False,0,train,2
11,0.0,86.981584,87.231778,45.0,0.08,10.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019324,11,,,0,,False,0,train,1
12,0.0,87.231778,87.481971,0.0,0.08,0.0,-40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25019324,12,,,0,,False,0,train,0
13,0.0,87.481971,87.73218,0.0,0.08,-40.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,13,,,0,,False,0,train,0
14,0.0,87.73218,87.982389,0.0,0.08,-40.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,14,,,0,,False,0,train,0
15,0.0,87.982389,88.232599,0.0,0.08,-20.0,0.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,15,,,0,,False,0,train,0
16,0.0,88.232599,88.482808,45.0,0.08,-40.0,10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020926,16,,,0,,False,0,train,1
17,0.0,88.482808,88.733016,90.0,0.08,-10.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,17,,,0,,False,0,train,2
18,0.0,88.733016,88.983224,45.0,0.08,0.0,20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,18,,,0,,False,0,train,1
19,0.0,88.983224,89.233433,90.0,0.08,10.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,19,,,0,,False,0,train,2
20,0.0,89.233433,89.483641,0.0,0.08,-40.0,-10.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25020824,20,,,0,,False,0,train,0
21,0.0,89.483641,89.733855,90.0,0.08,30.0,-20.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,21,,,0,,False,0,train,2
22,0.0,89.733855,89.984069,0.0,0.08,20.0,-30.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,22,,,0,,False,0,train,0
23,0.0,89.984069,90.234284,0.0,0.08,30.0,40.0,null,"[3644.93333333, 3644.93333333]",4.0,gabors,"[20.0, 20.0]",null,0.8,0.25021426,23,,,0,,False,0,train,0
