session_id,offset_scale,visual_offset_azimuth_deg,visual_offset_elevation_deg,visual_offset_magnitude_deg,median_landmark_vector_error_deg,mean_area_distance_px,anatomy_parameter_0,anatomy_parameter_1,anatomy_parameter_2,anatomy_parameter_3,anatomy_parameter_4,anatomy_parameter_5
715093703,0.25,-0.23085470024211663,1.6189138680790576,1.635290801320234,8.835246441546536,0.43620194454095634,166.0602984319322,151.5497947793565,1.3475071726510277,133.35610433529095,120.60629562699349,-0.12058254948461467
755434585,0.25,3.90276265295714,0.6495902227895669,3.9564534349415577,13.497792780393452,0.26482732071466386,154.3055779203402,191.04574551101564,1.2696164302208381,135.2096365649517,148.70617975880572,-0.25956462018917087
756029989,0.25,-0.07267824179685967,3.9712736157611284,3.9719386020016914,12.094291906353028,9.50141764449151e-07,161.69425993889948,184.09387405330799,1.499490098824997,114.89772194150083,115.16769285358961,0.06935628514657076
757216464,0.25,1.1233315489131073,3.810750985380756,3.972870101244681,28.6176868612633,0.04854215953440644,156.89440893440903,170.24336198680257,1.4646224067350335,160.50809469517378,107.56269090207132,0.05201452590116937
768515987,0.25,2.0081828635766943,-0.24565812499999984,2.0231525715925645,9.235376923348136,0.18929855165900475,153.00232414883115,157.42293435637362,1.4698860100893296,149.84901990323218,105.37232786930689,-0.02440594821210326
774875821,0.25,2.569958044550349,2.280783154652807,3.4360815108633647,8.97051490965111,0.08769609314786497,154.7852150817568,174.03273052321074,1.3891493228115268,165.027716896966,119.27945936886817,-0.2341854908110507
778240327,0.25,-0.9129457096178584,1.446099632290096,1.7101678324711893,9.22110459011168,0.3748822336462083,159.5287624404797,171.40812410049801,1.5498288184269164,144.99500209496367,106.35208838268517,-0.02988349911352168
781842082,0.25,0.5798825000000001,0.4325286353915887,0.7234256936548217,3.913473829263498,0.029324794266137467,160.14956143406772,166.8932091975887,1.6281506178757603,80.41849224108391,104.0829176995944,0.13770914717345148
786091066,0.25,2.522003147647075,1.07883715352856,2.74306206283696,9.501308070698984,0.5531364961767394,143.11913332003948,161.05030893372697,1.326879447634753,104.3252158742877,128.9523301449846,-0.32238510891503086
794812542,0.25,0.06079783146787321,0.48717716735528316,0.490956177986909,11.740656979767964,0.23779172370536802,160.72409503717986,158.41312874765953,1.3589894451811164,165.2972166839285,106.73897401396185,-0.0937285052851636
798911424,0.25,2.4518902547307286,3.198428306784265,4.030100427394133,19.97722325751301,0.9102118448575363,179.3483615851635,153.7485258516814,1.6219838715613883,150.70847282572134,94.91079214798874,0.2479815233165169
829720705,0.25,2.3853146819246724,-1.6547890209023213,2.903110889288293,10.065499345975498,0.20668699700299126,153.1722564802193,204.82747673939545,1.6375295397041312,156.61039987856367,107.31817329476858,0.2870530151026185
831882777,0.25,1.4063816203262238,4.3253007388436115,4.5482013745471415,17.016552010622917,0.17668400326554154,200.90032297496367,184.41653428196955,1.417925756902534,141.9046057922664,114.357947686884,-0.25701271352428295
847657808,0.25,0.5278073750000001,4.171250505311973,4.204510839939621,27.76034443225553,0.40983280444348225,152.32112815350519,181.3694333326124,1.4316974941916651,140.65200214028437,119.46347671370248,-0.28147773883465954
