offset_scale,median_error_deg,mean_error_deg,outer_session_id,selected
0.25,14.370939534574049,19.38071321199541,715093703,True
0.5,14.973539217034162,19.894179377535224,715093703,False
0.0,15.31953005177158,19.76243134742026,715093703,False
0.75,16.663689546164978,19.40967044152559,715093703,False
1.0,18.52324725656051,20.250511170400717,715093703,False
0.5,13.93325275016854,19.184419095807353,755434585,True
0.25,14.300951473932642,18.92155167520457,755434585,False
0.0,15.3087665968221,19.268008439648508,755434585,False
0.75,15.88183183303202,18.900533588200986,755434585,False
1.0,18.336551947664496,19.996057392528673,755434585,False
0.25,14.230963413291233,19.05590294802255,756029989,True
0.5,14.973539217034162,19.488351980009583,756029989,False
0.0,15.298003141872618,19.367578586728076,756029989,False
0.75,16.641692398965557,19.037276014642522,756029989,False
1.0,18.98205635740117,19.87820741162782,756029989,False
0.5,13.768830336364113,18.681961390457204,757216464,True
0.25,14.230963413291233,18.607778199838254,757216464,False
0.0,15.298003141872618,18.86466066123917,757216464,False
0.75,16.641692398965557,19.07123522451134,757216464,False
1.0,18.52324725656051,20.09495798152454,757216464,False
0.25,14.64305827475053,19.599915963742994,768515987,True
0.0,15.31953005177158,19.87584906336171,768515987,False
0.5,15.40662858055067,19.7704946961588,768515987,False
0.75,16.995189983507252,19.771900217975954,768515987,False
1.0,19.000344375598726,21.0071802324563,768515987,False
0.25,14.64305827475053,19.397202876806084,774875821,True
0.0,15.350541124431398,19.63993123371369,774875821,False
0.5,15.40662858055067,19.997033643476215,774875821,False
0.75,16.995189983507252,19.84863017430049,774875821,False
1.0,19.000344375598726,20.91176882958589,774875821,False
0.25,14.230963413291233,19.052297527307505,778240327,True
0.5,14.973539217034162,19.67856695307913,778240327,False
0.0,15.31953005177158,19.558979530085683,778240327,False
0.75,16.663689546164978,18.996322392827388,778240327,False
1.0,18.98205635740117,20.35503452031116,778240327,False
0.5,14.097675163972967,19.677905130791004,781842082,True
0.25,14.370939534574049,19.44438733768968,781842082,False
0.0,15.350541124431398,19.8741974544992,781842082,False
0.75,16.663689546164978,19.256552616326886,781842082,False
1.0,18.98205635740117,20.320870673832847,781842082,False
0.5,14.097675163972967,19.385260402098602,786091066,True
0.25,14.230963413291233,18.957228763019934,786091066,False
0.75,15.121971267098486,18.7971975651255,786091066,False
0.0,15.298003141872618,19.33141262794765,786091066,False
1.0,16.319644690512465,19.612851100160654,786091066,False
0.5,14.097675163972967,19.438685533435716,794812542,True
0.25,14.370939534574049,19.269224189639058,794812542,False
0.0,15.31953005177158,19.556230758859126,794812542,False
0.75,16.663689546164978,18.919014783340593,794812542,False
1.0,18.98205635740117,20.00355038059223,794812542,False
0.25,14.040930436520881,18.549576721804787,798911424,True
0.5,14.535607190503566,19.430059540795355,798911424,False
0.0,15.228828169589748,18.490999797035713,798911424,False
0.75,16.818441191236403,19.069046552684455,798911424,False
1.0,18.75265180698084,20.0414530686902,798911424,False
0.5,14.097675163972967,19.27934514550079,829720705,True
0.25,14.370939534574049,19.009164966671076,829720705,False
0.0,15.298003141872618,18.856569137153524,829720705,False
0.75,16.641692398965557,18.804884659441836,829720705,False
1.0,18.149856638768483,20.058326039252538,829720705,False
0.25,14.230963413291233,18.983701452863386,831882777,True
0.5,14.973539217034162,19.51027982111651,831882777,False
0.0,15.298003141872618,19.2383258180195,831882777,False
0.75,16.641692398965557,18.8905008672486,831882777,False
1.0,18.52324725656051,20.04825503968737,831882777,False
0.5,14.097675163972967,18.810517544779273,847657808,True
0.25,14.230963413291233,18.51709035296046,847657808,False
0.0,15.298003141872618,18.755806217350386,847657808,False
0.75,16.641692398965557,18.696233244511568,847657808,False
1.0,18.98205635740117,19.82368653438613,847657808,False
