stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,temporal_frequency,phase,frame,y_position,contrast,size,orientation,color,x_position,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
37,0.0,93.743936,93.994153,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021692,14,,,0,,False,3,train,2
38,0.0,93.994153,94.24437,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25021692,31,,,0,,False,0,train,2
39,0.0,94.24437,94.494587,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25021692,32,,,0,,False,0,train,2
40,0.0,94.494587,94.744804,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021692,33,,,0,,False,0,train,0
41,0.0,94.744804,94.995002,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25019808,8,,,0,,False,1,train,1
42,0.0,94.995002,95.2452,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25019808,34,,,0,,False,0,train,2
43,0.0,95.2452,95.495398,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25019808,35,,,0,,False,0,train,0
44,0.0,95.495398,95.745596,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25019808,36,,,0,,False,0,train,0
45,0.0,95.745596,95.995813,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021692,21,,,0,,False,1,train,1
46,0.0,95.995813,96.24603,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021692,37,,,0,,False,0,train,2
47,0.0,96.24603,96.496247,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021692,38,,,0,,False,0,train,0
48,0.0,96.496247,96.746464,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021692,10,,,0,,False,1,train,1
49,0.0,96.746464,96.996665,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25020058,39,,,0,,False,0,train,1
50,0.0,96.996665,97.246865,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020058,40,,,0,,False,0,train,2
51,0.0,97.246865,97.497066,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020058,41,,,0,,False,0,train,2
52,0.0,97.497066,97.747266,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020058,42,,,0,,False,0,train,0
53,0.0,97.747266,97.997481,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021442,43,,,0,,False,0,train,2
54,0.0,97.997481,98.247695,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,-10.0,gabors,0.25021442,44,,,0,,False,0,train,0
55,0.0,98.247695,98.49791,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25021442,45,,,0,,False,0,train,0
56,0.0,98.49791,98.748124,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25021442,46,,,0,,False,0,train,1
57,0.0,98.748124,98.998327,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-10.0,gabors,0.25020308,47,,,0,,False,0,train,1
58,0.0,98.998327,99.24853,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,-10.0,gabors,0.25020308,48,,,0,,False,0,train,1
59,0.0,99.24853,99.498733,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020308,49,,,0,,False,0,train,1
60,0.0,99.498733,99.748936,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25020308,50,,,0,,False,0,train,0
61,0.0,99.748936,99.999148,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25021192,51,,,0,,False,0,train,2
62,0.0,99.999148,100.24936,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021192,52,,,0,,False,0,train,1
63,0.0,100.24936,100.49957,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021192,53,,,0,,False,0,train,2
64,0.0,100.49957,100.74978,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25021192,45,,,0,,False,1,train,0
65,0.0,100.74978,100.99999,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25021058,54,,,0,,False,0,train,2
66,0.0,100.99999,101.25021,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021058,55,,,0,,False,0,train,2
67,0.0,101.25021,101.50042,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25021058,56,,,0,,False,0,train,0
68,0.0,101.50042,101.75063,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25021058,57,,,0,,False,0,train,2
69,0.0,101.75063,102.00084,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25020942,58,,,0,,False,0,train,1
70,0.0,102.00084,102.25105,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25020942,59,,,0,,False,0,train,1
71,0.0,102.25105,102.50125,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020942,60,,,0,,False,0,train,0
72,0.0,102.50125,102.75146,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020942,19,,,0,,False,1,train,1
73,0.0,102.75146,103.00167,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",0.0,null,-40.0,gabors,0.25020558,61,,,0,,False,0,train,0
74,0.0,103.00167,103.25188,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020558,10,,,0,,False,2,test,1
75,0.0,103.25188,103.50208,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25020558,62,,,0,,False,0,train,2
76,0.0,103.50208,103.75229,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,-30.0,gabors,0.25020558,63,,,0,,False,0,train,0
77,0.0,103.75229,104.0025,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25021692,64,,,0,,False,0,train,0
78,0.0,104.0025,104.25272,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25021692,65,,,0,,False,0,train,2
79,0.0,104.25272,104.50294,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25021692,66,,,0,,False,0,train,2
80,0.0,104.50294,104.75315,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25021692,65,,,0,,False,1,train,2
81,0.0,104.75315,105.00335,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,20.0,gabors,0.25019808,67,,,0,,False,0,train,1
82,0.0,105.00335,105.25355,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25019808,57,,,0,,False,1,train,2
83,0.0,105.25355,105.50375,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25019808,68,,,0,,False,0,train,2
84,0.0,105.50375,105.75395,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25019808,69,,,0,,False,0,train,1
85,0.0,105.75395,106.00416,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021192,18,,,0,,False,3,train,2
86,0.0,106.00416,106.25437,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,0.0,gabors,0.25021192,37,,,0,,False,1,train,2
87,0.0,106.25437,106.50458,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25021192,28,,,0,,False,1,train,1
88,0.0,106.50458,106.75479,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25021192,40,,,0,,False,1,train,2
89,0.0,106.75479,107.005,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020558,70,,,0,,False,0,train,0
90,0.0,107.005,107.25521,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020558,49,,,0,,False,1,train,1
91,0.0,107.25521,107.50541,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25020558,71,,,0,,False,0,train,0
92,0.0,107.50541,107.75562,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25020558,72,,,0,,False,0,train,1
93,0.0,107.75562,108.00583,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25021442,73,,,0,,False,0,train,1
94,0.0,108.00583,108.25605,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25021442,74,,,0,,False,0,train,1
95,0.0,108.25605,108.50626,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021442,75,,,0,,False,0,train,2
96,0.0,108.50626,108.75647,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,20.0,gabors,0.25021442,76,,,0,,False,0,train,1
97,0.0,108.75647,109.00668,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020308,77,,,0,,False,0,train,0
98,0.0,109.00668,109.25688,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25020308,78,,,0,,False,0,train,2
99,0.0,109.25688,109.50708,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25020308,79,,,0,,False,0,train,2
100,0.0,109.50708,109.75729,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",0.0,null,-30.0,gabors,0.25020308,80,,,0,,False,0,train,0
101,0.0,109.75729,110.00751,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-10.0,gabors,0.25021942,47,,,0,,False,1,train,1
102,0.0,110.00751,110.25773,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25021942,81,,,0,,False,0,train,0
103,0.0,110.25773,110.50794,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021942,82,,,0,,False,0,train,2
104,0.0,110.50794,110.75816,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021942,21,,,0,,False,2,test,1
105,0.0,110.75816,111.00836,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020058,65,,,0,,False,2,test,2
106,0.0,111.00836,111.25857,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020058,40,,,0,,False,2,test,2
107,0.0,111.25857,111.50877,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25020058,83,,,0,,False,0,train,1
108,0.0,111.50877,111.75897,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",45.0,null,20.0,gabors,0.25020058,84,,,0,,False,0,train,1
109,0.0,111.75897,112.00918,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,-20.0,gabors,0.25020942,85,,,0,,False,0,train,0
110,0.0,112.00918,112.25939,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020942,49,,,0,,False,2,test,1
111,0.0,112.25939,112.50959,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25020942,28,,,0,,False,2,test,1
112,0.0,112.50959,112.7598,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020942,86,,,0,,False,0,train,1
113,0.0,112.7598,113.01001,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25020808,87,,,0,,False,0,train,2
114,0.0,113.01001,113.26022,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020808,56,,,0,,False,1,train,0
115,0.0,113.26022,113.51043,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020808,88,,,0,,False,0,train,1
116,0.0,113.51043,113.76064,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25020808,89,,,0,,False,0,train,2
117,0.0,113.76064,114.01085,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25021192,90,,,0,,False,0,train,0
118,0.0,114.01085,114.26106,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,-40.0,gabors,0.25021192,91,,,0,,False,0,train,0
119,0.0,114.26106,114.51127,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25021192,92,,,0,,False,0,train,0
120,0.0,114.51127,114.76148,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25021192,77,,,0,,False,1,train,0
121,0.0,114.76148,115.01169,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,-30.0,gabors,0.25020308,93,,,0,,False,0,train,0
122,0.0,115.01169,115.26189,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,40.0,gabors,0.25020308,94,,,0,,False,0,train,2
123,0.0,115.26189,115.51209,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020308,95,,,0,,False,0,train,1
124,0.0,115.51209,115.7623,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020308,36,,,0,,False,1,train,0
125,0.0,115.7623,116.01251,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021692,86,,,0,,False,1,train,1
126,0.0,116.01251,116.26273,0.08,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25021692,64,,,0,,False,1,train,0
127,0.0,116.26273,116.51295,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25021692,96,,,0,,False,0,train,2
128,0.0,116.51295,116.76316,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25021692,97,,,0,,False,0,train,2
129,0.0,116.76316,117.01337,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25020308,49,,,0,,False,3,train,1
130,0.0,117.01337,117.26357,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25020308,98,,,0,,False,0,train,1
131,0.0,117.26357,117.51377,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020308,99,,,0,,False,0,train,2
132,0.0,117.51377,117.76398,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25020308,6,,,0,,False,1,train,2
133,0.0,117.76398,118.01419,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25021692,100,,,0,,False,0,train,2
134,0.0,118.01419,118.26441,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25021692,101,,,0,,False,0,train,0
135,0.0,118.26441,118.51463,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25021692,30,,,0,,False,1,train,2
136,0.0,118.51463,118.76484,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,-30.0,gabors,0.25021692,66,,,0,,False,1,train,2
