stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,temporal_frequency,phase,frame,y_position,contrast,size,orientation,color,x_position,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.753134,84.986652,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.23351818,1,,,0,,False,0,train,1
2,0.0,84.986652,85.23685,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25019805,2,,,0,,False,0,train,0
3,0.0,85.23685,85.487048,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25019805,3,,,0,,False,0,train,2
4,0.0,85.487048,85.737246,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25019805,4,,,0,,False,0,train,0
5,0.0,85.737246,85.987463,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25021692,5,,,0,,False,0,train,1
6,0.0,85.987463,86.23768,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,20.0,gabors,0.25021692,6,,,0,,False,0,train,2
7,0.0,86.23768,86.487897,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,-10.0,gabors,0.25021692,7,,,0,,False,0,train,0
8,0.0,86.487897,86.738114,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25021692,8,,,0,,False,0,train,1
9,0.0,86.738114,86.988315,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25020058,9,,,0,,False,0,train,0
10,0.0,86.988315,87.238515,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25020058,5,,,0,,False,1,train,1
11,0.0,87.238515,87.488716,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25020058,10,,,0,,False,0,train,1
12,0.0,87.488716,87.738916,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25020058,11,,,0,,False,0,train,0
13,0.0,87.738916,87.989133,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25021692,12,,,0,,False,0,train,2
14,0.0,87.989133,88.23935,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,10.0,gabors,0.25021692,13,,,0,,False,0,train,1
15,0.0,88.23935,88.489567,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25021692,14,,,0,,False,0,train,2
16,0.0,88.489567,88.739784,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,-20.0,gabors,0.25021692,15,,,0,,False,0,train,1
17,0.0,88.739784,88.989985,0.08,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25020058,16,,,0,,False,0,train,1
18,0.0,88.989985,89.240185,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25020058,14,,,0,,False,1,train,2
19,0.0,89.240185,89.490386,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,30.0,gabors,0.25020058,17,,,0,,False,0,train,0
20,0.0,89.490386,89.740586,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25020058,18,,,0,,False,0,train,2
21,0.0,89.740586,89.990801,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,-30.0,gabors,0.25021442,19,,,0,,False,0,train,1
22,0.0,89.990801,90.241015,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",90.0,null,-10.0,gabors,0.25021442,20,,,0,,False,0,train,2
23,0.0,90.241015,90.49123,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",45.0,null,-40.0,gabors,0.25021442,21,,,0,,False,0,train,1
24,0.0,90.49123,90.741444,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.8,"[20.0, 20.0]",0.0,null,0.0,gabors,0.25021442,22,,,0,,False,0,train,0
25,0.0,90.741444,90.991647,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020308,23,,,0,,False,0,train,2
26,0.0,90.991647,91.24185,0.08,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.8,"[20.0, 20.0]",90.0,null,30.0,gabors,0.25020308,24,,,0,,False,0,train,2
27,0.0,91.24185,91.492053,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,-40.0,gabors,0.25020308,14,,,0,,False,2,test,2
28,0.0,91.492053,91.742256,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",0.0,null,10.0,gabors,0.25020308,25,,,0,,False,0,train,0
29,0.0,91.742256,91.992471,0.08,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.8,"[20.0, 20.0]",45.0,null,30.0,gabors,0.25021442,26,,,0,,False,0,train,1
30,0.0,91.992471,92.242685,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021442,18,,,0,,False,1,train,2
31,0.0,92.242685,92.4929,0.08,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25021442,27,,,0,,False,0,train,1
32,0.0,92.4929,92.743114,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",90.0,null,10.0,gabors,0.25021442,18,,,0,,False,2,test,2
33,0.0,92.743114,92.99332,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",45.0,null,40.0,gabors,0.25020558,28,,,0,,False,0,train,1
34,0.0,92.99332,93.243525,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.8,"[20.0, 20.0]",0.0,null,20.0,gabors,0.25020558,29,,,0,,False,0,train,0
35,0.0,93.243525,93.493731,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.8,"[20.0, 20.0]",0.0,null,40.0,gabors,0.25020558,2,,,0,,False,1,train,0
36,0.0,93.493731,93.743936,0.08,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.8,"[20.0, 20.0]",90.0,null,-20.0,gabors,0.25020558,30,,,0,,False,0,train,2
