unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
1000000,10.76,,V1_site2_A
1000001,-11.04,,V1_site2_A
1000002,-9.71,,V1_site2_A
1000003,15.66,,V1_site2_A
1000004,20.99,,V1_site2_A
1000005,26.43,,V1_site2_A
1000006,1.73,,V1_site2_A
1000007,17.93,,V1_site2_A
1000008,21.93,,V1_site2_A
1000009,-5.3,,V1_site2_A
1000010,10.08,,V1_site2_A
1000011,7.91,,V1_site2_A
1000012,33.55,,V1_site2_A
1000013,45.63,,V1_site2_A
1000014,37.02,,V1_site2_A
1000015,38.53,,V1_site2_A
1000016,37.68,,V1_site2_A
1000017,37.09,,V1_site2_A
1000018,49.97,,V1_site2_A
1000019,46.33,,V1_site2_A
1000020,50.25,,V1_site2_A
1000021,37.71,,V1_site2_A
1000022,61.21,,V1_site2_A
1000023,33.25,,V1_site2_A
1000024,71.9,,V1_site2_A
1000025,54.84,,V1_site2_A
1000026,65.03,,V1_site2_A
1000027,79.37,,V1_site2_A
1000028,50.97,,V1_site2_A
1000029,85.7,,V1_site2_A
1000030,53.51,,V1_site2_A
1000031,76.64,,V1_site2_A
1000032,96.95,,V1_site2_A
1000033,117.77,,V1_site2_A
1000034,98.27,,V1_site2_A
1000035,83.51,,V1_site2_A
1000036,115.04,,V1_site2_A
1000037,102.11,,V1_site2_A
1000038,98.7,,V1_site2_A
1000039,107.7,,V1_site2_A
1000040,83.7,,V1_site2_A
1000041,93.69,,V1_site2_A
1000042,99.53,,V1_site2_A
1000043,115.8,,V1_site2_A
1000044,109.84,,V1_site2_A
1000045,140.18,,V1_site2_A
1000046,148.46,,V1_site2_A
1000047,129.25,,V1_site2_A
1000048,157.28,,V1_site2_A
1000049,143.68,,V1_site2_A
1000050,151.82,,V1_site2_A
1000051,151.27,,V1_site2_A
1000052,154.16,,V1_site2_A
1000053,105.91,,V1_site2_A
1000054,133.16,,V1_site2_A
1000055,152.67,,V1_site2_A
1000056,143.86,,V1_site2_A
1000057,153.79,,V1_site2_A
1000058,135.57,,V1_site2_A
1000059,131.98,,V1_site2_A
1000060,151.29,,V1_site2_A
1000061,186.59,,V1_site2_A
1000062,185.13,,V1_site2_A
1000063,188.77,,V1_site2_A
1000064,183.11,,V1_site2_A
1000065,199.55,,V1_site2_A
1000066,177.84,,V1_site2_A
1000067,176.3,,V1_site2_A
1000068,169.01,,V1_site2_A
1000069,190.29,,V1_site2_A
1000070,219.67,,V1_site2_A
1000071,176.47,,V1_site2_A
1000072,187.12,,V1_site2_A
1000073,150.34,,V1_site2_A
1000074,201.91,,V1_site2_A
1000075,196.32,,V1_site2_A
1000076,194.02,,V1_site2_A
1000077,220.86,,V1_site2_A
1000078,200.17,,V1_site2_A
1000079,677.97,,V1_site2_A
1000080,218.99,,V1_site2_A
1000081,193.04,,V1_site2_A
1000082,182.07,,V1_site2_A
1000083,218.56,,V1_site2_A
1000084,195.51,,V1_site2_A
1000085,211.7,,V1_site2_A
1000086,199.03,,V1_site2_A
1000087,218.55,,V1_site2_A
1000088,218.67,,V1_site2_A
1000089,231.28,,V1_site2_A
1000090,213.81,,V1_site2_A
1000091,228.28,,V1_site2_A
1000092,252.06,,V1_site2_A
1000093,225.96,,V1_site2_A
1000094,253.4,,V1_site2_A
1000095,267.16,,V1_site2_A
1000096,241.35,,V1_site2_A
1000097,266.59,,V1_site2_A
1000098,251.27,,V1_site2_A
1000099,255.71,,V1_site2_A
1000100,264.85,,V1_site2_A
1000101,265.27,,V1_site2_A
1000102,234.53,,V1_site2_A
1000103,311.23,,V1_site2_A
1000104,220.17,,V1_site2_A
1000105,297.23,,V1_site2_A
1000106,270.65,,V1_site2_A
1000107,303.87,,V1_site2_A
1000108,291.69,,V1_site2_A
1000109,300.78,,V1_site2_A
1000110,346.63,,V1_site2_A
1000111,350.37,,V1_site2_A
1000112,359.52,,V1_site2_A
1000113,338.3,,V1_site2_A
1000114,315.72,,V1_site2_A
1000115,328.57,,V1_site2_A
1000116,313.57,,V1_site2_A
1000117,356.94,,V1_site2_A
1000118,328.48,,V1_site2_A
1000119,379.04,,V1_site2_A
1000120,373.97,,V1_site2_A
1000121,429.69,,V1_site2_A
