unit_id,modulation_index
1000000,1.5545201487408196
1000001,0.8906188931269456
1000002,1.4273526639635716
1000003,0.7118028366765736
1000004,1.5020756493761849
1000005,1.6380259383153843
1000006,1.3747590292112528
1000007,1.5824611027806554
1000008,0.6082190523857454
1000009,0.592398816162848
1000010,1.1467940151568818
1000011,1.4907117800582406
1000012,0.8816679490806434
1000013,
1000014,1.5450919119764175
1000015,0.8531794576364659
1000016,0.6950891753493257
1000017,0.6636710839054981
1000018,
1000019,
1000020,1.598788627242608
1000021,1.4869928685415517
1000022,1.4643374654801362
1000023,
1000024,1.5541590907090603
1000025,1.5279188996221569
1000026,1.6531902058048962
1000027,1.3073245196271732
1000028,1.2483943652182423
1000029,1.2277024071621196
1000030,0.8909632680575653
1000031,0.8433404771064454
1000032,1.4809200894248133
1000033,0.6368053572857046
1000034,
1000035,
1000036,1.6524066403459998
1000037,
1000038,0.7920492694984146
1000039,1.4800607907223442
1000040,0.7855890171687296
1000041,0.9527139366413446
1000042,0.8933823472792275
1000043,0.41541573651684244
1000044,0.7942304931909967
1000045,
1000046,
1000047,1.6270420127065055
1000048,1.7167256646955682
1000049,1.592520411125032
1000050,1.6217169440553953
1000051,1.3888579575420315
1000052,1.2913948437544138
1000053,1.5550450004121454
1000054,1.3673628084077292
1000055,0.9922751404874318
1000056,0.9357001350484236
1000057,1.167946489286502
1000058,1.1415854902220388
1000059,0.682348160116288
1000060,1.1090349234227883
1000061,1.5704849129128937
1000062,0.5431887088738594
1000063,1.650657618504137
1000064,1.470120438018858
1000065,
1000066,1.5808775296092172
1000067,
1000068,1.5270532342997039
1000069,1.3161006475606696
1000070,
1000071,0.7240420076798684
1000072,1.4546683578861612
1000073,0.7333767482787351
1000074,0.6501055109171058
1000075,
1000076,0.8345835273726302
1000077,1.081842237907377
1000078,0.7455578928958972
1000079,1.5015703967937004
1000080,
1000081,1.5651828031949508
1000082,
1000083,
1000084,
1000085,1.2290651587071038
1000086,1.2029218963992971
1000087,1.2524173221611012
1000088,1.4429367590280953
1000089,0.5706274292023417
1000090,0.7582224532767661
1000091,1.276789020643451
1000092,
1000093,
1000094,
1000095,
1000096,1.4839635796172914
1000097,1.4267208743698592
1000098,1.3017658986970149
1000099,0.5270179670032518
1000100,1.0192235363953324
1000101,1.0075369811235757
1000102,0.45936273854286014
1000103,1.1376636710219947
1000104,1.3430894444509416
1000105,
1000106,
1000107,1.6616317864613952
1000108,0.8186263907608463
1000109,0.6244079159567488
1000110,1.2900097000379875
1000111,1.5706319224942205
1000112,1.6163629240150437
1000113,1.5465160981056285
1000114,0.7474593588456537
1000115,0.9423859611307401
1000116,0.48852381816218554
1000117,0.7646567347013787
1000118,0.9646867427593173
1000119,1.4535048892910982
1000120,1.3215859953286146
1000121,
1000122,1.088797410017437
1000123,
1000124,1.3067058407420764
1000125,
1000126,
1000127,
1000128,0.8545269340797294
1000129,1.067021318575719
1000130,1.0413754686780372
1000131,0.9865227322074678
1000132,1.1286172419318203
1000133,1.0078234541918876
1000134,1.5867721110414519
1000135,
1000136,
1000137,
1000138,1.6081830140801987
1000139,0.7760590882451165
1000140,1.1619781680566064
1000141,1.3650809260314418
1000142,1.5222065512742096
1000143,0.3733767184980809
1000144,0.739753324046821
1000145,0.6361661720650766
1000146,0.5928714733110806
1000147,1.6381454337206842
1000148,1.2738762755971915
1000149,1.4600159649002895
1000150,1.271933346313184
1000151,
1000152,1.7402694507413379
1000153,1.455080546762686
1000154,1.0997868240786302
1000155,0.8833764253597763
1000156,0.7015720836844452
1000157,0.8529964118492752
1000158,0.7665464515031764
1000159,0.31681395236741133
1000160,1.2163560527878226
1000161,
1000162,1.5827804535451413
1000163,1.544380025293617
1000164,1.6518655735278522
1000165,1.4535712098894356
1000166,1.6299711786745528
1000167,1.1285034126654887
1000168,1.345156214914951
1000169,1.0561821295477969
1000170,0.4935480479942644
1000171,1.4464979210028674
1000172,
1000173,
1000174,0.6455973632765276
1000175,
1000176,
1000177,1.4466035905512724
1000178,1.487935694622661
1000179,1.1267116025721073
1000180,1.557080384515585
1000181,1.041821521340847
1000182,0.3141152778428237
1000183,
1000184,
1000185,1.0827538676225297
1000186,1.4991981442393265
1000187,
1000188,
1000189,1.488404700277602
1000190,
1000191,
1000192,1.3915934717598795
1000193,
1000194,1.205504106781014
1000195,
1000196,
1000197,
1000198,1.6436953707350324
1000199,0.8433236052996091
1000200,0.45538838352054234
1000201,0.5580219651699374
1000202,1.537152131672472
1000203,0.7412947492885696
1000204,0.3790771923240649
1000205,1.2245142905374937
1000206,1.5655297913094586
1000207,1.5591698824860623
1000208,1.557094984850975
1000209,1.533308660612813
1000210,0.7299667893589807
1000211,0.994268030531705
1000212,0.5574188435055887
1000213,1.234411588249976
1000214,1.220110215087679
1000215,
1000216,1.5655708117816474
1000217,0.9751136817088928
1000218,0.7504737700094992
1000219,0.6184590437858799
1000220,1.491001439756248
1000221,1.4850098035153227
1000222,1.095805300206861
1000223,0.5704342693312731
1000224,
1000225,
1000226,1.3314093090909924
1000227,1.454517074324281
1000228,1.655437487371104
1000229,1.2540907428067942
1000230,0.5663919327434869
1000231,0.560257399089354
1000232,0.5250714884972403
1000233,0.46537514922295964
1000234,1.5666533642125664
1000235,1.3642492774955859
1000236,
1000237,
1000238,
1000239,
1000240,0.6632856444248809
1000241,1.3103447035409876
1000242,0.46706633962230687
1000243,
1000244,
1000245,1.4670297948843962
1000246,
1000247,0.9045439951517891
1000248,1.5083567375957094
1000249,0.8250970043013786
1000250,0.8805099914981124
1000251,0.8782966500665101
1000252,1.1894244764356954
1000253,1.2888154716076778
1000254,0.7807035780842044
1000255,1.037846820352489
1000256,0.6139039840068291
1000257,1.7054189585563755
1000258,1.0429783509908406
1000259,0.896084509078217
1000260,0.8737549731386443
1000261,0.6981362598831948
1000262,0.6113603717532545
1000263,0.9207903812360174
1000264,0.8068608742802973
1000265,0.8337584854872314
1000266,0.8434836397311898
1000267,0.8361626876531333
1000268,0.8729428334774259
1000269,0.8766306759122211
1000270,1.0064873084076924
1000271,0.9450315313573473
1000272,1.0125687353320154
1000273,1.0422184546986035
1000274,0.9991524996862265
1000275,1.0126099086501859
1000276,0.9989993396421074
1000277,1.0051870221645094
1000278,1.114192890339401
1000279,1.1331221744474116
1000280,0.9062097433983941
1000281,0.8989621865222704
1000282,1.1226757070136701
1000283,1.1989784273567692
1000284,
1000285,0.8417837420064275
1000286,1.1634935797698909
1000287,0.684441054513566
1000288,
1000289,0.9408760660387461
1000290,1.0572062808931308
1000291,0.8589135285170637
1000292,0.7857159291520786
1000293,0.8870260573708802
1000294,0.9675263714029466
1000295,0.9684460333576945
1000296,
1000297,0.9162279187537186
1000298,1.6521963250295715
1000299,1.4502519670325424
1000300,0.6839670573852633
1000301,0.731566403576515
1000302,1.0587120848572757
1000303,1.3393580509786267
1000304,0.7392313543546327
1000305,1.36155714597206
1000306,1.384089259036833
1000307,
1000308,
1000309,
1000310,1.1312923508845976
1000311,0.9588293796448487
1000312,0.8896471524103597
1000313,1.172128456159721
1000314,0.7301873213845183
1000315,1.6420700446867413
1000316,
1000317,1.299332802327951
1000318,1.5084889784163302
1000319,0.7993674172456003
1000320,1.187075834798492
1000321,0.5173494723161564
1000322,
1000323,
1000324,0.9205408483458271
1000325,
1000326,1.2149215793911539
1000327,
1000328,1.186677151570521
1000329,1.226120156694357
1000330,1.1942128318069192
1000331,0.7958645269578836
1000332,0.8278812131393156
1000333,0.9422286010862027
1000334,1.7010432991215243
1000335,1.0437428102338786
1000336,
1000337,
1000338,
1000339,
1000340,
1000341,
1000342,0.315214948069932
1000343,1.0983593544666208
1000344,
1000345,1.2534479768515112
1000346,0.8357386351506132
1000347,1.4887230606420696
1000348,0.66062946880931
1000349,0.6953137226588377
1000350,0.8037158753990588
1000351,
1000352,
1000353,1.3861684227679474
1000354,
1000355,1.6411094634551218
1000356,1.2866198206166095
1000357,1.3538038031553508
1000358,1.7117704525669306
1000359,
1000360,1.7049466410721013
1000361,0.8516564881049469
1000362,1.1675517435696663
1000363,
1000364,0.8353249832222488
1000365,
1000366,1.6535473487919747
1000367,1.1218540772592376
1000368,0.5286742509543848
1000369,
1000370,
1000371,1.1269885687893666
1000372,
1000373,1.301052594287874
1000374,1.2700590731180614
1000375,
1000376,
1000377,0.5246053545552751
1000378,1.4473622874619008
1000379,1.1978147336661964
1000380,
1000381,1.4889892391350463
1000382,1.420678280287412
1000383,1.543648730850664
1000384,1.2400658339429838
1000385,1.1490443887437056
1000386,0.555092012856763
1000387,0.6861250936026239
1000388,1.094111956565418
1000389,0.6154723651324209
1000390,
1000391,0.6409996980598469
1000392,1.1959437170613847
1000393,1.274629512083082
1000394,0.6627923109215791
1000395,1.1994286178921063
1000396,0.805352735497944
1000397,1.0879464588277097
1000398,0.9438089879901489
1000399,0.5661094779262538
1000400,0.9450362073111815
1000401,1.2297589141750696
1000402,0.6193409604398498
1000403,0.8137625210463745
1000404,0.4427841616113752
1000405,
1000406,1.3988897650822218
1000407,1.669080006383994
1000408,0.9575085375533836
1000409,0.9390843042922576
1000410,
1000411,1.0528961165941442
1000412,
1000413,1.3369472620881893
1000414,1.239194774862334
1000415,1.0578725745825694
1000416,1.0562644493346462
1000417,0.47096857817003235
1000418,0.4762348988931613
1000419,0.6682387784857589
1000420,0.4241111812411853
1000421,0.5456759918476829
1000422,0.4688001245138516
1000423,0.7537630175476828
1000424,1.3607834020795349
1000425,0.8588201598482197
1000426,
1000427,1.4186437625601627
1000428,0.7815262242393588
1000429,1.1665331319466525
1000430,
1000431,1.207645608334845
1000432,0.6674477685340527
1000433,0.5842083394489053
1000434,1.4117034956937615
1000435,1.5378989207915996
1000436,0.5789997121498591
1000437,1.1415366321846057
1000438,1.0921851017348296
1000439,0.9304210112010183
1000440,1.454396777719272
1000441,
1000442,0.87788914521801
1000443,0.960466397810658
1000444,1.4875590629368614
1000445,0.6194478535826999
1000446,0.768586171721082
1000447,
1000448,0.5088285956134083
1000449,0.812782983952327
1000450,
1000451,0.970698272450305
1000452,1.3419335473920944
1000453,1.642647150809466
1000454,1.089755896094888
1000455,1.3465901791751755
1000456,0.9891118232777856
1000457,0.9964210094917626
1000458,0.6566075305021717
1000459,
1000460,1.1828864986665015
1000461,
1000462,0.8322304027364026
1000463,
1000464,1.311789343161639
1000465,1.3647674744990348
1000466,1.0298711229884467
1000467,1.177195339393055
1000468,1.4168210333333473
1000469,1.326880301075478
1000470,0.7931645872760622
1000471,1.3715811917485004
1000472,0.6864768842911586
1000473,0.8199913741625604
1000474,0.7254179152100797
1000475,
1000476,0.29951002476621363
1000477,1.0994478996227217
1000478,1.0075998720158241
1000479,0.8272603314808875
1000480,
1000481,1.373683620186641
1000482,0.6748658274499062
1000483,0.48499585782113214
1000484,1.2306419186641937
1000485,
1000486,0.9134761295100399
1000487,1.7653959103386485
1000488,0.5348652634857404
1000489,1.0129601440822744
1000490,1.531758028926861
1000491,1.2831257167761059
1000492,1.5265172799143238
1000493,0.7273724727207633
1000494,0.7445720725619468
1000495,0.5971253293842117
1000496,
1000497,1.328566365072993
1000498,
1000499,0.7799586195947512
1000500,1.3331536980858845
1000501,0.7626786914914103
1000502,1.7119639886476248
1000503,1.4001285573615296
