stimulus_presentation_id,stimulus_block,start_time,stop_time,Dir,phase,stimulus_name,color,size,contrast,y_position,x_position,frame,Speed,coherence,spatial_frequency,orientation,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,68.543554,68.777079,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,10.0,null,null,null,0.08,0.0,4.0,0.23352528,1,,,0,,False,0,train,0
2,0.0,68.777079,69.027285,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,-40.0,null,null,null,0.08,45.0,4.0,0.25020566,2,,,0,,False,0,train,1
3,0.0,69.027285,69.27749,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-10.0,null,null,null,0.08,90.0,4.0,0.25020566,3,,,0,,False,0,train,2
4,0.0,69.27749,69.527696,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,10.0,null,null,null,0.08,90.0,4.0,0.25020566,4,,,0,,False,0,train,2
5,0.0,69.527696,69.777916,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-10.0,null,null,null,0.08,45.0,4.0,0.25021944,5,,,0,,False,0,train,1
6,0.0,69.777916,70.028135,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,20.0,null,null,null,0.08,0.0,4.0,0.25021944,6,,,0,,False,0,train,0
7,0.0,70.028135,70.278354,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,-20.0,null,null,null,0.08,90.0,4.0,0.25021944,7,,,0,,False,0,train,2
8,0.0,70.278354,70.528574,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-40.0,null,null,null,0.08,45.0,4.0,0.25021944,8,,,0,,False,0,train,1
9,0.0,70.528574,70.778772,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,-20.0,null,null,null,0.08,90.0,4.0,0.25019806,9,,,0,,False,0,train,2
10,0.0,70.778772,71.02897,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,0.0,null,null,null,0.08,90.0,4.0,0.25019806,10,,,0,,False,0,train,2
11,0.0,71.02897,71.279168,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-20.0,30.0,null,null,null,0.08,45.0,4.0,0.25019806,11,,,0,,False,0,train,1
12,0.0,71.279168,71.529366,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,10.0,10.0,null,null,null,0.08,90.0,4.0,0.25019806,12,,,0,,False,0,train,2
13,0.0,71.529366,71.779586,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,0.0,null,null,null,0.08,90.0,4.0,0.25021944,13,,,0,,False,0,train,2
14,0.0,71.779586,72.029805,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,10.0,null,null,null,0.08,90.0,4.0,0.25021944,14,,,0,,False,0,train,2
15,0.0,72.029805,72.280024,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-20.0,null,null,null,0.08,90.0,4.0,0.25021944,15,,,0,,False,0,train,2
16,0.0,72.280024,72.530244,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-30.0,null,null,null,0.08,90.0,4.0,0.25021944,16,,,0,,False,0,train,2
17,0.0,72.530244,72.780442,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-40.0,0.0,null,null,null,0.08,90.0,4.0,0.25019806,17,,,0,,False,0,train,2
18,0.0,72.780442,73.03064,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,10.0,null,null,null,0.08,90.0,4.0,0.25019806,18,,,0,,False,0,train,2
19,0.0,73.03064,73.280838,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,40.0,-20.0,null,null,null,0.08,0.0,4.0,0.25019806,19,,,0,,False,0,train,0
20,0.0,73.280838,73.531036,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,0.0,null,null,null,0.08,45.0,4.0,0.25019806,20,,,0,,False,0,train,1
21,0.0,73.531036,73.781246,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-10.0,-40.0,null,null,null,0.08,90.0,4.0,0.25020944,21,,,0,,False,0,train,2
22,0.0,73.781246,74.031455,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,-10.0,null,null,null,0.08,90.0,4.0,0.25020944,22,,,0,,False,0,train,2
23,0.0,74.031455,74.281664,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,-10.0,null,null,null,0.08,0.0,4.0,0.25020944,23,,,0,,False,0,train,0
24,0.0,74.281664,74.531874,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,-30.0,-10.0,null,null,null,0.08,45.0,4.0,0.25020944,24,,,0,,False,0,train,1
25,0.0,74.531874,74.782084,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,30.0,30.0,null,null,null,0.08,90.0,4.0,0.25021056,25,,,0,,False,0,train,2
26,0.0,74.782084,75.032295,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,0.0,-40.0,null,null,null,0.08,45.0,4.0,0.25021056,26,,,0,,False,0,train,1
27,0.0,75.032295,75.282506,null,"[3644.93333333, 3644.93333333]",gabors,null,"[20.0, 20.0]",0.8,20.0,-20.0,null,null,null,0.08,90.0,4.0,0.25021056,27,,,0,,False,0,train,2
