stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,phase,x_position,contrast,stimulus_name,Dir,frame,orientation,spatial_frequency,Speed,color,coherence,size,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
144,0.0,111.10845,111.35866,4.0,"[3644.93333333, 3644.93333333]",20.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",-10.0,0.25020941,106,,,0,,False,0,train,2
145,0.0,111.35866,111.60887,4.0,"[3644.93333333, 3644.93333333]",40.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",10.0,0.25020809,31,,,0,,False,1,train,2
146,0.0,111.60887,111.85907,4.0,"[3644.93333333, 3644.93333333]",-30.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",0.0,0.25020809,107,,,0,,False,0,train,2
147,0.0,111.85907,112.10928,4.0,"[3644.93333333, 3644.93333333]",-20.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",40.0,0.25020809,108,,,0,,False,0,train,0
148,0.0,112.10928,112.35949,4.0,"[3644.93333333, 3644.93333333]",10.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",-30.0,0.25020809,109,,,0,,False,0,train,0
149,0.0,112.35949,112.6097,4.0,"[3644.93333333, 3644.93333333]",30.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25020691,22,,,0,,False,1,train,2
150,0.0,112.6097,112.8599,4.0,"[3644.93333333, 3644.93333333]",0.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",-40.0,0.25020691,16,,,0,,False,1,train,2
151,0.0,112.8599,113.11011,4.0,"[3644.93333333, 3644.93333333]",0.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",-40.0,0.25020691,16,,,0,,False,2,test,2
152,0.0,113.11011,113.36032,4.0,"[3644.93333333, 3644.93333333]",-10.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25020691,34,,,0,,False,2,test,2
153,0.0,113.36032,113.61053,4.0,"[3644.93333333, 3644.93333333]",-20.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25021059,110,,,0,,False,0,train,0
154,0.0,113.61053,113.86074,4.0,"[3644.93333333, 3644.93333333]",30.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",20.0,0.25021059,111,,,0,,False,0,train,2
155,0.0,113.86074,114.11095,4.0,"[3644.93333333, 3644.93333333]",-30.0,0.8,gabors,null,null,45.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25021059,80,,,0,,False,2,test,1
156,0.0,114.11095,114.36116,4.0,"[3644.93333333, 3644.93333333]",10.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",-10.0,0.25021059,112,,,0,,False,0,train,0
157,0.0,114.36116,114.61138,4.0,"[3644.93333333, 3644.93333333]",-40.0,0.8,gabors,null,null,45.0,0.08,null,null,null,"[20.0, 20.0]",40.0,0.25021441,99,,,0,,False,1,train,1
158,0.0,114.61138,114.86159,4.0,"[3644.93333333, 3644.93333333]",10.0,0.8,gabors,null,null,45.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25021441,113,,,0,,False,0,train,1
159,0.0,114.86159,115.1118,4.0,"[3644.93333333, 3644.93333333]",0.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",0.0,0.25021441,36,,,0,,False,1,train,0
