ecephys_session_id,session_type,target_units,qc_target_units,well_known_file_id,url,expected_bytes,status,nwb_path,validation,visual_units,fit_units,nwb_exists
786091066,functional_connectivity,865,432,1026123803,http://api.brain-map.org/api/v2/well_known_file_download/1026123803,2295393668,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_786091066/session_786091066.nwb,"{'bytes': 2295393668, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",865,621,True
760693773,brain_observatory_1.1,771,406,1026124702,http://api.brain-map.org/api/v2/well_known_file_download/1026124702,2864072620,reused_external,/media/huklaban5/Data/MouseV2/allen_bo11_rf_pilot_cache/session_760693773/session_760693773.nwb,"{'bytes': 2864072620, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",771,532,True
798911424,brain_observatory_1.1,886,443,1026124743,http://api.brain-map.org/api/v2/well_known_file_download/1026124743,2864276308,reused_external,/media/huklaban5/Data/MouseV2/allen_bo11_rf_pilot_cache/session_798911424/session_798911424.nwb,"{'bytes': 2864276308, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",886,511,True
778240327,functional_connectivity,776,387,1026124625,http://api.brain-map.org/api/v2/well_known_file_download/1026124625,2839369128,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_778240327/session_778240327.nwb,"{'bytes': 2839369128, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",776,484,True
755434585,brain_observatory_1.1,794,361,1026124684,http://api.brain-map.org/api/v2/well_known_file_download/1026124684,2235680540,reused_external,/media/huklaban5/Data/MouseV2/allen_bo11_rf_pilot_cache/session_755434585/session_755434585.nwb,"{'bytes': 2235680540, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",794,479,True
774875821,functional_connectivity,700,279,1026124348,http://api.brain-map.org/api/v2/well_known_file_download/1026124348,2251686372,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_774875821/session_774875821.nwb,"{'bytes': 2251686372, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",700,464,True
847657808,functional_connectivity,912,346,1026123943,http://api.brain-map.org/api/v2/well_known_file_download/1026123943,2813195792,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_847657808/session_847657808.nwb,"{'bytes': 2813195792, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",912,458,True
831882777,functional_connectivity,845,411,1026123787,http://api.brain-map.org/api/v2/well_known_file_download/1026123787,2085248036,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_831882777/session_831882777.nwb,"{'bytes': 2085248036, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",845,455,True
732592105,brain_observatory_1.1,947,365,1026123599,http://api.brain-map.org/api/v2/well_known_file_download/1026123599,2912508032,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_732592105/session_732592105.nwb,"{'bytes': 2912508032, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': False, 'has_ccf_unit_columns': False}",947,450,True
757216464,brain_observatory_1.1,629,292,1026124603,http://api.brain-map.org/api/v2/well_known_file_download/1026124603,3039748856,downloaded,/media/huklaban5/Data/MouseV2/allen_visual_coding_neuropixels_sessions/session_757216464/session_757216464.nwb,"{'bytes': 3039748856, 'has_units': True, 'has_gabor_presentations': True, 'has_raw_gaze_mapping': True, 'has_ccf_unit_columns': False}",629,439,True
