stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,size,spatial_frequency,x_position,temporal_frequency,y_position,phase,stimulus_name,contrast,color,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
33,0.0,89.635864,89.88607,0.0,"[20.0, 20.0]",0.08,-10.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,32,,,0,,False,0,train,0
34,0.0,89.88607,90.136275,90.0,"[20.0, 20.0]",0.08,40.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,33,,,0,,False,0,train,2
35,0.0,90.136275,90.38648,45.0,"[20.0, 20.0]",0.08,0.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,34,,,0,,False,0,train,1
36,0.0,90.38648,90.636686,0.0,"[20.0, 20.0]",0.08,30.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,35,,,0,,False,0,train,0
37,0.0,90.636686,90.886898,90.0,"[20.0, 20.0]",0.08,20.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,36,,,0,,False,0,train,2
38,0.0,90.886898,91.13711,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,37,,,0,,False,0,train,0
39,0.0,91.13711,91.387322,90.0,"[20.0, 20.0]",0.08,-40.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,16,,,0,,False,1,train,2
40,0.0,91.387322,91.637534,45.0,"[20.0, 20.0]",0.08,30.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,38,,,0,,False,0,train,1
41,0.0,91.637534,91.887735,0.0,"[20.0, 20.0]",0.08,10.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,39,,,0,,False,0,train,0
42,0.0,91.887735,92.137935,45.0,"[20.0, 20.0]",0.08,-40.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,40,,,0,,False,0,train,1
43,0.0,92.137935,92.388135,90.0,"[20.0, 20.0]",0.08,0.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,41,,,0,,False,0,train,2
44,0.0,92.388135,92.638336,0.0,"[20.0, 20.0]",0.08,-30.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,42,,,0,,False,0,train,0
45,0.0,92.638336,92.888553,90.0,"[20.0, 20.0]",0.08,20.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,43,,,0,,False,0,train,2
46,0.0,92.888553,93.13877,0.0,"[20.0, 20.0]",0.08,10.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,44,,,0,,False,0,train,0
47,0.0,93.13877,93.388987,0.0,"[20.0, 20.0]",0.08,10.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,44,,,0,,False,1,train,0
48,0.0,93.388987,93.639204,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,45,,,0,,False,0,train,2
49,0.0,93.639204,93.889407,0.0,"[20.0, 20.0]",0.08,30.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,46,,,0,,False,0,train,0
50,0.0,93.889407,94.13961,90.0,"[20.0, 20.0]",0.08,-30.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,47,,,0,,False,0,train,2
51,0.0,94.13961,94.389813,45.0,"[20.0, 20.0]",0.08,-10.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,48,,,0,,False,0,train,1
52,0.0,94.389813,94.640016,0.0,"[20.0, 20.0]",0.08,0.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,49,,,0,,False,0,train,0
53,0.0,94.640016,94.89023,90.0,"[20.0, 20.0]",0.08,20.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,36,,,0,,False,1,train,2
54,0.0,94.89023,95.140445,90.0,"[20.0, 20.0]",0.08,20.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,50,,,0,,False,0,train,2
55,0.0,95.140445,95.39066,45.0,"[20.0, 20.0]",0.08,-20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,51,,,0,,False,0,train,1
56,0.0,95.39066,95.640874,90.0,"[20.0, 20.0]",0.08,10.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,17,,,0,,False,1,train,2
57,0.0,95.640874,95.89108,0.0,"[20.0, 20.0]",0.08,-30.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,52,,,0,,False,0,train,0
58,0.0,95.89108,96.141285,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,53,,,0,,False,0,train,0
59,0.0,96.141285,96.39149,0.0,"[20.0, 20.0]",0.08,-20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,27,,,0,,False,1,train,0
60,0.0,96.39149,96.641696,90.0,"[20.0, 20.0]",0.08,30.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,54,,,0,,False,0,train,2
61,0.0,96.641696,96.891915,90.0,"[20.0, 20.0]",0.08,40.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,55,,,0,,False,0,train,2
62,0.0,96.891915,97.142135,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,37,,,0,,False,1,train,0
63,0.0,97.142135,97.392355,45.0,"[20.0, 20.0]",0.08,-40.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,56,,,0,,False,0,train,1
64,0.0,97.392355,97.642574,90.0,"[20.0, 20.0]",0.08,-30.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,57,,,0,,False,0,train,2
65,0.0,97.642574,97.89277,90.0,"[20.0, 20.0]",0.08,40.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019531,58,,,0,,False,0,train,2
66,0.0,97.89277,98.142965,90.0,"[20.0, 20.0]",0.08,10.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019531,59,,,0,,False,0,train,2
67,0.0,98.142965,98.39316,0.0,"[20.0, 20.0]",0.08,10.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019531,39,,,0,,False,1,train,0
68,0.0,98.39316,98.643356,0.0,"[20.0, 20.0]",0.08,0.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019531,60,,,0,,False,0,train,0
69,0.0,98.643356,98.893573,45.0,"[20.0, 20.0]",0.08,-10.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,61,,,0,,False,0,train,1
70,0.0,98.893573,99.14379,90.0,"[20.0, 20.0]",0.08,40.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,62,,,0,,False,0,train,2
71,0.0,99.14379,99.394007,90.0,"[20.0, 20.0]",0.08,-30.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,63,,,0,,False,0,train,2
72,0.0,99.394007,99.644224,90.0,"[20.0, 20.0]",0.08,20.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021719,64,,,0,,False,0,train,2
73,0.0,99.644224,99.894425,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,65,,,0,,False,0,train,2
74,0.0,99.894425,100.14462,90.0,"[20.0, 20.0]",0.08,-10.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,66,,,0,,False,0,train,2
75,0.0,100.14462,100.39483,90.0,"[20.0, 20.0]",0.08,-40.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,16,,,0,,False,2,test,2
76,0.0,100.39483,100.64503,90.0,"[20.0, 20.0]",0.08,20.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020031,13,,,0,,False,1,train,2
77,0.0,100.64503,100.89524,90.0,"[20.0, 20.0]",0.08,20.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,50,,,0,,False,1,train,2
78,0.0,100.89524,101.14545,0.0,"[20.0, 20.0]",0.08,40.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,67,,,0,,False,0,train,0
79,0.0,101.14545,101.39567,45.0,"[20.0, 20.0]",0.08,-20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,51,,,0,,False,1,train,1
80,0.0,101.39567,101.64588,45.0,"[20.0, 20.0]",0.08,-20.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,68,,,0,,False,0,train,1
81,0.0,101.64588,101.89609,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,69,,,0,,False,0,train,0
82,0.0,101.89609,102.14629,90.0,"[20.0, 20.0]",0.08,40.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,70,,,0,,False,0,train,2
83,0.0,102.14629,102.3965,0.0,"[20.0, 20.0]",0.08,-20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,27,,,0,,False,2,test,0
84,0.0,102.3965,102.64671,90.0,"[20.0, 20.0]",0.08,20.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,71,,,0,,False,0,train,2
85,0.0,102.64671,102.89692,0.0,"[20.0, 20.0]",0.08,0.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,72,,,0,,False,0,train,0
86,0.0,102.89692,103.14712,45.0,"[20.0, 20.0]",0.08,0.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,11,,,0,,False,1,train,1
87,0.0,103.14712,103.39733,45.0,"[20.0, 20.0]",0.08,10.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,73,,,0,,False,0,train,1
88,0.0,103.39733,103.64754,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,74,,,0,,False,0,train,2
89,0.0,103.64754,103.89775,45.0,"[20.0, 20.0]",0.08,-40.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,75,,,0,,False,0,train,1
90,0.0,103.89775,104.14795,90.0,"[20.0, 20.0]",0.08,10.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,76,,,0,,False,0,train,2
91,0.0,104.14795,104.39816,90.0,"[20.0, 20.0]",0.08,-30.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,77,,,0,,False,0,train,2
92,0.0,104.39816,104.64837,90.0,"[20.0, 20.0]",0.08,10.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,59,,,0,,False,1,train,2
93,0.0,104.64837,104.89858,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,78,,,0,,False,0,train,2
94,0.0,104.89858,105.14879,45.0,"[20.0, 20.0]",0.08,0.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,15,,,0,,False,1,train,1
95,0.0,105.14879,105.39901,45.0,"[20.0, 20.0]",0.08,40.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,4,,,0,,False,1,train,1
96,0.0,105.39901,105.64922,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,45,,,0,,False,1,train,2
97,0.0,105.64922,105.89943,90.0,"[20.0, 20.0]",0.08,10.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,79,,,0,,False,0,train,2
98,0.0,105.89943,106.14963,90.0,"[20.0, 20.0]",0.08,0.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,28,,,0,,False,1,train,2
99,0.0,106.14963,106.39984,0.0,"[20.0, 20.0]",0.08,30.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,80,,,0,,False,0,train,0
100,0.0,106.39984,106.65005,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,37,,,0,,False,2,test,0
101,0.0,106.65005,106.90026,45.0,"[20.0, 20.0]",0.08,-20.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,81,,,0,,False,0,train,1
102,0.0,106.90026,107.15047,90.0,"[20.0, 20.0]",0.08,10.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,82,,,0,,False,0,train,2
103,0.0,107.15047,107.40069,0.0,"[20.0, 20.0]",0.08,-20.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,83,,,0,,False,0,train,0
104,0.0,107.40069,107.6509,45.0,"[20.0, 20.0]",0.08,10.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,73,,,0,,False,1,train,1
105,0.0,107.6509,107.90111,0.0,"[20.0, 20.0]",0.08,20.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,30,,,0,,False,1,train,0
106,0.0,107.90111,108.15131,90.0,"[20.0, 20.0]",0.08,-10.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,84,,,0,,False,0,train,2
107,0.0,108.15131,108.40151,45.0,"[20.0, 20.0]",0.08,-30.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,5,,,0,,False,2,test,1
108,0.0,108.40151,108.65172,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,85,,,0,,False,0,train,2
109,0.0,108.65172,108.90193,45.0,"[20.0, 20.0]",0.08,10.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,86,,,0,,False,0,train,1
110,0.0,108.90193,109.15214,45.0,"[20.0, 20.0]",0.08,20.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,24,,,0,,False,1,train,1
111,0.0,109.15214,109.40235,90.0,"[20.0, 20.0]",0.08,30.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,87,,,0,,False,0,train,2
112,0.0,109.40235,109.65256,90.0,"[20.0, 20.0]",0.08,40.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021219,3,,,0,,False,1,train,2
113,0.0,109.65256,109.90277,90.0,"[20.0, 20.0]",0.08,10.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020781,29,,,0,,False,1,train,2
114,0.0,109.90277,110.15298,45.0,"[20.0, 20.0]",0.08,20.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020781,23,,,0,,False,1,train,1
115,0.0,110.15298,110.40319,90.0,"[20.0, 20.0]",0.08,10.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020781,76,,,0,,False,1,train,2
116,0.0,110.40319,110.6534,45.0,"[20.0, 20.0]",0.08,20.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020781,88,,,0,,False,0,train,1
117,0.0,110.6534,110.9036,45.0,"[20.0, 20.0]",0.08,30.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020469,89,,,0,,False,0,train,1
118,0.0,110.9036,111.1538,45.0,"[20.0, 20.0]",0.08,-40.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020469,90,,,0,,False,0,train,1
119,0.0,111.1538,111.40401,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020469,91,,,0,,False,0,train,0
120,0.0,111.40401,111.65421,45.0,"[20.0, 20.0]",0.08,30.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020469,92,,,0,,False,0,train,1
121,0.0,111.65421,111.90442,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021031,93,,,0,,False,0,train,2
122,0.0,111.90442,112.15463,90.0,"[20.0, 20.0]",0.08,-40.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021031,94,,,0,,False,0,train,2
123,0.0,112.15463,112.40485,90.0,"[20.0, 20.0]",0.08,30.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021031,95,,,0,,False,0,train,2
124,0.0,112.40485,112.65506,45.0,"[20.0, 20.0]",0.08,-40.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021031,96,,,0,,False,0,train,1
125,0.0,112.65506,112.90527,45.0,"[20.0, 20.0]",0.08,30.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,92,,,0,,False,1,train,1
126,0.0,112.90527,113.15547,0.0,"[20.0, 20.0]",0.08,-10.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,8,,,0,,False,1,train,0
127,0.0,113.15547,113.40568,0.0,"[20.0, 20.0]",0.08,10.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,97,,,0,,False,0,train,0
128,0.0,113.40568,113.65589,90.0,"[20.0, 20.0]",0.08,20.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,2,,,0,,False,1,train,2
129,0.0,113.65589,113.9061,90.0,"[20.0, 20.0]",0.08,40.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,98,,,0,,False,0,train,2
130,0.0,113.9061,114.1563,45.0,"[20.0, 20.0]",0.08,40.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,99,,,0,,False,0,train,1
131,0.0,114.1563,114.40651,0.0,"[20.0, 20.0]",0.08,-10.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,100,,,0,,False,0,train,0
132,0.0,114.40651,114.65672,90.0,"[20.0, 20.0]",0.08,0.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,101,,,0,,False,0,train,2
133,0.0,114.65672,114.90694,90.0,"[20.0, 20.0]",0.08,-30.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,102,,,0,,False,0,train,2
134,0.0,114.90694,115.15715,0.0,"[20.0, 20.0]",0.08,20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,103,,,0,,False,0,train,0
135,0.0,115.15715,115.40737,45.0,"[20.0, 20.0]",0.08,10.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,86,,,0,,False,1,train,1
136,0.0,115.40737,115.65759,0.0,"[20.0, 20.0]",0.08,40.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,104,,,0,,False,0,train,0
137,0.0,115.65759,115.9078,90.0,"[20.0, 20.0]",0.08,20.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,71,,,0,,False,1,train,2
