stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,size,spatial_frequency,x_position,temporal_frequency,y_position,phase,stimulus_name,contrast,color,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,81.645874,81.879397,45.0,"[20.0, 20.0]",0.08,-30.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.23352267,1,,,0,,False,0,train,1
2,0.0,81.879397,82.1296,90.0,"[20.0, 20.0]",0.08,20.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020286,2,,,0,,False,0,train,2
3,0.0,82.1296,82.379803,90.0,"[20.0, 20.0]",0.08,40.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020286,3,,,0,,False,0,train,2
4,0.0,82.379803,82.630006,45.0,"[20.0, 20.0]",0.08,40.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020286,4,,,0,,False,0,train,1
5,0.0,82.630006,82.880215,45.0,"[20.0, 20.0]",0.08,-30.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,5,,,0,,False,0,train,1
6,0.0,82.880215,83.130425,45.0,"[20.0, 20.0]",0.08,30.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,6,,,0,,False,0,train,1
7,0.0,83.130425,83.380635,0.0,"[20.0, 20.0]",0.08,-40.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,7,,,0,,False,0,train,0
8,0.0,83.380635,83.630844,0.0,"[20.0, 20.0]",0.08,-10.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020969,8,,,0,,False,0,train,0
9,0.0,83.630844,83.88105,90.0,"[20.0, 20.0]",0.08,10.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,9,,,0,,False,0,train,2
10,0.0,83.88105,84.131255,90.0,"[20.0, 20.0]",0.08,30.0,4.0,-20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,10,,,0,,False,0,train,2
11,0.0,84.131255,84.38146,45.0,"[20.0, 20.0]",0.08,0.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,11,,,0,,False,0,train,1
12,0.0,84.38146,84.631666,90.0,"[20.0, 20.0]",0.08,-40.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020531,12,,,0,,False,0,train,2
13,0.0,84.631666,84.88188,90.0,"[20.0, 20.0]",0.08,20.0,4.0,20.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,13,,,0,,False,0,train,2
14,0.0,84.88188,85.132095,0.0,"[20.0, 20.0]",0.08,-20.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,14,,,0,,False,0,train,0
15,0.0,85.132095,85.38231,45.0,"[20.0, 20.0]",0.08,0.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,15,,,0,,False,0,train,1
16,0.0,85.38231,85.632524,90.0,"[20.0, 20.0]",0.08,-40.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,16,,,0,,False,0,train,2
17,0.0,85.632524,85.882727,90.0,"[20.0, 20.0]",0.08,10.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,17,,,0,,False,0,train,2
18,0.0,85.882727,86.13293,0.0,"[20.0, 20.0]",0.08,0.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,18,,,0,,False,0,train,0
19,0.0,86.13293,86.383133,45.0,"[20.0, 20.0]",0.08,40.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,19,,,0,,False,0,train,1
20,0.0,86.383133,86.633336,45.0,"[20.0, 20.0]",0.08,-30.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25020281,20,,,0,,False,0,train,1
21,0.0,86.633336,86.883555,45.0,"[20.0, 20.0]",0.08,40.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,21,,,0,,False,0,train,1
22,0.0,86.883555,87.133775,90.0,"[20.0, 20.0]",0.08,20.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,22,,,0,,False,0,train,2
23,0.0,87.133775,87.383995,45.0,"[20.0, 20.0]",0.08,20.0,4.0,-30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,23,,,0,,False,0,train,1
24,0.0,87.383995,87.634214,45.0,"[20.0, 20.0]",0.08,20.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021969,24,,,0,,False,0,train,1
25,0.0,87.634214,87.884412,45.0,"[20.0, 20.0]",0.08,-40.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019781,25,,,0,,False,0,train,1
26,0.0,87.884412,88.13461,45.0,"[20.0, 20.0]",0.08,-10.0,4.0,30.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019781,26,,,0,,False,0,train,1
27,0.0,88.13461,88.384808,0.0,"[20.0, 20.0]",0.08,-20.0,4.0,0.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019781,27,,,0,,False,0,train,0
28,0.0,88.384808,88.635006,90.0,"[20.0, 20.0]",0.08,0.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25019781,28,,,0,,False,0,train,2
29,0.0,88.635006,88.88522,45.0,"[20.0, 20.0]",0.08,-30.0,4.0,10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,5,,,0,,False,1,train,1
30,0.0,88.88522,89.135435,90.0,"[20.0, 20.0]",0.08,10.0,4.0,-10.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,29,,,0,,False,0,train,2
31,0.0,89.135435,89.38565,0.0,"[20.0, 20.0]",0.08,20.0,4.0,-40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,30,,,0,,False,0,train,0
32,0.0,89.38565,89.635864,90.0,"[20.0, 20.0]",0.08,-20.0,4.0,40.0,"[3644.93333333, 3644.93333333]",gabors,0.8,null,null,0.25021469,31,,,0,,False,0,train,2
