stimulus_presentation_id,stimulus_block,start_time,stop_time,color,spatial_frequency,stimulus_name,contrast,phase,temporal_frequency,size,frame,y_position,x_position,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2336,0.0,673.53399,673.7842,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,10.0,90.0,0.25021122,69,,,0,,False,10,train,2
2337,0.0,673.7842,674.03441,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,-10.0,0.0,0.25020878,196,,,0,,False,9,train,0
2338,0.0,674.03441,674.28462,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-10.0,90.0,0.25020878,187,,,0,,False,10,train,2
2339,0.0,674.28462,674.53482,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,0.0,45.0,0.25020878,147,,,0,,False,8,test,1
2340,0.0,674.53482,674.78503,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,0.0,90.0,0.25020878,176,,,0,,False,13,train,2
2341,0.0,674.78503,675.03524,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,10.0,0.0,0.25020872,23,,,0,,False,6,train,0
2342,0.0,675.03524,675.28545,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,-30.0,0.0,0.25020872,85,,,0,,False,8,test,0
2343,0.0,675.28545,675.53566,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,40.0,45.0,0.25020872,213,,,0,,False,7,train,1
2344,0.0,675.53566,675.78587,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,10.0,45.0,0.25020872,55,,,0,,False,11,test,1
2345,0.0,675.78587,676.03608,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,20.0,45.0,0.25021128,227,,,0,,False,4,train,1
2346,0.0,676.03608,676.28629,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-40.0,45.0,0.25021128,47,,,0,,False,8,test,1
2347,0.0,676.28629,676.5365,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,0.0,45.0,0.25021128,184,,,0,,False,10,train,1
2348,0.0,676.5365,676.78671,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,20.0,45.0,0.25021128,65,,,0,,False,9,train,1
2349,0.0,676.78671,677.03693,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,0.0,0.0,0.25021372,242,,,0,,False,9,train,0
2350,0.0,677.03693,677.28714,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,20.0,0.0,0.25021372,207,,,0,,False,10,train,0
2351,0.0,677.28714,677.53735,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-20.0,0.0,0.25021372,233,,,0,,False,9,train,0
