unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
8000000,37.15,,V1_site8_A
8000001,24.12,,V1_site8_A
8000002,-4.47,,V1_site8_A
8000003,34.07,,V1_site8_A
8000004,7.18,,V1_site8_A
8000005,7.64,,V1_site8_A
8000006,28.25,,V1_site8_A
8000007,9.5,,V1_site8_A
8000008,45.36,,V1_site8_A
8000009,68.86,,V1_site8_A
8000010,56.97,,V1_site8_A
8000011,55.44,,V1_site8_A
8000012,48.32,,V1_site8_A
8000013,69.6,,V1_site8_A
8000014,56.54,,V1_site8_A
8000015,83.59,,V1_site8_A
8000016,81.23,,V1_site8_A
8000017,854.48,,V1_site8_A
8000018,82.62,,V1_site8_A
8000019,62.81,,V1_site8_A
8000020,73.68,,V1_site8_A
8000021,82.09,,V1_site8_A
8000022,115.49,,V1_site8_A
8000023,143.3,,V1_site8_A
8000024,96.26,,V1_site8_A
8000025,102.8,,V1_site8_A
8000026,859.21,,V1_site8_A
8000027,82.21,,V1_site8_A
8000028,117.28,,V1_site8_A
8000029,90.74,,V1_site8_A
8000030,85.9,,V1_site8_A
8000031,146.76,,V1_site8_A
8000032,116.77,,V1_site8_A
8000033,99.59,,V1_site8_A
8000034,103.19,,V1_site8_A
8000035,177.3,,V1_site8_A
8000036,139.73,,V1_site8_A
8000037,167.18,,V1_site8_A
8000038,147.47,,V1_site8_A
8000039,253.88,,V1_site8_A
8000040,131.26,,V1_site8_A
8000041,187.32,,V1_site8_A
8000042,125.19,,V1_site8_A
8000043,126.63,,V1_site8_A
8000044,118.95,,V1_site8_A
8000045,137.44,,V1_site8_A
8000046,148.45,,V1_site8_A
8000047,143.55,,V1_site8_A
8000048,196.28,,V1_site8_A
8000049,172.12,,V1_site8_A
8000050,171.2,,V1_site8_A
8000051,161.23,,V1_site8_A
8000052,147.38,,V1_site8_A
8000053,191.71,,V1_site8_A
8000054,195.5,,V1_site8_A
8000055,166.57,,V1_site8_A
8000056,192.13,,V1_site8_A
8000057,154.86,,V1_site8_A
8000058,236.38,,V1_site8_A
8000059,183.11,,V1_site8_A
8000060,213.62,,V1_site8_A
8000061,195.23,,V1_site8_A
8000062,205.44,,V1_site8_A
8000063,272.66,,V1_site8_A
8000064,240.77,,V1_site8_A
8000065,246.6,,V1_site8_A
8000066,248.45,,V1_site8_A
8000067,251.45,,V1_site8_A
8000068,269.89,,V1_site8_A
8000069,240.43,,V1_site8_A
8000070,269.68,,V1_site8_A
8000071,274.84,,V1_site8_A
8000072,272.19,,V1_site8_A
