unit_id,time_to_first_spike
8000397,0.095
8000398,0.103
8000399,0.052
8000400,0.054
8000401,0.0675
8000402,0.097
8000403,0.079
8000404,0.092
8000405,0.092
8000406,0.111
8000407,0.104
8000408,0.058
8000409,0.103
8000410,0.11
8000411,0.071
8000412,0.074
8000413,0.136
8000414,0.063
8000415,0.111
8000416,0.0545
8000417,0.1305
8000418,0.093
8000419,0.061
8000420,0.088
8000421,
8000422,0.054
8000423,0.095
8000424,0.063
8000425,0.106
8000426,0.109
8000427,0.1325
8000428,0.164
8000429,0.0515
8000430,0.109
8000431,0.134
8000432,0.0985
8000433,0.0955
8000434,0.158
8000435,0.047
8000436,0.122
8000437,0.0545
8000438,
8000439,0.065
8000440,0.1
8000441,
8000442,0.158
8000443,0.1215
8000444,0.123
8000445,0.0865
8000446,0.1155
8000447,0.056
8000448,0.057
8000449,0.107
8000450,0.0605
8000451,0.0495
8000452,0.073
8000453,0.162
8000454,0.0605
8000455,0.065
8000456,0.092
8000457,0.0405
8000458,0.064
8000459,0.126
8000460,0.066
8000461,0.0475
8000462,0.052
8000463,0.045
8000464,0.04
8000465,0.103
8000466,0.084
8000467,0.064
8000468,0.1
8000469,0.085
8000470,
8000471,0.061
8000472,
8000473,0.058
8000474,0.0595
8000475,0.066
8000476,0.091
8000477,0.077
8000478,0.1045
8000479,0.061
8000480,0.055
8000481,0.073
8000482,0.112
8000483,0.079
8000484,0.057
8000485,0.067
8000486,0.086
8000487,0.05
8000488,0.065
8000489,0.093
8000490,
8000491,0.099
8000492,0.17
8000493,0.074
8000494,0.13
8000495,0.0545
8000496,0.108
8000497,0.112
8000498,0.056
8000499,0.06
8000500,0.1045
8000501,0.064
8000502,0.047
8000503,0.047
8000504,0.072
8000505,0.072
8000506,0.065
8000507,0.057
8000508,0.053
8000509,0.099
8000510,0.142
8000511,0.0465
8000512,0.103
8000513,0.047
8000514,0.052
8000515,0.049
8000516,0.071
8000517,0.1455
8000518,0.0415
8000519,0.056
8000520,0.072
8000521,0.0915
8000522,0.0785
8000523,0.0615
8000524,0.078
8000525,0.103
8000526,0.082
8000527,0.064
8000528,0.067
8000529,0.1435
8000530,0.084
8000531,0.0505
8000532,0.067
8000533,0.065
8000534,0.06
8000535,0.045
8000536,0.057
8000537,0.0445
8000538,0.101
8000539,0.061
8000540,0.0655
8000541,0.075
8000542,0.058
8000543,0.089
8000544,0.1415
8000545,0.055
8000546,0.081
8000547,0.057
8000548,0.061
8000549,0.071
8000550,0.055
8000551,0.092
8000552,0.143
8000553,0.0485
8000554,0.098
8000555,0.047
8000556,0.05
8000557,0.066
8000558,0.0865
8000559,0.05
8000560,0.054
8000561,0.063
8000562,0.048
8000563,0.0515
8000564,0.0565
8000565,0.095
8000566,0.056
8000567,0.048
8000568,0.056
8000569,0.041
8000570,0.089
8000571,0.0545
8000572,0.061
8000573,0.051
8000574,0.079
8000575,0.0465
8000576,0.051
8000577,0.144
8000578,0.107
8000579,0.044
8000580,0.033
8000581,0.183
8000582,0.0745
8000583,0.086
8000584,0.177
8000585,0.057
8000586,0.064
8000587,0.07
8000588,0.0485
8000589,0.053
8000590,0.054
8000591,
8000592,0.044
8000593,0.038
8000594,0.051
8000595,
8000596,0.0445
8000597,0.057
8000598,0.046
8000599,0.047
8000600,0.1205
8000601,
8000602,0.058
8000603,0.065
8000604,0.05
8000605,0.054
8000606,0.037
8000607,0.0565
8000608,0.042
8000609,0.052
8000610,0.052
8000611,0.129
8000612,0.047
8000613,0.0505
8000614,0.083
8000615,0.05
8000616,0.1095
8000617,
8000618,0.0525
8000619,
8000620,0.049
8000621,0.037
8000622,0.048
8000623,0.058
8000624,0.049
8000625,0.0815
8000626,0.047
8000627,0.158
8000628,0.108
8000629,0.05
8000630,0.052
8000631,0.041
8000632,0.052
8000633,0.1205
8000634,0.047
8000635,0.136
8000636,0.068
8000637,0.056
8000638,0.063
8000639,0.049
8000640,
8000641,0.05
8000642,0.061
8000643,0.06
8000644,0.049
8000645,0.047
8000646,0.0455
8000647,0.069
8000648,0.041
8000649,0.056
8000650,0.05
8000651,0.134
8000652,0.076
8000653,0.056
8000654,
8000655,0.051
8000656,0.037
8000657,0.0805
8000658,
8000659,0.042
8000660,0.054
8000661,0.0595
8000662,0.09
8000663,0.1115
8000664,0.17
8000665,0.049
8000666,0.0735
8000667,
8000668,0.0565
8000669,0.1195
8000670,0.055
8000671,0.046
8000672,0.101
8000673,0.0545
8000674,0.046
8000675,0.052
8000676,0.056
8000677,0.059
8000678,0.0675
8000679,0.0615
8000680,0.153
8000681,
8000682,0.087
8000683,0.109
8000684,0.092
8000685,0.105
8000686,0.0605
8000687,0.112
8000688,0.084
8000689,0.083
8000690,0.106
8000691,0.072
8000692,0.092
8000693,0.071
8000694,0.084
8000695,0.115
8000696,0.104
8000697,0.092
8000698,0.135
8000699,0.101
8000700,0.1115
8000701,0.118
8000702,0.087
8000703,0.069
8000704,0.093
8000705,0.129
8000706,0.09
8000707,0.078
8000708,0.129
8000709,0.108
8000710,0.0895
8000711,0.076
8000712,0.0975
8000713,0.097
8000714,0.102
8000715,0.103
8000716,0.083
8000717,0.096
8000718,0.067
8000719,
8000720,0.096
8000721,0.111
8000722,0.085
8000723,0.083
8000724,0.085
8000725,0.1
8000726,0.096
8000727,0.093
8000728,0.11
8000729,0.172
8000730,0.0915
8000731,0.098
8000732,0.093
8000733,0.097
8000734,0.102
8000735,0.1065
8000736,0.119
8000737,0.1025
8000738,0.083
8000739,0.0885
8000740,0.156
8000741,0.104
8000742,0.09
8000743,0.085
8000744,0.1045
8000745,0.11
8000746,0.097
8000747,0.109
8000748,0.096
8000749,0.091
8000750,0.115
8000751,0.072
8000752,0.085
8000753,0.084
8000754,0.117
8000755,0.1025
8000756,0.117
8000757,0.1085
8000758,0.127
8000759,0.1195
8000760,0.1035
8000761,0.105
8000762,0.111
8000763,0.1205
8000764,0.0905
8000765,0.108
8000766,0.109
8000767,0.085
8000768,0.0885
8000769,0.134
8000770,0.1105
8000771,0.129
8000772,
8000773,0.1075
8000774,0.1125
8000775,0.1085
8000776,0.1175
8000777,0.088
8000778,0.075
8000779,0.1055
8000780,0.1005
8000781,0.128
8000782,0.087
8000783,0.088
8000784,0.103
8000785,0.0795
8000786,0.069
8000787,
8000788,0.089
8000789,0.097
8000790,
8000791,
8000792,
8000793,0.146
8000794,
8000795,0.084
8000796,0.112
8000797,0.091
8000798,0.089
8000799,0.0785
8000800,0.079
8000801,0.08
8000802,
8000803,0.082
8000804,0.064
8000805,0.078
8000806,0.0875
8000807,0.124
8000808,
8000809,0.0715
8000810,0.121
8000811,0.092
8000812,0.0685
8000813,0.112
8000814,0.0915
8000815,0.0795
8000816,0.062
8000817,0.0955
8000818,0.113
8000819,
8000820,0.111
8000821,0.0895
8000822,0.119
8000823,0.093
8000824,0.0945
8000825,0.0945
8000826,0.105
8000827,0.085
8000828,0.097
8000829,0.1235
8000830,0.065
8000831,0.1385
8000832,0.095
8000833,0.118
8000834,0.124
8000835,0.044
8000836,0.107
8000837,0.083
8000838,0.085
8000839,0.071
8000840,0.109
8000841,
8000842,0.047
8000843,0.0595
8000844,
8000845,0.05
8000846,0.1055
8000847,0.1165
8000848,0.0825
8000849,0.088
8000850,0.09
8000851,0.135
8000852,0.0855
8000853,0.0955
8000854,0.087
8000855,0.099
8000856,0.05
8000857,0.08
8000858,0.046
8000859,0.0595
8000860,0.1
8000861,0.087
8000862,0.105
8000863,0.0715
8000864,0.0695
8000865,0.0865
8000866,0.136
8000867,0.099
8000868,0.042
8000869,0.064
8000870,0.107
8000871,0.08
8000872,0.1225
8000873,0.098
8000874,0.0605
8000875,0.087
8000876,0.119
8000877,0.13
8000878,0.105
8000879,0.166
8000880,0.057
8000881,0.078
8000882,0.143
8000883,0.1255
8000884,0.085
8000885,0.0995
8000886,0.1065
8000887,0.125
8000888,0.052
8000889,
8000890,0.066
8000891,0.1105
8000892,0.101
8000893,0.105
8000894,0.072
8000895,0.102
8000896,0.0615
8000897,0.069
8000898,0.1145
8000899,
8000900,0.0535
8000901,0.089
8000902,0.084
8000903,0.069
8000904,0.087
8000905,0.121
8000906,0.076
8000907,
8000908,0.139
8000909,0.095
8000910,0.0625
8000911,0.1005
8000912,0.08
8000913,
8000914,0.053
8000915,0.109
8000916,0.103
8000917,0.1205
8000918,
8000919,
8000920,0.097
8000921,0.124
8000922,0.083
8000923,0.09
8000924,0.09
8000925,0.1075
8000926,0.095
8000927,0.074
8000928,0.0495
8000929,0.091
8000930,0.099
8000931,0.121
8000932,0.096
8000933,0.165
8000934,
8000935,0.0615
8000936,0.078
8000937,0.112
8000938,0.098
8000939,0.1095
8000940,0.059
8000941,0.1255
8000942,0.086
8000943,0.0705
8000944,0.109
8000945,0.0965
8000946,0.08
8000947,0.077
8000948,0.0895
8000949,0.1
8000950,
8000951,0.122
8000952,0.068
8000953,0.1285
8000954,0.048
8000955,0.1
8000956,0.106
8000957,0.13
8000958,0.095
8000959,0.081
8000960,0.104
8000961,0.095
8000962,0.0525
8000963,
8000964,0.102
8000965,0.129
8000966,0.085
8000967,0.093
8000968,0.076
8000969,0.12
8000970,0.066
8000971,0.088
8000972,0.103
8000973,0.073
8000974,0.09
8000975,0.069
8000976,0.138
8000977,0.063
8000978,0.056
8000979,0.112
8000980,0.0975
8000981,0.056
8000982,0.111
8000983,0.0945
8000984,0.066
8000985,0.1
8000986,0.079
8000987,0.175
8000988,0.084
8000989,0.158
8000990,0.108
8000991,0.114
8000992,0.0955
8000993,0.121
8000994,0.1095
8000995,0.0905
8000996,0.105
8000997,0.105
8000998,0.094
8000999,0.09
8001000,0.1005
8001001,0.12
8001002,0.132
8001003,0.092
8001004,0.1065
8001005,0.073
8001006,0.124
8001007,0.099
8001008,0.076
8001009,0.135
8001010,0.123
8001011,
