offset_scale,median_error_deg,mean_error_deg,outer_session_id,selected
0.75,21.85579708641626,23.651391933547234,715093703,True
0.5,22.26217287242451,23.846947055596058,715093703,False
1.0,23.000942371693842,24.298509033301197,715093703,False
0.25,24.193093503731625,24.983643262333533,715093703,False
0.0,24.97382366879947,26.84492808496369,715093703,False
0.75,21.369694823932434,23.149213504643363,755434585,True
1.0,21.556443911336867,23.836898258983467,755434585,False
0.5,21.758222249208988,23.162139534050638,755434585,False
0.25,22.729894176348886,24.063473538704137,755434585,False
0.0,23.98844327192915,25.631663417553217,755434585,False
1.0,21.799726678853666,24.19162257421595,756029989,True
0.75,22.116658238938278,23.42245149729985,756029989,False
0.5,22.26217287242451,23.464642665566064,756029989,False
0.25,24.016094872937728,24.43543773633055,756029989,False
0.0,24.257853761192035,26.126862924534983,756029989,False
0.75,20.88359256144861,23.310115414136074,757216464,True
0.5,21.254271625993464,23.20925810603691,757216464,False
1.0,21.313161143820068,24.11027064358641,757216464,False
0.25,21.75016009244392,23.906948605317652,757216464,False
0.0,22.55154756086541,25.240674868587405,757216464,False
0.75,22.116658238938278,24.155066354968803,768515987,True
0.5,22.312996668603116,24.35325202201543,768515987,False
1.0,23.000942371693842,24.696689291600116,768515987,False
0.25,24.193093503731625,25.366028082338467,768515987,False
0.0,24.97382366879947,27.018254296149824,768515987,False
1.0,21.799726678853666,24.532990749664478,774875821,True
0.75,21.85579708641626,23.829306756535416,774875821,False
0.5,22.26217287242451,23.94436109846125,774875821,False
0.25,24.193093503731625,24.985398251805858,774875821,False
0.0,24.97382366879947,26.740364399767515,774875821,False
0.75,20.88359256144861,23.080122721293634,778240327,True
0.5,21.254271625993464,23.312286352531974,778240327,False
1.0,21.313161143820068,23.696644949864055,778240327,False
0.25,23.709628260253847,24.48966002655496,778240327,False
0.0,24.257853761192035,26.38970074546209,778240327,False
0.75,22.116658238938278,23.862256565869675,781842082,True
0.5,22.312996668603116,24.08217732228573,781842082,False
1.0,23.000942371693842,24.486264346123665,781842082,False
0.25,24.193093503731625,25.246346338098387,781842082,False
0.0,24.97382366879947,27.13965311982226,781842082,False
0.75,20.38882485798061,23.003078849388753,786091066,True
0.5,20.397746980604897,23.280862936509937,786091066,False
1.0,21.167897844880123,23.573554251801156,786091066,False
0.25,21.75016009244392,24.50515479414071,786091066,False
0.0,24.62076261945631,26.458689841922666,786091066,False
0.75,20.38882485798061,22.657436822125725,794812542,True
1.0,21.167897844880123,23.23534875531755,794812542,False
0.5,21.254271625993464,22.929144814555055,794812542,False
0.25,23.709628260253847,24.150884528602457,794812542,False
0.0,24.257853761192035,26.10930331602131,794812542,False
0.5,21.355371824604006,23.46917222170264,798911424,True
1.0,21.483812261866895,24.005431934096062,798911424,False
0.75,21.98622766267727,23.349917118087824,798911424,False
0.25,22.729894176348886,24.437559869523067,798911424,False
0.0,23.98844327192915,26.027216384399818,798911424,False
1.0,21.313161143820068,23.827275114300576,829720705,True
0.75,21.85579708641626,23.187722193829817,829720705,False
0.5,22.26217287242451,23.37240293878239,829720705,False
0.25,24.016094872937728,24.475991852799012,829720705,False
0.0,24.62076261945631,26.279538749015398,829720705,False
0.75,20.38882485798061,23.105795690306095,831882777,True
0.5,20.397746980604897,23.26988780011695,831882777,False
1.0,21.167897844880123,23.71780017639194,831882777,False
0.25,21.75016009244392,24.302990737114182,831882777,False
0.0,24.257853761192035,26.00071998205219,831882777,False
0.75,20.88359256144861,22.963586241298895,847657808,True
0.5,21.254271625993464,23.09504166710041,847657808,False
1.0,21.799726678853666,23.545608651287967,847657808,False
0.25,23.709628260253847,23.899609664930477,847657808,False
0.0,24.257853761192035,25.329392210738163,847657808,False
