ecephys_session_id,interior_v1_units,supported_grid_points,supported_grid_fraction,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,fit_identifiable
715093703,1,945,0.983351,interior_v1_rf_size_translation,0,0,0,0,0,0,3,3,0,,,60,60,False,False
721123822,21,961,1,interior_v1_rf_size_translation,-9.66849,3.33458,0,0,0,0,0.679032,0.0600156,0.619016,0.320968,0.981824,0,,False,True
744228101,1,904,0.940687,interior_v1_rf_size_translation,0,0,0,0,0,0,3,3,0,,,60,60,False,False
750749662,36,961,1,interior_v1_rf_size_translation,2.66937,1.66668,0,0,0,0,0.194502,0.0382674,0.156234,0.805498,0.965694,3.75,0.75,False,True
751348571,10,961,1,interior_v1_rf_size_translation,0,0,0,0,0,0,3,3,0,,,60,60,False,False
754312389,48,961,1,interior_v1_rf_size_translation,9.66795,1.67018,0,0,0,0,0.680548,0.109726,0.570822,0.319452,0.928777,0,0.75,False,True
754829445,13,961,1,interior_v1_rf_size_translation,0.00242455,9.66856,0,0,0,0,0.596903,0.155112,0.441792,0.403097,0.882281,3,0,False,True
755434585,43,961,1,interior_v1_rf_size_translation,-3.33495,-9.66667,0,0,0,0,0.597531,0.187676,0.409855,0.402469,0.85415,4.5,0,False,True
756029989,24,961,1,interior_v1_rf_size_translation,-7.33614,9.03713,0,0,0,0,1.48455,0.727258,0.757296,-0.484554,0.326937,0,,False,True
757216464,72,961,1,interior_v1_rf_size_translation,-9.00002,3.46256,0,0,0,0,0.165585,0.0653454,0.100239,0.834415,0.97185,3.75,15,False,True
757970808,7,961,1,interior_v1_rf_size_translation,9.66678,1.67153,0,0,0,0,0.534086,0.076408,0.457678,0.465914,0.962088,1.5,0.75,False,True
758798717,42,961,1,interior_v1_rf_size_translation,-9.66999,3.37326,0,0,0,0,0.934107,0.0618162,0.87229,0.0658934,0.980139,0,,False,True
759883607,26,961,1,interior_v1_rf_size_translation,9.0018,1.66815,0,0,0,0,0.470297,0.148179,0.322118,0.529703,0.885347,2.25,5.25,False,True
760345702,18,961,1,interior_v1_rf_size_translation,9.66975,1.6801,0,0,0,0,0.711086,0.126849,0.584236,0.288914,0.911681,0,0,False,True
762602078,3,961,1,interior_v1_rf_size_translation,0,0,0,0,0,0,3,3,0,,,60,60,False,False
763673393,8,961,1,interior_v1_rf_size_translation,9.66967,1.67789,0,0,0,0,0.566177,0.096282,0.469895,0.433823,0.942245,0.75,0,False,True
773418906,58,961,1,interior_v1_rf_size_translation,-8.66794,3.3338,0,0,0,0,0.151557,0.061308,0.0902489,0.848443,0.973191,5.25,1.5,False,True
791319847,42,961,1,interior_v1_rf_size_translation,3.33338,1.75923,0,0,0,0,0.255593,0.0395055,0.216088,0.744407,0.966177,2.25,1.5,False,True
797828357,14,961,1,interior_v1_rf_size_translation,-3.34371,-9.67011,0,0,0,0,1.41093,0.191735,1.2192,-0.410932,0.850142,4.5,0,False,True
798911424,30,961,1,interior_v1_rf_size_translation,-2.33456,3.33747,0,0,0,0,0.153099,0.03926,0.113839,0.846901,0.967376,4.5,2.25,False,True
799864342,63,961,1,interior_v1_rf_size_translation,-9.00186,3.33446,0,0,0,0,0.195918,0.064492,0.131426,0.804082,0.972369,7.5,15,False,True
