group,preference,sessions,median_correlation_raw,median_correlation_aligned,median_paired_correlation_change,median_rmse_raw_octaves,median_rmse_aligned_octaves,median_paired_rmse_change_octaves,median_coverage_raw,median_coverage_aligned
HVA pooled,sf,21,0.214032,0.0683306,-0.0470717,0.240239,0.252271,-0.00126396,1,1
HVA pooled,tf,21,0.484012,0.443782,0.0203575,0.368728,0.368141,0.00667328,1,1
V1,sf,21,-0.123504,-0.129996,-0.132226,0.297939,0.332142,0.00801535,1,1
V1,tf,21,0.597587,0.498068,-0.0431718,0.143014,0.151707,0.0122696,1,1
