stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,spatial_frequency,x_position,y_position,phase,size,contrast,color,frame,orientation,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
16,0.0,98.58977,98.839994,4.0,0.08,-40.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25022426,16,,,0,,False,0,train,1
17,0.0,98.839994,99.090192,4.0,0.08,-40.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25019824,17,,,0,,False,0,train,2
18,0.0,99.090192,99.340391,4.0,0.08,-20.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25019824,18,,,0,,False,0,train,2
19,0.0,99.340391,99.590589,4.0,0.08,-40.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019824,19,,,0,,False,0,train,0
20,0.0,99.590589,99.840787,4.0,0.08,30.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25019824,20,,,0,,False,0,train,2
21,0.0,99.840787,100.091,4.0,0.08,-20.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021176,21,,,0,,False,0,train,2
22,0.0,100.091,100.34121,4.0,0.08,20.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021176,22,,,0,,False,0,train,0
23,0.0,100.34121,100.59142,4.0,0.08,-10.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021176,23,,,0,,False,0,train,0
24,0.0,100.59142,100.84163,4.0,0.08,-30.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021176,24,,,0,,False,0,train,0
25,0.0,100.84163,101.09184,4.0,0.08,30.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,25,,,0,,False,0,train,0
26,0.0,101.09184,101.34204,4.0,0.08,-10.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020324,26,,,0,,False,0,train,2
27,0.0,101.34204,101.59224,4.0,0.08,-10.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020324,27,,,0,,False,0,train,1
28,0.0,101.59224,101.84245,4.0,0.08,30.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,28,,,0,,False,0,train,0
29,0.0,101.84245,102.09266,4.0,0.08,-20.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021176,29,,,0,,False,0,train,0
30,0.0,102.09266,102.34287,4.0,0.08,10.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021176,30,,,0,,False,0,train,0
31,0.0,102.34287,102.59308,4.0,0.08,10.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021176,31,,,0,,False,0,train,1
32,0.0,102.59308,102.84329,4.0,0.08,10.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021176,3,,,0,,False,1,train,0
33,0.0,102.84329,103.09349,4.0,0.08,-30.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,32,,,0,,False,0,train,1
34,0.0,103.09349,103.3437,4.0,0.08,30.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020074,33,,,0,,False,0,train,2
35,0.0,103.3437,103.5939,4.0,0.08,40.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,34,,,0,,False,0,train,1
36,0.0,103.5939,103.8441,4.0,0.08,-20.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020074,35,,,0,,False,0,train,1
37,0.0,103.8441,104.09432,4.0,0.08,20.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022426,36,,,0,,False,0,train,0
38,0.0,104.09432,104.34455,4.0,0.08,-10.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022426,26,,,0,,False,1,train,2
39,0.0,104.34455,104.59477,4.0,0.08,-20.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25022426,37,,,0,,False,0,train,1
40,0.0,104.59477,104.84499,4.0,0.08,10.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022426,38,,,0,,False,0,train,2
