session_id,cortical_group,estimand,system,cells,bandwidth_iqr_units,spearman_rho,mae_log2_octaves,constant_mae_log2_octaves,mae_gain_vs_constant_log2
715093703,V1,within_area_location,ccf_anatomy,35,0.55,-0.017949810958448588,0.6564401929407131,0.632862496103467,-0.023577696837246087
715093703,V1,within_area_location,registered_map,35,0.55,-0.02229859632782761,0.5932285760450555,0.632862496103467,0.03963392005841149
715093703,V1,within_area_location,observed_rf,35,0.55,-0.07507002801120448,0.6978138007436517,0.632862496103467,-0.06495130464018473
715093703,V1,total_group_map,ccf_anatomy,35,0.55,-0.02229859632782761,0.6564401929407131,0.632862496103467,-0.023577696837246087
715093703,V1,total_group_map,registered_map,35,0.55,-0.02229859632782761,0.5932285760450555,0.632862496103467,0.03963392005841149
715093703,V1,total_group_map,observed_rf,35,0.55,-0.07507002801120448,0.6978138007436518,0.632862496103467,-0.06495130464018484
755434585,V1,within_area_location,ccf_anatomy,50,0.8,0.047134010620972236,0.9340723220040402,0.9485368520004198,0.014464529996379594
755434585,V1,within_area_location,registered_map,50,0.8,0.047134010620972236,0.9396419141224424,0.9485368520004198,0.00889493787797746
755434585,V1,within_area_location,observed_rf,50,0.8,0.1022328931572629,0.9012665382636671,0.9485368520004198,0.04727031373675272
755434585,V1,total_group_map,ccf_anatomy,50,0.8,0.047663672260310146,0.9340723220040402,0.9485368520004198,0.014464529996379594
755434585,V1,total_group_map,registered_map,50,0.8,0.047134010620972236,0.9396419141224424,0.9485368520004198,0.00889493787797746
755434585,V1,total_group_map,observed_rf,50,0.8,0.1022328931572629,0.9012665382636671,0.9485368520004198,0.04727031373675272
756029989,V1,within_area_location,ccf_anatomy,33,0.2,-0.12814729450166681,0.7257201142272848,0.6306269321904452,-0.09509318203683959
756029989,V1,within_area_location,registered_map,33,0.55,0.14119623571724124,0.6115327018671692,0.6306269321904452,0.01909423032327595
756029989,V1,within_area_location,observed_rf,33,0.55,0.196524064171123,0.6038102952487954,0.6306269321904452,0.02681663694164982
756029989,V1,total_group_map,ccf_anatomy,33,0.35,-0.10405694148829862,0.6662663111430098,0.6306269321904452,-0.03563937895256464
756029989,V1,total_group_map,registered_map,33,0.55,0.14119623571724124,0.6115327018671691,0.6306269321904452,0.019094230323276062
756029989,V1,total_group_map,observed_rf,33,0.55,0.196524064171123,0.6038102952487954,0.6306269321904452,0.02681663694164982
757216464,V1,within_area_location,ccf_anatomy,49,0.8,0.4752496771028994,1.03418707538703,1.0585303594790751,0.024343284092045225
757216464,V1,within_area_location,registered_map,49,0.8,0.47494332793416094,1.064251740434006,1.0585303594790751,-0.005721380954930799
757216464,V1,within_area_location,observed_rf,49,0.55,0.36765306122448976,0.9945619561203061,1.0585303594790751,0.06396840335876908
757216464,V1,total_group_map,ccf_anatomy,49,1.15,0.47494332793416094,1.0462822129908138,1.0585303594790751,0.012248146488261336
757216464,V1,total_group_map,registered_map,49,0.8,0.4752496771028994,1.0642517404340062,1.0585303594790751,-0.005721380954931021
757216464,V1,total_group_map,observed_rf,49,0.55,0.36765306122448976,0.9945619561203061,1.0585303594790751,0.06396840335876908
768515987,V1,within_area_location,ccf_anatomy,34,0.8,-0.009325792907193821,0.8299501963734086,0.8917428118050514,0.06179261543164283
768515987,V1,within_area_location,registered_map,34,0.55,-0.026905147931221878,0.8748261307195664,0.8917428118050514,0.016916681085485052
768515987,V1,within_area_location,observed_rf,34,0.8,0.18716577540106952,0.952167096595436,0.8917428118050514,-0.06042428479038453
768515987,V1,total_group_map,ccf_anatomy,34,0.8,-0.008254988569806712,0.8299501963734085,0.8917428118050514,0.06179261543164294
768515987,V1,total_group_map,registered_map,34,0.55,-0.025837032808455007,0.8748261307195665,0.8917428118050514,0.01691668108548494
768515987,V1,total_group_map,observed_rf,34,0.8,0.18716577540106952,0.9521670965954359,0.8917428118050514,-0.06042428479038442
774875821,V1,within_area_location,ccf_anatomy,50,0.2,0.0107658706916072,1.126739573867982,0.7973819913015099,-0.3293575825664721
774875821,V1,within_area_location,registered_map,50,0.8,0.015283691428263793,0.8529795898920884,0.7973819913015099,-0.055597598590578556
774875821,V1,within_area_location,observed_rf,50,0.8,0.27894357743097237,0.8392735821383657,0.7973819913015099,-0.041891590836855785
774875821,V1,total_group_map,ccf_anatomy,50,0.2,0.011583201984462374,1.1267395738679817,0.7973819913015099,-0.32935758256647185
774875821,V1,total_group_map,registered_map,50,0.8,0.015283691428263793,0.8529795898920884,0.7973819913015099,-0.055597598590578556
774875821,V1,total_group_map,observed_rf,50,0.8,0.27894357743097237,0.8392735821383661,0.7973819913015099,-0.04189159083685623
778240327,V1,within_area_location,ccf_anatomy,55,0.55,0.08453654311947043,1.0245250353443387,1.1360633390608363,0.11153830371649764
778240327,V1,within_area_location,registered_map,55,0.55,0.08944558234417067,1.0436262669283547,1.1360633390608363,0.09243707213248165
778240327,V1,within_area_location,observed_rf,55,0.8,0.2637806637806638,0.9883580229155642,1.1360633390608363,0.14770531614527216
778240327,V1,total_group_map,ccf_anatomy,55,0.55,0.08453654311947043,1.0245250353443387,1.1360633390608363,0.11153830371649764
778240327,V1,total_group_map,registered_map,55,0.55,0.08944558234417067,1.0436262669283547,1.1360633390608363,0.09243707213248165
778240327,V1,total_group_map,observed_rf,55,0.8,0.2637806637806638,0.9883580229155642,1.1360633390608363,0.14770531614527216
781842082,V1,within_area_location,ccf_anatomy,37,0.55,-0.25432139049522645,0.6750325839183487,0.7071819320396191,0.03214934812127035
781842082,V1,within_area_location,registered_map,37,0.55,0.25432139049522645,0.6155659860389993,0.7071819320396191,0.09161594600061984
781842082,V1,within_area_location,observed_rf,37,0.8,0.37648174490279745,0.7215109443811044,0.7071819320396191,-0.014329012341485314
781842082,V1,total_group_map,ccf_anatomy,37,0.55,-0.2561946880025372,0.6750325839183487,0.7071819320396191,0.03214934812127035
781842082,V1,total_group_map,registered_map,37,0.55,0.25432139049522645,0.6155659860389994,0.7071819320396191,0.09161594600061973
781842082,V1,total_group_map,observed_rf,37,0.8,0.37648174490279745,0.7215109443811044,0.7071819320396191,-0.014329012341485314
786091066,V1,within_area_location,ccf_anatomy,53,0.8,0.07632727102380014,1.417229844875659,1.3203133017873006,-0.09691654308835851
786091066,V1,within_area_location,registered_map,53,0.55,0.07781835839633615,1.4038123253992065,1.3203133017873006,-0.08349902361190598
786091066,V1,within_area_location,observed_rf,53,0.8,0.24439606515078213,1.3782921929072216,1.3203133017873006,-0.05797889111992105
786091066,V1,total_group_map,ccf_anatomy,53,0.8,0.07632727102380014,1.417229844875659,1.3203133017873006,-0.09691654308835851
786091066,V1,total_group_map,registered_map,53,0.55,0.07632727102380014,1.403812325399206,1.3203133017873006,-0.08349902361190553
786091066,V1,total_group_map,observed_rf,53,0.8,0.24439606515078213,1.3782921929072218,1.3203133017873006,-0.05797889111992127
794812542,V1,within_area_location,ccf_anatomy,35,1.15,0.48373119105554124,0.7409220329414594,0.7864640483617311,0.0455420154202717
794812542,V1,within_area_location,registered_map,35,1.15,0.4832335806618819,0.7278423209312899,0.7864640483617311,0.05862172743044125
794812542,V1,within_area_location,observed_rf,35,1.15,0.03865546218487395,0.822431228534662,0.7864640483617311,-0.03596718017293088
794812542,V1,total_group_map,ccf_anatomy,35,0.8,0.48082485250581664,0.7419470348880604,0.7864640483617311,0.04451701347367076
794812542,V1,total_group_map,registered_map,35,0.8,0.4845345436789836,0.7197167674191426,0.7864640483617311,0.06674728094258853
794812542,V1,total_group_map,observed_rf,35,1.15,0.03865546218487395,0.822431228534662,0.7864640483617311,-0.03596718017293088
798911424,V1,within_area_location,ccf_anatomy,44,0.8,0.18136307597871543,1.0906966918291436,1.1275062653128676,0.036809573483723934
798911424,V1,within_area_location,registered_map,44,1.15,0.18136307597871543,1.0998381246955278,1.1275062653128676,0.027668140617339798
