estimand,cortical_group,system,animals,median_spearman_rho,positive_rho_fraction,median_mae_gain_vs_constant_log2
total_group_map,HVA,area_only,14,0.18644014847604895,0.8571428571428571,0.016221428183806952
total_group_map,HVA,ccf_anatomy,14,0.2118784566585788,0.8571428571428571,-0.03546177296421643
total_group_map,HVA,observed_rf,14,0.05507822866363321,0.7857142857142857,-0.019967319487095292
total_group_map,HVA,registered_map,14,0.211924420306025,0.8571428571428571,-0.006227293392689237
total_group_map,V1,ccf_anatomy,14,0.02962343712238626,0.5714285714285714,0.02330693905882497
total_group_map,V1,observed_rf,14,0.25408836446572297,0.9285714285714286,-0.014934196737124872
total_group_map,V1,registered_map,14,0.10908874004460178,0.8571428571428571,0.023254763904993092
within_area_location,HVA,ccf_anatomy,14,-0.0546093476981308,0.2857142857142857,-0.018402226493797302
within_area_location,HVA,observed_rf,14,0.05565763194941925,0.7142857142857143,-0.02343984996493753
within_area_location,HVA,registered_map,14,-0.068032935447316,0.21428571428571427,-0.006762278175839631
within_area_location,V1,ccf_anatomy,14,0.028949940656289717,0.5714285714285714,0.028246316106657787
within_area_location,V1,observed_rf,14,0.25408836446572297,0.9285714285714286,-0.014934196737124816
within_area_location,V1,registered_map,14,0.11532090903070596,0.8571428571428571,0.023381185470307875
