outer_session_id,cortical_group,estimand,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
756029989,V1,total_group_map,ccf_anatomy,0.8,13,0.08944558234417067
756029989,V1,total_group_map,ccf_anatomy,1.15,13,0.08944558234417067
756029989,V1,total_group_map,registered_map,0.2,13,-0.026644250641447115
756029989,V1,total_group_map,registered_map,0.35,13,0.014755365183526757
756029989,V1,total_group_map,registered_map,0.55,13,0.08944558234417067
756029989,V1,total_group_map,registered_map,0.8,13,0.08832501517702314
756029989,V1,total_group_map,registered_map,1.15,13,0.08832501517702314
756029989,V1,total_group_map,observed_rf,0.2,13,0.11145258103241296
756029989,V1,total_group_map,observed_rf,0.35,13,0.14201680672268907
756029989,V1,total_group_map,observed_rf,0.55,13,0.25721657797129494
756029989,V1,total_group_map,observed_rf,0.8,13,0.2543944525076601
756029989,V1,total_group_map,observed_rf,1.15,13,0.24044508950169327
757216464,V1,within_area_location,ccf_anatomy,0.2,13,-0.04711825376592754
757216464,V1,within_area_location,ccf_anatomy,0.35,13,0.04010179479430843
757216464,V1,within_area_location,ccf_anatomy,0.55,13,0.047134010620972236
757216464,V1,within_area_location,ccf_anatomy,0.8,13,0.09056291911693956
757216464,V1,within_area_location,ccf_anatomy,1.15,13,0.09056291911693956
757216464,V1,within_area_location,registered_map,0.2,13,-0.026714719532996412
757216464,V1,within_area_location,registered_map,0.35,13,-0.026644250641447115
757216464,V1,within_area_location,registered_map,0.55,13,0.047134010620972236
757216464,V1,within_area_location,registered_map,0.8,13,0.08832501517702314
757216464,V1,within_area_location,registered_map,1.15,13,0.08832501517702314
757216464,V1,within_area_location,observed_rf,0.2,13,0.03
757216464,V1,within_area_location,observed_rf,0.35,13,0.14117647058823532
757216464,V1,within_area_location,observed_rf,0.55,13,0.23362299465240643
757216464,V1,within_area_location,observed_rf,0.8,13,0.23109668109668113
757216464,V1,within_area_location,observed_rf,1.15,13,0.23196248196248198
757216464,V1,total_group_map,ccf_anatomy,0.2,13,-0.051469087121463725
757216464,V1,total_group_map,ccf_anatomy,0.35,13,0.038983546784384315
757216464,V1,total_group_map,ccf_anatomy,0.55,13,0.04819104245956693
757216464,V1,total_group_map,ccf_anatomy,0.8,13,0.08832501517702314
757216464,V1,total_group_map,ccf_anatomy,1.15,13,0.08944558234417067
757216464,V1,total_group_map,registered_map,0.2,13,-0.026714719532996412
757216464,V1,total_group_map,registered_map,0.35,13,-0.017949810958448588
757216464,V1,total_group_map,registered_map,0.55,13,0.047134010620972236
757216464,V1,total_group_map,registered_map,0.8,13,0.08944558234417067
757216464,V1,total_group_map,registered_map,1.15,13,0.08832501517702314
757216464,V1,total_group_map,observed_rf,0.2,13,0.03
757216464,V1,total_group_map,observed_rf,0.35,13,0.14117647058823532
757216464,V1,total_group_map,observed_rf,0.55,13,0.23362299465240643
757216464,V1,total_group_map,observed_rf,0.8,13,0.23109668109668113
757216464,V1,total_group_map,observed_rf,1.15,13,0.23196248196248198
768515987,V1,within_area_location,ccf_anatomy,0.2,13,0.0922328551244789
768515987,V1,within_area_location,ccf_anatomy,0.35,13,-0.02229859632782761
768515987,V1,within_area_location,ccf_anatomy,0.55,13,0.07483310255324187
768515987,V1,within_area_location,ccf_anatomy,0.8,13,0.1287318977450329
768515987,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
768515987,V1,within_area_location,registered_map,0.2,13,0.015283691428263793
768515987,V1,within_area_location,registered_map,0.35,13,0.10648283612401271
768515987,V1,within_area_location,registered_map,0.55,13,0.14119623571724124
768515987,V1,within_area_location,registered_map,0.8,13,0.1287318977450329
768515987,V1,within_area_location,registered_map,1.15,13,0.1287318977450329
768515987,V1,within_area_location,observed_rf,0.2,13,0.06283422459893048
768515987,V1,within_area_location,observed_rf,0.35,13,0.09647058823529413
768515987,V1,within_area_location,observed_rf,0.55,13,0.22835026608611514
768515987,V1,within_area_location,observed_rf,0.8,13,0.25995670995671
768515987,V1,within_area_location,observed_rf,1.15,13,0.2446608946608947
