ecephys_session_id,component,units,shift_az_deg,shift_el_deg,shuffle_p,shuffle_z,joint_weight
715093703,V1,92,-14.0,20.0,0.0196078431372549,10.50227475644826,1.0
715093703,HVA,222,30.0,-8.0,0.0196078431372549,6.060512446669568,1.0
715093703,LGd,56,8.0,2.0,0.7254901960784313,-0.47610553767331465,0.0
715093703,joint,370,26.0,-20.0,,,2.0
760345702,V1,91,12.0,0.0,0.0196078431372549,12.190671611318162,1.0
760345702,HVA,236,26.0,10.0,0.0196078431372549,10.425927837967702,1.0
760345702,LGd,20,-30.0,-28.0,0.0196078431372549,6.076365794341879,1.0
760345702,joint,347,0.0,8.0,,,3.0
754829445,V1,133,-30.0,30.0,0.0196078431372549,28.084690645218263,1.0
754829445,HVA,89,16.0,-20.0,0.17647058823529413,0.9085638314190048,0.3028546104730016
754829445,LGd,39,-6.0,10.0,0.9019607843137255,-1.3814000711469447,0.0
754829445,joint,261,-30.0,30.0,,,1.3028546104730017
