ecephys_session_id,structure_group,coordinate_units,valid_dispersion,center_bound_excluded
715093703,HVA,222,222,17
715093703,LGd,58,56,8
715093703,V1,92,92,1
719161530,HVA,170,170,9
719161530,LGd,26,24,2
719161530,V1,81,80,2
721123822,HVA,273,273,13
721123822,V1,57,57,1
743475441,HVA,187,187,33
743475441,LGd,31,31,8
744228101,HVA,112,112,18
744228101,LGd,6,2,0
744228101,V1,56,55,0
746083955,HVA,22,19,27
746083955,LGd,30,30,1
750332458,HVA,54,52,22
750332458,LGd,5,0,0
750749662,HVA,207,207,33
750749662,LGd,19,12,6
750749662,V1,91,91,1
751348571,HVA,258,258,26
751348571,LGd,46,45,3
751348571,V1,73,73,1
754312389,HVA,196,196,18
754312389,LGd,22,19,5
754312389,V1,143,142,1
754829445,HVA,89,89,30
754829445,LGd,39,39,4
754829445,V1,134,133,7
755434585,HVA,258,258,30
755434585,LGd,18,17,1
755434585,V1,142,142,0
756029989,HVA,303,303,32
756029989,LGd,18,17,0
756029989,V1,90,90,0
757216464,HVA,259,259,30
757216464,LGd,5,0,0
757216464,V1,150,148,0
757970808,HVA,208,208,28
757970808,LGd,20,17,1
757970808,V1,146,145,4
758798717,HVA,206,206,15
758798717,V1,83,83,0
759883607,HVA,207,207,12
759883607,LGd,3,0,0
759883607,V1,91,90,1
760345702,HVA,236,236,11
760345702,LGd,20,20,0
760345702,V1,91,91,1
761418226,HVA,272,272,71
761418226,LGd,11,8,2
761418226,V1,56,55,2
762602078,HVA,123,120,33
762602078,V1,105,105,3
763673393,HVA,164,164,25
763673393,LGd,22,19,2
763673393,V1,104,103,0
766640955,HVA,242,242,37
766640955,LGd,37,35,2
766640955,V1,75,75,1
767871931,HVA,229,229,27
767871931,V1,143,142,0
768515987,HVA,271,271,29
768515987,LGd,29,28,5
768515987,V1,102,102,2
771160300,HVA,239,239,23
771160300,LGd,6,0,1
771160300,V1,139,139,2
771990200,HVA,156,156,23
771990200,LGd,38,34,5
771990200,V1,96,96,1
773418906,HVA,226,226,38
773418906,V1,99,98,0
774875821,HVA,316,316,12
774875821,V1,134,134,2
778240327,HVA,326,326,28
778240327,LGd,5,0,0
778240327,V1,129,128,1
778998620,HVA,222,222,37
778998620,V1,123,123,0
779839471,HVA,117,117,31
779839471,LGd,17,12,2
779839471,V1,146,145,1
781842082,HVA,276,276,38
781842082,LGd,9,2,3
781842082,V1,105,105,0
786091066,HVA,441,441,45
786091066,V1,135,135,0
787025148,HVA,110,110,14
787025148,V1,105,105,1
789848216,HVA,156,156,13
789848216,V1,24,24,1
791319847,HVA,223,223,33
791319847,LGd,8,5,6
791319847,V1,126,126,1
793224716,HVA,127,127,23
793224716,V1,126,126,1
794812542,HVA,272,272,30
794812542,V1,111,109,2
797828357,HVA,224,224,55
797828357,V1,116,116,1
798911424,HVA,352,352,32
798911424,V1,126,126,1
799864342,HVA,200,200,36
799864342,LGd,32,31,1
799864342,V1,127,126,0
816200189,HVA,229,229,21
816200189,V1,93,93,0
819186360,HVA,309,309,49
819186360,LGd,20,19,4
819701982,HVA,350,350,29
819701982,LGd,11,8,1
821695405,HVA,275,275,19
829720705,HVA,335,335,27
829720705,V1,63,63,3
831882777,HVA,233,233,35
831882777,V1,77,77,0
835479236,HVA,209,209,22
835479236,LGd,3,0,0
835479236,V1,62,59,12
839068429,HVA,217,217,40
839068429,LGd,9,6,4
839068429,V1,112,111,0
839557629,HVA,260,260,13
839557629,LGd,3,0,0
840012044,HVA,305,305,11
840012044,V1,80,80,0
847657808,HVA,332,332,44
847657808,V1,82,82,0
