ecephys_unit_id,L_ratio,age_in_days,amplitude_cutoff,anterior_posterior_ccf_coordinate,area_rf,azimuth_rf,c50_dg,cumulative_drift,d_prime,date_of_acquisition,dorsal_ventral_ccf_coordinate,ecephys_channel_id,ecephys_probe_id,ecephys_session_id,ecephys_structure_acronym,ecephys_structure_id,elevation_rf,f1_f0_dg,fano_dg,fano_dm,fano_fl,fano_ns,fano_rf,fano_sg,firing_rate,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_ns,firing_rate_rf,firing_rate_sg,g_dsi_dg,g_osi_dg,g_osi_sg,genotype,has_lfp_data,height_rf,image_selectivity_ns,isi_violations,isolation_distance,left_right_ccf_coordinate,lfp_sampling_rate,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_ns,lifetime_sparseness_rf,lifetime_sparseness_sg,local_index,max_drift,mod_idx_dg,name,nn_hit_rate,nn_miss_rate,on_off_ratio_fl,on_screen_rf,p_value_rf,phase,pref_dir_dm,pref_dir_multi_dm,pref_image_ns,pref_images_multi_ns,pref_ori_dg,pref_ori_multi_dg,pref_ori_multi_sg,pref_ori_sg,pref_phase_multi_sg,pref_phase_sg,pref_sf_multi_sg,pref_sf_sg,pref_speed_dm,pref_speed_multi_dm,pref_tf_dg,pref_tf_multi_dg,presence_ratio,probe_horizontal_position,probe_vertical_position,published_at,quality,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_ns,run_mod_rf,run_mod_sg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_ns,run_pval_rf,run_pval_sg,sampling_rate,session_type,sex,silhouette_score,snr,specimen_id,sustained_idx_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_ns,time_to_peak_rf,time_to_peak_sg,waveform_PT_ratio,waveform_amplitude,waveform_duration,waveform_halfwidth,waveform_recovery_slope,waveform_repolarization_slope,waveform_spread,waveform_velocity_above,waveform_velocity_below,width_rf,time_to_first_spike_fl,cortical_depth,cortical_layer,area,session,timescale_ac,err_ac,spike_count_ac,timescale_it,err_it,spike_count_it,group,published_like_qc,unit_split
950918080,0.04086712,126,2.1507447e-05,7592,500,42,,111.72,3.6369746,2018-12-06T20:48:16Z,1059,850053420,773463013,763673393,VISam,394,-24,0.7839941,12.205313,,3.1047619,3.63375,2.5948718,3.978022,10.42836,10.412596,,8.5528337,15.387463,0.63487178,13.41278,0.11933227,0.093661454,0.13556052,wt/wt,True,69.019998,0.50791525,0.0023599697,53.421008,7565,1249.9986,0.1744213,,0.17371192,0.058633222,0.54035808,0.053298519,245,86.14,0.14322065,probeA,0.91866667,0.0045921933,,False,0.146,3a,,,4941,False,180,False,False,150,False,0.5,False,0.08,,,1,False,0.99,11,2460,2019-10-03T00:00:00Z,good,0.32733933,,,0.51851852,0.18181818,0.29302326,0.15460771,,,0.051096415,0.87561063,0.27126968,29999.966,brain_observatory_1.1,M,0.070727935,3.3875232,742602892,0.20983936,,0.1465,0.1675,0.0165,0.0975,0.61420077,130.74399,0.20603015,0.12361809,-0.11679064,0.55989065,70,0,0,1092.9662,0.102,0.75759596,6,,,,,,,,,HVA,False,descriptive
950918095,0.041666567,126,0.5,7592,1100,61.818,0.8818,406.77,2.6601192,2018-12-06T20:48:16Z,1059,850053420,773463013,763673393,VISam,394,-19.091,0.43572426,4.4634409,,1.2019048,1.232381,1.4804598,2.0155556,1.7541024,2.4552865,,1.9450369,1.4844724,2.7236986,1.9070714,0.09830919,0.51674387,0.55661571,wt/wt,True,69.398575,0.88842373,0.39322802,37.727843,7565,1249.9986,0.48774329,,0.04440367,0.86895664,0.18765581,0.69069446,245,54.63,0.10105733,probeA,0.66207951,0.0057248007,,True,0.001,3a,,,4963,False,90,False,False,30,False,0.75,False,0.02,,,1,False,0.99,11,2460,2019-10-03T00:00:00Z,good,0.30102041,,,0.26950355,0.19327731,0.52765957,0.41494185,,,0.29417749,0.65699318,0.0007846803,29999.966,brain_observatory_1.1,M,0.080421487,1.7808185,742602892,0.054886212,,0.0925,0.0845,0.0075,0.0695,0.79611663,61.688835,0.6318258,0.21976549,-0.026001251,0.15824376,100,0.4120603,0.20603015,70.822082,0.066,0.75759596,6,VISam,7.6367339e+08,31.433584,8.1913254,70,1.000021,3312.8999,228,HVA,True,calibration
950918148,0.031923329,126,0.023812208,7586,600,51.667,0.5951451,529.95,3.552899,2018-12-06T20:48:16Z,1032,850053426,773463013,763673393,VISam,394,-1.667,0.99588399,2.1195402,,1.3858333,1.415,1.9350211,1.7382246,1.5076946,1.1940201,,1.5986605,1.1472755,7.2796437,0.61881568,0.10751368,0.12502368,0.038007196,wt/wt,True,19.58057,0.39861017,0.87097838,40.147736,7577,1249.9986,0.21812289,,0.0088495575,0.32093619,0.55785662,0.19604156,248,51.85,0.15384633,probeA,0.8349835,0.0020072124,,True,0,3a,,,4981,False,135,False,False,90,False,0.25,False,0.16,,,1,False,0.99,43,2500,2019-10-03T00:00:00Z,good,0.045454545,,,0.15909091,0.12142857,0.05,0.89425482,,,0.61263518,0.72581168,0.96257961,29999.966,brain_observatory_1.1,M,0.082819279,1.8407103,742602892,0.064257028,,0.2475,0.0695,0.0975,0.0185,0.50867486,87.227985,0.70050251,0.20603015,-0.017018565,0.16036642,100,0.54941374,0.45130414,14.007257,0.068,0.72863209,5,VISam,7.6367339e+08,46.17086,8.8379436,84,94.665351,11.708117,278,HVA,True,evaluation
950918162,0.064912792,126,0.5,7584,900,53.333,0.03894902,342.43,1.9879107,2018-12-06T20:48:16Z,1024,850053428,773463013,763673393,VISam,394,-8.889,1.1142477,23.288889,,1.4904167,1.5322222,0.63809524,3.6622807,3.5041941,2.3785091,,2.7710115,2.8883399,11.310367,2.7796747,0.091445055,0.26060349,0.43980883,wt/wt,True,20.702677,0.23215254,0.31948307,42.552655,7582,1249.9986,0.19766075,,0.1011236,0.091709176,0.53397088,0.31073532,249,20.11,0.027145414,probeA,0.768,0.016774392,,True,0,3a,,,5005,False,0,False,False,90,False,0.5,False,0.08,,,2,False,0.99,11,2500,2019-10-03T00:00:00Z,good,0.52884615,,,-0.095238095,0.16129032,0.1168254,0.36274874,,,0.75200941,0.085726335,0.73061229,29999.966,brain_observatory_1.1,M,0.034512186,2.5875703,742602892,0.12851406,,0.0235,0.0725,0.0775,0.0855,0.39235598,115.86627,0.59061977,0.20603015,-0.024009068,0.35321882,80,0.54941374,0.48073702,14.31646,0.106,0.71337372,5,VISam,7.6367339e+08,1000,2302.3784,114,25.490191,16.197162,510,HVA,True,evaluation
950918177,0.018009311,126,0.020875126,7582,2000,74,,335.76,2.5097762,2018-12-06T20:48:16Z,1015,850053430,773463013,763673393,VISam,394,-9,1.4121302,37.327536,,1.6616667,1.5577778,3.2166667,1.7620614,1.1216982,0.61633674,,0.45295381,1.194295,0.49232716,0.7047438,0.37443014,0.33098615,0.084929457,wt/wt,True,84.464236,0.28198305,0.34967903,44.586257,7586,1249.9986,0.4005432,,0.87548638,0.18423468,0.45280067,0.17621705,250,83.7,0.18268401,probeA,0.87424242,0.0019427403,,False,0.239,3a,,,4913,False,0,False,False,90,False,0.5,False,0.02,,,4,False,0.99,59,2520,2019-10-03T00:00:00Z,good,-0.15789474,,,0.77631579,0.91666667,0.089430894,0.88218062,,,0.0078491252,0.35273139,0.9092194,29999.966,brain_observatory_1.1,M,-0.032986033,2.1462375,742602892,0.064257028,,0.0165,0.1695,0.0125,0.0025,0.93107233,76.67712,0.28844221,0.19229481,-0.06336959,0.32949498,80,-0.20603015,-0.13735343,1158.2464,0.14,0.70123649,5,,,,,,,,,HVA,False,descriptive
950918190,0.013006097,126,0.00098209109,7578,200,85,,210.64,3.0620779,2018-12-06T20:48:16Z,997,850053434,773463013,763673393,VISam,394,-30,0.79297191,24.299543,,7.4964341,7.6967816,10.451282,6.3049796,2.2515154,2.7422749,,1.9983256,2.1313262,1.8256675,2.3726819,0.13539208,0.49307504,0.49460501,wt/wt,True,653.22078,0.45789831,0.021697605,49.473442,7595,1249.9986,0.38705574,,0.042116255,0.29167123,0.51535486,0.34069605,252,90.23,3.8625857,probeA,0.92316017,0.0030953364,,False,0.374,3a,,,5005,False,270,False,False,90,False,0.5,False,0.02,,,4,False,0.99,43,2540,2019-10-03T00:00:00Z,good,,,,0.64569961,-0.85135135,0.16666667,,,,0.16348851,0.16442027,0.58710438,29999.966,brain_observatory_1.1,M,0.025950928,2.1829796,742602892,0.057563588,,0.1755,0.1285,0.0935,0.1425,0.41216897,91.51584,0.71423786,0.17855946,-0.041298659,0.24706611,90,0.27470687,0.039243838,2231.3686,0.076,0.67295009,5,,,,,,,,,HVA,False,descriptive
950918207,0.020194152,126,0.00027862005,7573,700,72.857,0.92886275,216.93,2.5999754,2018-12-06T20:48:16Z,970,850053440,773463013,763673393,VISam,394,24.286,1.2761181,19.656667,,1.2952381,3.0703704,3.1942029,2.4210271,2.8193586,2.3965121,,2.6910785,3.3867465,3.1973853,2.7137299,0.24870993,0.12762445,0.038945622,wt/wt,True,59.249981,0.4430339,0.059962965,44.745388,7608,1249.9986,0.28327723,,0.25951203,0.21629814,0.2326793,0.17008869,255,84.44,3.9082592,probeA,0.88480392,0.0021929825,,True,0,3a,,,5000,False,90,False,False,90,False,0.25,False,0.02,,,1,False,0.99,27,2560,2019-10-03T00:00:00Z,good,0.7912844,,,0.60096154,0.076923077,0.48246951,0.16371769,,,0.00065438464,0.87184478,0.083754048,29999.966,brain_observatory_1.1,M,-0.037092039,1.6065226,742602892,0.093708166,,0.0965,0.0985,0.0855,0.0925,0.57121482,74.4666,0.68676717,0.15108878,-0.047653531,0.20743637,100,0.8241206,0.11773151,70.569221,0.12,0.64622653,5,VISam,7.6367339e+08,103.35754,39.864553,117,10.41555,4.6216857,525,HVA,True,evaluation
950918219,0.043029408,126,0.5,7577,1700,58.824,,265.77,2.5785645,2018-12-06T20:48:16Z,988,850053436,773463013,763673393,VISam,394,-4.118,0.38898709,3.857847,,1.0552846,1.6811268,2.2771379,2.6389157,9.0501783,3.896053,,21.635205,3.8838096,26.252332,4.4076462,0.24404138,0.43290343,0.56075511,wt/wt,True,47.695588,0.50454237,0.11549038,75.394699,7599,1249.9986,0.35930406,,0.00019411351,0.099999396,0.085545514,0.40716531,253,37.04,0.99210195,probeA,0.862,0.041893527,,True,0,3a,,,4941,False,0,False,False,30,False,0.25,False,0.04,,,2,False,0.99,11,2540,2019-10-03T00:00:00Z,good,0.26299283,,,0.35978836,0.083557951,0.5525,0.10015393,,,0.23621403,0.70669753,0.034901287,29999.966,brain_observatory_1.1,M,0.020151042,1.1842333,742602892,0.20532129,,0.0465,0.1235,0.0765,0.0925,0.42845563,63.593985,0.49447236,0.21976549,-0.017382696,0.17167301,70,1.0301508,0.27470687,40.042191,0.049,0.66106951,5,VISam,7.6367339e+08,115.35827,10.733595,878,25.234982,6.6494714,3829,HVA,True,calibration
950918248,0.032815657,126,0.5,7575,900,53.333,,503.58,2.0706393,2018-12-06T20:48:16Z,979,850053438,773463013,763673393,VISam,394,1.111,0.75312084,19.589744,,1.5955556,1.1,2.4198582,1.7328386,2.609731,4.5478662,,3.4371201,0.3566764,4.8432274,0.54554364,0.18723952,0.054252789,0.16717427,wt/wt,True,37.96173,0.40045763,0.31761492,45.972876,7604,1249.9986,0.12680206,,0.026680896,0.30324304,0.17776689,0.20449435,254,66.61,0.10646013,probeA,0.808,0.009938425,,True,0,3a,,,4915,True,180,False,False,150,False,0.5,False,0.02,,,1,False,0.99,59,2560,2019-10-03T00:00:00Z,good,,,,0.45454545,0.18181818,-0.58095238,,,,0.37745461,0.56832367,0.28626363,29999.966,brain_observatory_1.1,M,0.035261033,0.86080287,742602892,0.14257028,,0.0375,0.0225,0.0915,0.1875,0.3713835,68.216265,0.49447236,0.17855946,-0.0071458563,0.14113543,120,0.20603015,-0.057230597,33.624239,0.116,0.64622653,5,,,,,,,,,HVA,False,descriptive
950918262,0.014791926,126,0.02756447,7575,0,,,272.1,3.2174219,2018-12-06T20:48:16Z,979,850053438,773463013,763673393,VISam,394,,0.81659821,11.781818,,1.0666667,5.2902128,1.8666667,7.8541667,2.2930888,2.3557407,,0.53288683,2.8245278,0.027412426,3.5736772,0.2576594,0.34967938,0.24499841,wt/wt,True,375.61445,0.43245763,0.97617276,47.441495,7604,1249.9986,0.34044319,,0,0.16303735,0.92082111,0.12317664,254,59.58,0.71212647,probeA,0.8968254,0.0012652168,,False,0.513,3a,,,5010,False,315,False,False,120,False,0.25,False,0.16,,,2,False,0.93,59,2560,2019-10-03T00:00:00Z,good,0.83732057,,,0.60223537,1,0.51373626,0.0015713543,,,0.13442522,0.39100222,0.21510106,29999.966,brain_observatory_1.1,M,0.095606234,2.7407868,742602892,0.040160643,,0.0415,0.0085,0.1605,0.1115,0.34398749,106.93527,0.65929648,0.19229481,-0.035449397,0.30801766,70,0.68676717,-0.20603015,37.918597,0.084,0.64622653,5,,,,,,,,,HVA,False,descriptive
